country,time,ajustice_idea
afg,1975,41.6376
afg,1976,41.59801
afg,1977,41.69889
afg,1978,40.04673
afg,1979,36.09412
afg,1980,37.01796
afg,1981,37.26607
afg,1982,37.08273
afg,1983,37.1377
afg,1984,37.09263
afg,1985,37.07759
afg,1986,37.13823
afg,1987,37.23817
afg,1988,37.24228
afg,1989,37.18253
afg,1990,28.63616
afg,1991,28.5984
afg,1992,23.5158
afg,1993,24.44863
afg,1994,24.64298
afg,1995,24.61164
afg,1996,19.7382
afg,1997,18.67669
afg,1998,18.47638
afg,1999,18.51947
afg,2000,18.59082
afg,2001,25.25108
afg,2002,37.48157
afg,2003,37.98717
afg,2004,37.83813
afg,2005,37.93687
afg,2006,37.67899
afg,2007,37.7062
afg,2008,37.83101
afg,2009,37.79284
afg,2010,37.53916
afg,2011,37.73604
afg,2012,37.74499
afg,2013,37.52959
afg,2014,37.85819
afg,2015,37.53633
afg,2016,35.12668
afg,2017,36.48664
afg,2018,33.33371
afg,2019,34.49756
ago,1975,27.56836
ago,1976,32.54359
ago,1977,32.59319
ago,1978,32.55961
ago,1979,32.51396
ago,1980,32.50987
ago,1981,32.65119
ago,1982,32.53619
ago,1983,32.58269
ago,1984,32.75801
ago,1985,32.56913
ago,1986,32.68598
ago,1987,32.58163
ago,1988,32.69109
ago,1989,32.53373
ago,1990,35.66279
ago,1991,37.09264
ago,1992,42.30318
ago,1993,42.16289
ago,1994,42.22782
ago,1995,42.23294
ago,1996,42.19201
ago,1997,43.78985
ago,1998,43.81394
ago,1999,43.57637
ago,2000,43.64488
ago,2001,43.6405
ago,2002,58.04716
ago,2003,49.26318
ago,2004,49.4021
ago,2005,49.39225
ago,2006,49.31975
ago,2007,49.46476
ago,2008,49.44514
ago,2009,49.3676
ago,2010,50.35531
ago,2011,50.54234
ago,2012,50.32765
ago,2013,49.13484
ago,2014,49.06822
ago,2015,49.09276
ago,2016,49.19247
ago,2017,49.05494
ago,2018,50.443
ago,2019,51.97386
alb,1975,19.17854
alb,1976,19.21169
alb,1977,19.26615
alb,1978,19.176
alb,1979,19.34969
alb,1980,19.16234
alb,1981,19.24584
alb,1982,19.23036
alb,1983,19.31784
alb,1984,19.20925
alb,1985,19.22135
alb,1986,19.23228
alb,1987,19.29385
alb,1988,19.1623
alb,1989,19.20781
alb,1990,27.55683
alb,1991,55.39329
alb,1992,57.92872
alb,1993,64.19549
alb,1994,64.0136
alb,1995,64.11473
alb,1996,64.19976
alb,1997,64.08444
alb,1998,63.9431
alb,1999,64.73032
alb,2000,72.37624
alb,2001,72.53967
alb,2002,72.55585
alb,2003,72.35491
alb,2004,72.44714
alb,2005,72.40702
alb,2006,72.52198
alb,2007,72.65691
alb,2008,72.46681
alb,2009,76.52778
alb,2010,76.45301
