country,time,bwelfr_idea
afg,1975,16.16074
afg,1976,16.17821
afg,1977,16.09784
afg,1978,16.12432
afg,1979,15.87089
afg,1980,15.77851
afg,1981,15.83302
afg,1982,15.77851
afg,1983,15.83302
afg,1984,18.71813
afg,1985,18.71813
afg,1986,18.71813
afg,1987,18.79447
afg,1988,18.75295
afg,1989,23.73944
afg,1990,23.01471
afg,1991,22.58294
afg,1992,21.35951
afg,1993,21.44794
afg,1994,21.65862
afg,1995,25.54023
afg,1996,25.54023
afg,1997,25.78874
afg,1998,25.78874
afg,1999,26.27297
afg,2000,29.52677
afg,2001,29.52677
afg,2002,30.73521
afg,2003,30.72691
afg,2004,30.86107
afg,2005,33.97443
afg,2006,33.97443
afg,2007,34.19264
afg,2008,34.19264
afg,2009,37.00136
afg,2010,37.09784
afg,2011,37.20384
afg,2012,39.22149
afg,2013,39.05159
afg,2014,39.60098
afg,2015,39.60098
afg,2016,41.32653
afg,2017,41.32653
afg,2018,41.66229
afg,2019,42.03184
ago,1975,15.40333
ago,1976,15.40333
ago,1977,16.34822
ago,1978,16.34822
ago,1979,16.34822
ago,1980,17.13075
ago,1981,16.34688
ago,1982,16.34688
ago,1983,16.34688
ago,1984,16.34688
ago,1985,16.34688
ago,1986,15.33976
ago,1987,15.33976
ago,1988,15.33976
ago,1989,15.77959
ago,1990,15.77959
ago,1991,15.77959
ago,1992,15.77959
ago,1993,15.77959
ago,1994,15.77959
ago,1995,15.77959
ago,1996,16.04711
ago,1997,16.04711
ago,1998,16.04711
ago,1999,22.80945
ago,2000,22.80945
ago,2001,22.80945
ago,2002,23.09945
ago,2003,24.07854
ago,2004,27.3593
ago,2005,28.19518
ago,2006,28.3448
ago,2007,30.84188
ago,2008,31.65863
ago,2009,31.92151
ago,2010,34.88106
ago,2011,34.96561
ago,2012,36.94661
ago,2013,37.64257
ago,2014,37.5266
ago,2015,39.51765
ago,2016,39.51765
ago,2017,39.67969
ago,2018,40.39996
ago,2019,42.5013
alb,1975,45.09938
alb,1976,47.67797
alb,1977,48.06554
alb,1978,47.69568
alb,1979,47.24398
alb,1980,49.53336
alb,1981,50.04687
alb,1982,49.72684
alb,1983,50.60576
alb,1984,50.74472
alb,1985,51.51102
alb,1986,53.34265
alb,1987,52.75067
alb,1988,53.0353
alb,1989,54.65893
alb,1990,54.97695
alb,1991,54.00535
alb,1992,54.03751
alb,1993,54.36469
alb,1994,56.81853
alb,1995,56.76669
alb,1996,57.6018
alb,1997,57.32712
alb,1998,59.54403
alb,1999,60.06623
alb,2000,60.23667
alb,2001,60.27733
alb,2002,62.97148
alb,2003,62.71082
alb,2004,62.90462
alb,2005,63.03456
alb,2006,65.43807
alb,2007,65.43807
alb,2008,67.80134
alb,2009,68.00705
alb,2010,68.12665
alb,2011,71.30056
alb,2012,71.30056
alb,2013,71.30056
alb,2014,71.51287
alb,2015,74.86643
alb,2016,75.01699
alb,2017,75.01699
alb,2018,75.48517
alb,2019,75.5887
are,1975,43.23204
are,1976,46.16923
are,1977,46.16923
are,1978,48.69426
are,1979,49.43661
are,1980,51.905
are,1981,51.97573
are,1982,55.11475
are,1983,55.19539
are,1984,57.37359
are,1985,58.20818
are,1986,58.20818
are,1987,58.36148
are,1988,61.14948
are,1989,61.14948
are,1990,61.13206
are,1991,63.0293
are,1992,64.03816
are,1993,64.37257
are,1994,64.45269
are,1995,64.44174
are,1996,67.35082
are,1997,67.35082
are,1998,67.35082
are,1999,67.53033
are,2000,67.56336
are,2001,68.50313
are,2002,68.50313
are,2003,68.58724
are,2004,71.5316
are,2005,72.71278
are,2006,72.71278
are,2007,72.78893
are,2008,72.78893
are,2009,72.92209
are,2010,72.92209
are,2011,73.04482
are,2012,73.83439
are,2013,76.63345
are,2014,77.02418
are,2015,77.18247
are,2016,77.02418
are,2017,77.02418
are,2018,77.02418
are,2019,77.22825
arg,1975,45.84056
arg,1976,47.68392
arg,1977,47.68392
arg,1978,49.69854
arg,1979,50.44662
arg,1980,52.65773
arg,1981,52.71629
arg,1982,52.66683
arg,1983,55.56473
arg,1984,56.34936
arg,1985,56.54202
arg,1986,56.45888
arg,1987,56.76189
arg,1988,56.67498
arg,1989,57.39584
arg,1990,58.87376
arg,1991,58.96965
arg,1992,59.05589
arg,1993,59.24552
arg,1994,59.93004
arg,1995,59.93004
arg,1996,62.01894
arg,1997,62.13745
arg,1998,62.32324
arg,1999,62.39646
arg,2000,63.01019
arg,2001,65.0182
arg,2002,64.73685
arg,2003,64.73685
arg,2004,64.91444
arg,2005,65.74913
arg,2006,65.64297
arg,2007,65.86397
arg,2008,67.92008
arg,2009,68.11422
arg,2010,68.11422
arg,2011,68.81795
arg,2012,68.81795
arg,2013,69.03729
arg,2014,71.3336
arg,2015,71.52358
arg,2016,71.52358
arg,2017,71.58818
arg,2018,71.3976
arg,2019,74.58657
arm,1991,50.53446
arm,1992,50.40532
arm,1993,52.66337
arm,1994,52.74974
arm,1995,52.81113
arm,1996,53.76702
arm,1997,53.84781
arm,1998,56.92353
arm,1999,56.92353
arm,2000,57.72914
arm,2001,57.72914
arm,2002,59.99958
arm,2003,60.90343
arm,2004,60.99216
arm,2005,61.24251
arm,2006,63.15104
arm,2007,63.37551
arm,2008,63.43072
arm,2009,63.40494
arm,2010,65.23885
arm,2011,65.9366
arm,2012,66.04844
arm,2013,66.03868
arm,2014,68.34225
arm,2015,69.08777
arm,2016,69.08777
arm,2017,69.08777
arm,2018,71.31688
arm,2019,71.31688
aus,1975,64.33887
aus,1976,66.4459
aus,1977,66.4459
aus,1978,67.14342
aus,1979,67.14342
aus,1980,69.7349
