country,time,cliberties_idea
afg,1975,33.14666
afg,1976,32.84446
afg,1977,32.86546
afg,1978,21.70232
afg,1979,16.53897
afg,1980,17.8307
afg,1981,18.92629
afg,1982,18.31761
afg,1983,18.17957
afg,1984,18.45153
afg,1985,18.25955
afg,1986,18.49321
afg,1987,18.53283
afg,1988,19.25362
afg,1989,20.535
afg,1990,19.0606
afg,1991,19.08888
afg,1992,21.56214
afg,1993,23.02463
afg,1994,21.36166
afg,1995,20.82414
afg,1996,10.48849
afg,1997,8.43558
afg,1998,6.81638
afg,1999,8.03835
afg,2000,7.07689
afg,2001,19.8037
afg,2002,46.49263
afg,2003,49.05093
afg,2004,48.99653
afg,2005,47.54585
afg,2006,48.19695
afg,2007,49.08402
afg,2008,48.78661
afg,2009,47.562
afg,2010,48.53434
afg,2011,49.25468
afg,2012,51.37766
afg,2013,49.10171
afg,2014,49.07596
afg,2015,48.67742
afg,2016,47.01155
afg,2017,47.10867
afg,2018,50.02406
afg,2019,44.49411
ago,1975,16.21725
ago,1976,17.30083
ago,1977,15.06664
ago,1978,15.14022
ago,1979,15.30274
ago,1980,17.27032
ago,1981,17.3818
ago,1982,17.42394
ago,1983,18.0828
ago,1984,17.28412
ago,1985,17.82812
ago,1986,18.48273
ago,1987,17.52713
ago,1988,17.86665
ago,1989,17.57451
ago,1990,21.12307
ago,1991,29.7936
ago,1992,36.88408
ago,1993,38.27312
ago,1994,35.10657
ago,1995,31.67235
ago,1996,33.09823
ago,1997,33.82022
ago,1998,34.93507
ago,1999,34.86512
ago,2000,36.18154
ago,2001,35.86647
ago,2002,38.92408
ago,2003,41.48472
ago,2004,40.89844
ago,2005,42.91444
ago,2006,43.96655
ago,2007,43.00684
ago,2008,42.88817
ago,2009,43.05299
ago,2010,44.61915
ago,2011,43.50777
ago,2012,44.03758
ago,2013,42.75352
ago,2014,42.87673
ago,2015,42.65729
ago,2016,43.80103
ago,2017,44.85835
ago,2018,48.49238
ago,2019,49.64381
alb,1975,0.39156
alb,1976,0.79163
alb,1977,1.06925
alb,1978,0.97725
alb,1979,0.9093
alb,1980,1.00954
alb,1981,0.64038
alb,1982,0.81115
alb,1983,0.75653
alb,1984,2.58774
alb,1985,3.41713
alb,1986,3.64471
alb,1987,5.25462
alb,1988,3.74018
alb,1989,3.5875
alb,1990,21.77506
alb,1991,54.11623
alb,1992,60.80413
alb,1993,59.23502
alb,1994,60.77472
alb,1995,61.25624
alb,1996,60.46492
alb,1997,60.71087
alb,1998,64.0155
alb,1999,64.60298
alb,2000,64.71301
alb,2001,65.42332
alb,2002,66.2592
alb,2003,65.30567
alb,2004,65.84947
alb,2005,66.92687
alb,2006,68.25331
alb,2007,69.79289
alb,2008,70.3616
alb,2009,69.12562
alb,2010,70.85755
alb,2011,70.5171
alb,2012,69.90614
alb,2013,67.43982
alb,2014,67.5672
alb,2015,67.57126
alb,2016,67.59895
alb,2017,68.37021
alb,2018,66.81017
alb,2019,66.23669
are,1975,32.88808
are,1976,33.96316
are,1977,35.48658
are,1978,35.52792
are,1979,35.65105
are,1980,34.50463
are,1981,34.65065
are,1982,34.82365
are,1983,34.2566
are,1984,34.2542
are,1985,35.357
are,1986,35.46672
are,1987,37.48756
are,1988,37.54671
are,1989,37.08604
are,1990,37.97096
are,1991,38.1914
are,1992,38.65861
are,1993,38.70344
are,1994,37.74655
are,1995,38.18098
are,1996,38.88354
are,1997,38.0394
are,1998,39.31267
are,1999,39.78366
are,2000,38.63504
are,2001,36.40388
are,2002,34.6799
are,2003,34.07244
are,2004,32.93397
are,2005,33.12734
are,2006,33.73989
are,2007,34.8012
are,2008,34.65403
are,2009,34.92879
are,2010,35.5526
are,2011,33.84674
are,2012,33.91155
are,2013,33.81773
are,2014,34.28482
are,2015,34.77905
are,2016,34.91945
are,2017,32.16663
are,2018,33.04861
are,2019,32.59141
arg,1975,46.78737
arg,1976,27.64298
arg,1977,20.0655
arg,1978,20.02445
arg,1979,20.07766
arg,1980,20.34493
arg,1981,23.26943
arg,1982,26.49886
arg,1983,39.65897
arg,1984,76.54823
arg,1985,77.39574
arg,1986,79.22408
arg,1987,78.66406
arg,1988,79.59832
arg,1989,79.39737
arg,1990,78.99739
arg,1991,80.05514
arg,1992,79.50538
arg,1993,77.98459
arg,1994,78.8477
arg,1995,80.55016
arg,1996,80.0585
arg,1997,80.14692
arg,1998,79.21659
arg,1999,79.33091
arg,2000,80.09028
arg,2001,79.54785
arg,2002,80.09601
arg,2003,79.40329
arg,2004,77.72424
arg,2005,78.19757
arg,2006,77.76265
arg,2007,76.51613
arg,2008,76.78046
arg,2009,76.18347
arg,2010,75.89362
arg,2011,75.95344
arg,2012,76.01296
arg,2013,75.40098
arg,2014,74.84843
arg,2015,74.40247
arg,2016,78.1163
arg,2017,76.01246
arg,2018,76.46567
arg,2019,72.83298
arm,1991,62.20036
