country,time,emigrant_n
afg,1990,7679582
afg,1995,4347049
afg,2000,4750677
afg,2005,4116739
afg,2010,5269518
afg,2015,5400916
afg,2020,5853838
ago,1990,824886
ago,1995,688581
ago,2000,913206
ago,2005,716766
ago,2010,651383
ago,2015,618288
ago,2020,668066
alb,1990,180204
alb,1995,501066
alb,2000,824442
alb,2005,966032
alb,2010,1117940
alb,2015,1142844
alb,2020,1250451
and,1990,3740
and,1995,4142
and,2000,5575
and,2005,5727
and,2010,7909
and,2015,8740
and,2020,11132
are,1990,79499
are,1995,97928
are,2000,111082
are,2005,125618
are,2010,155609
are,2015,178324
are,2020,203214
arg,1990,430155
arg,1995,481968
arg,2000,555542
arg,2005,805291
arg,2010,938639
arg,2015,943843
arg,2020,1076148
arm,1990,899678
arm,1995,901859
arm,2000,877148
arm,2005,900648
arm,2010,917043
arm,2015,944520
arm,2020,958190
atg,1990,21382
atg,1995,26965
atg,2000,32782
atg,2005,36398
atg,2010,41347
atg,2015,52189
atg,2020,66561
aus,1990,301013
aus,1995,341312
aus,2000,381836
aus,2005,428769
aus,2010,486949
aus,2015,518158
aus,2020,598765
aut,1990,505214
aut,1995,490045
aut,2000,478091
aut,2005,493349
aut,2010,517401
aut,2015,515234
aut,2020,600740
aze,1990,1634157
aze,1995,1712214
aze,2000,1630589
aze,2005,1455180
aze,2010,1160863
aze,2015,1130348
aze,2020,1163922
bdi,1990,337100
bdi,1995,540558
bdi,2000,758673
bdi,2005,619916
bdi,2010,284078
bdi,2015,459979
bdi,2020,551105
bel,1990,363970
bel,1995,374734
bel,2000,398864
bel,2005,437701
bel,2010,484032
bel,2015,515793
bel,2020,577463
ben,1990,234314
ben,1995,275696
ben,2000,328046
ben,2005,504165
ben,2010,541152
ben,2015,634923
ben,2020,681827
bfa,1990,1021331
bfa,1995,1215665
bfa,2000,1279414
bfa,2005,1352292
bfa,2010,1434528
bfa,2015,1518568
bfa,2020,1599347
bgd,1990,5450443
bgd,1995,5423528
bgd,2000,5441094
bgd,2005,5492474
bgd,2010,6319871
