world_4region,time,emigrant_n
africa,1990,20447420
africa,1995,22165481
africa,2000,21901654
africa,2005,25097826
africa,2010,29010959
africa,2015,34912337
africa,2020,40357515
americas,1990,16747505
americas,1995,21099106
americas,2000,26082510
americas,2005,31107740
americas,2010,36712987
americas,2015,38372934
americas,2020,45216533
asia,1990,51646776
asia,1995,53580191
asia,2000,59957600
asia,2005,68066460
asia,2010,83784460
asia,2015,98797664
asia,2020,110113587
europe,1990,53821897
europe,1995,55093600
europe,2000,56162375
europe,2005,57264187
europe,2010,60419854
europe,2015,62669299
europe,2020,69785964
