country,time,hapiscore_whr
afg,2008,37.2359
afg,2009,44.01778
afg,2010,47.58381
afg,2011,38.31719
afg,2012,37.82938
afg,2013,35.721
afg,2014,31.30896
afg,2015,39.82855
afg,2016,42.20169
afg,2017,26.61718
afg,2018,26.94303
afg,2019,25.669
ago,2011,55.89001
ago,2012,43.6025
ago,2013,39.37107
ago,2014,37.94838
alb,2007,46.34252
alb,2009,54.8547
alb,2010,52.68937
alb,2011,58.67422
alb,2012,55.10124
alb,2013,45.50648
alb,2014,48.13763
alb,2015,46.06651
alb,2016,45.11101
alb,2017,46.39548
alb,2018,50.04403
alb,2019,48.827
are,2006,67.34222
are,2009,68.66063
are,2010,70.97456
are,2011,71.18701
are,2012,72.17767
are,2013,66.20951
are,2014,65.39855
are,2015,65.68398
are,2016,68.3095
are,2017,70.3942
are,2018,66.03744
are,2019,67.908
arg,2006,63.12925
arg,2007,60.73158
arg,2008,59.61034
arg,2009,64.24133
arg,2010,64.41067
arg,2011,67.75805
arg,2012,64.68387
arg,2013,65.8226
arg,2014,66.71114
arg,2015,66.97131
arg,2016,64.27221
arg,2017,60.3933
arg,2018,57.92797
arg,2019,59.747
arm,2006,42.89311
arm,2007,48.81516
arm,2008,46.51972
arm,2009,41.77582
arm,2010,43.67811
arm,2011,42.60491
arm,2012,43.19712
arm,2013,42.77191
arm,2014,44.53083
arm,2015,43.4832
arm,2016,43.25472
arm,2017,42.87736
arm,2018,50.62449
arm,2019,46.768
aus,2005,73.40688
aus,2007,72.85391
aus,2008,72.53757
aus,2010,74.50047
aus,2011,74.05616
aus,2012,71.95586
aus,2013,73.64169
aus,2014,72.8855
aus,2015,73.09061
aus,2016,72.5008
aus,2017,72.57038
aus,2018,71.76993
aus,2019,72.228
aut,2006,71.22211
aut,2008,71.80954
aut,2010,73.02679
aut,2011,74.70513
aut,2012,74.00689
aut,2013,74.98803
aut,2014,69.5
aut,2015,70.76447
aut,2016,70.48072
aut,2017,72.93728
aut,2018,73.96002
aut,2019,72.942
aze,2006,47.27871
aze,2007,45.6816
aze,2008,48.17189
aze,2009,45.73725
aze,2010,42.18611
aze,2011,46.8047
aze,2012,49.10772
aze,2013,54.81178
aze,2014,52.5153
