global,time,hmless_nd
world,1900,0
world,1901,24
world,1902,0
world,1903,0
world,1904,2181
world,1905,20100
world,1906,110253
world,1907,0
world,1908,0
world,1909,3294
world,1910,0
world,1911,1466
world,1912,113940
world,1913,0
world,1914,53589
world,1915,0
world,1916,2133
world,1917,390
world,1918,0
world,1919,0
world,1920,0
world,1921,0
world,1922,11417
world,1923,26300
world,1924,12390
world,1925,17628
world,1926,40000
world,1927,180152
world,1928,2000
world,1929,0
world,1930,25551
world,1931,0
world,1932,20143
world,1933,3600150
world,1934,0
world,1935,239535
world,1936,221465
world,1937,0
world,1938,4710
world,1939,12837
world,1940,65730
world,1941,40759
world,1942,0
world,1943,23217
world,1944,106538
world,1945,23663
world,1946,3500
world,1947,35000
world,1948,322220
world,1949,5050
world,1950,40000
world,1951,334860
world,1952,4779
world,1953,146365
world,1954,134716
world,1955,378377
world,1956,77000
world,1957,0
world,1958,475
world,1959,0
world,1960,2250
world,1961,3171
world,1962,30000
world,1963,7200
world,1964,219900
world,1965,5156414
world,1966,2089319
world,1967,328463
world,1968,998408
world,1969,210527
world,1970,567090
world,1971,2093865
world,1972,1122502
world,1973,155374
world,1974,2106141
world,1975,7084428
world,1976,1719384
world,1977,6155310
world,1978,256984
world,1979,1195008
world,1980,2704879
world,1981,298043
world,1982,1092909
world,1983,1414541
world,1984,1927890
world,1985,2089943
world,1986,4608139
world,1987,1598691
world,1988,5520981
world,1989,2119659
world,1990,1886098
world,1991,6851375
world,1992,4742349
world,1993,1213331
world,1994,9300428
world,1995,5846375
world,1996,6998121
world,1997,3336485
world,1998,29424866
world,1999,6584276
world,2000,1766425
world,2001,3113696
world,2002,354875
world,2003,2900670
world,2004,2577923
world,2005,6266457
world,2006,6203123
world,2007,1169731
world,2008,3242535
world,2009,510312
world,2010,2423997
world,2011,1964972
world,2012,951595
world,2013,328923
world,2014,1364787
world,2015,622992
world,2016,2456745
world,2017,601832
world,2018,417216
world,2019,389397
world,2020,697024
