country,time,judicindep_idea
afg,1975,39.24708
afg,1976,39.24708
afg,1977,39.24708
afg,1978,36.50775
afg,1979,36.56502
afg,1980,35.19181
afg,1981,34.43611
afg,1982,35.48547
afg,1983,35.48547
afg,1984,35.48547
afg,1985,35.48547
afg,1986,35.48547
afg,1987,35.48547
afg,1988,35.48547
afg,1989,35.48547
afg,1990,35.48547
afg,1991,33.62726
afg,1992,35.15524
afg,1993,36.02418
afg,1994,36.02418
afg,1995,33.05573
afg,1996,30.86304
afg,1997,32.04963
afg,1998,32.04963
afg,1999,32.04963
afg,2000,32.04963
afg,2001,32.04963
afg,2002,33.34913
afg,2003,34.21073
afg,2004,39.13782
afg,2005,39.79392
afg,2006,42.40136
afg,2007,42.40136
afg,2008,42.40136
afg,2009,42.40136
afg,2010,42.40136
afg,2011,42.40136
afg,2012,42.40136
afg,2013,40.58457
afg,2014,41.03963
afg,2015,41.88027
afg,2016,41.66137
afg,2017,41.56549
afg,2018,43.89278
afg,2019,38.99542
ago,1975,43.91778
ago,1976,41.62167
ago,1977,41.62167
ago,1978,41.62167
ago,1979,41.62167
ago,1980,41.62167
ago,1981,40.37215
ago,1982,42.03289
ago,1983,42.03289
ago,1984,39.89623
ago,1985,41.51172
ago,1986,39.89623
ago,1987,39.89623
ago,1988,41.51172
ago,1989,41.51172
ago,1990,39.58816
ago,1991,43.43912
ago,1992,43.12945
ago,1993,41.82716
ago,1994,41.82716
ago,1995,42.12375
ago,1996,42.12375
ago,1997,42.12375
ago,1998,42.56084
ago,1999,42.56084
ago,2000,42.56084
ago,2001,42.56084
ago,2002,40.33631
ago,2003,40.33631
ago,2004,40.33631
ago,2005,40.33631
ago,2006,40.33631
ago,2007,40.33631
ago,2008,45.28877
ago,2009,45.28877
ago,2010,45.28877
ago,2011,44.75164
ago,2012,44.75164
ago,2013,41.95928
ago,2014,41.95928
ago,2015,41.95928
ago,2016,43.53839
ago,2017,43.73857
ago,2018,43.91534
ago,2019,48.31103
alb,1975,40.56043
alb,1976,40.56043
alb,1977,40.56043
alb,1978,40.56043
alb,1979,40.56043
alb,1980,40.56043
alb,1981,35.36906
alb,1982,35.36906
alb,1983,35.36906
alb,1984,36.9885
alb,1985,36.9885
alb,1986,36.9885
alb,1987,36.9885
alb,1988,36.9885
alb,1989,36.9885
alb,1990,44.50277
alb,1991,48.23527
alb,1992,48.76797
alb,1993,49.07443
alb,1994,50.60648
alb,1995,49.40568
alb,1996,49.40568
alb,1997,48.76797
alb,1998,49.07443
alb,1999,48.76797
alb,2000,47.53336
alb,2001,47.53336
alb,2002,46.63204
alb,2003,46.05841
alb,2004,46.82985
alb,2005,46.82985
alb,2006,45.71628
alb,2007,45.71628
alb,2008,45.71628
alb,2009,45.71628
alb,2010,45.71628
alb,2011,45.71628
alb,2012,46.53871
alb,2013,50.1563
alb,2014,53.40042
alb,2015,53.40042
alb,2016,53.40042
alb,2017,50.84518
alb,2018,53.46619
alb,2019,52.37815
are,1975,16.01795
are,1976,16.01795
are,1977,16.01795
are,1978,16.01795
are,1979,16.01795
are,1980,16.01795
are,1981,18.06422
are,1982,18.06422
are,1983,18.06422
are,1984,17.89125
are,1985,18.54115
are,1986,18.94803
are,1987,18.54115
are,1988,18.94803
are,1989,18.94803
are,1990,18.54115
are,1991,18.94803
are,1992,19.31797
are,1993,19.31797
are,1994,23.99386
are,1995,23.99386
are,1996,23.99386
are,1997,23.99386
are,1998,23.60375
are,1999,23.60375
are,2000,23.60375
are,2001,23.60375
are,2002,23.60375
are,2003,23.60375
are,2004,23.60375
are,2005,23.60375
are,2006,23.60375
are,2007,26.15829
are,2008,24.60109
are,2009,24.60109
are,2010,24.60109
are,2011,24.60109
are,2012,24.60109
are,2013,24.60109
are,2014,24.60109
are,2015,24.60109
are,2016,24.60109
are,2017,25.04853
are,2018,26.68363
are,2019,26.68363
arg,1975,48.11356
arg,1976,39.22436
arg,1977,43.0827
arg,1978,43.0827
arg,1979,43.0827
arg,1980,43.96583
arg,1981,42.76181
arg,1982,44.19717
arg,1983,48.36491
arg,1984,53.8195
arg,1985,55.02595
arg,1986,55.02595
arg,1987,53.8195
arg,1988,55.02595
arg,1989,55.02595
arg,1990,47.08595
arg,1991,47.08595
arg,1992,47.08595
arg,1993,47.42321
arg,1994,47.42321
arg,1995,46.849
arg,1996,46.849
arg,1997,46.849
arg,1998,47.53523
arg,1999,47.53523
arg,2000,53.87328
arg,2001,52.63667
arg,2002,51.51454
arg,2003,51.91388
arg,2004,52.09232
arg,2005,51.06839
arg,2006,50.80154
arg,2007,50.02935
arg,2008,47.73067
arg,2009,47.73067
arg,2010,47.73067
arg,2011,48.83676
arg,2012,48.83676
arg,2013,48.83676
arg,2014,48.83676
arg,2015,48.83676
arg,2016,56.70994
arg,2017,56.13406
arg,2018,56.86475
arg,2019,54.57407
arm,1991,37.84671
arm,1992,38.34578
arm,1993,37.87588
arm,1994,37.87588
arm,1995,36.96711
arm,1996,35.39532
arm,1997,35.92798
arm,1998,35.92798
arm,1999,35.82792
arm,2000,35.09923
arm,2001,35.09923
arm,2002,33.37205
arm,2003,35.46
arm,2004,34.22353
arm,2005,32.96632
arm,2006,32.96632
arm,2007,32.96632
arm,2008,32.96632
arm,2009,32.96632
arm,2010,32.96085
arm,2011,32.96085
arm,2012,32.96085
arm,2013,35.09057
arm,2014,34.52206
arm,2015,34.52206
arm,2016,34.47929
arm,2017,36.49127
arm,2018,46.32856
arm,2019,54.08333
aus,1975,98.40053
aus,1976,98.40053
aus,1977,98.40053
aus,1978,98.40053
aus,1979,98.40053
aus,1980,98.40053
aus,1981,98.53541
aus,1982,98.53541
aus,1983,98.53541
aus,1984,100
aus,1985,100
aus,1986,100
aus,1987,100
aus,1988,100
aus,1989,100
aus,1990,100
aus,1991,100
aus,1992,100
aus,1993,100
aus,1994,100
aus,1995,100
aus,1996,100
aus,1997,100
aus,1998,100
aus,1999,100
aus,2000,100
aus,2001,100
aus,2002,100
aus,2003,100
aus,2004,100
aus,2005,98.03255
aus,2006,98.03255
aus,2007,98.03255
aus,2008,98.03255
aus,2009,98.03255
aus,2010,98.03255
aus,2011,98.03255
aus,2012,98.03255
aus,2013,87.95367
aus,2014,87.95367
aus,2015,85.89978
aus,2016,89.99277
aus,2017,91.78007
aus,2018,91.78007
aus,2019,89.99277
aut,1975,73.44275
aut,1976,73.44275
aut,1977,73.44275
aut,1978,73.44275
aut,1979,73.44275
aut,1980,73.44275
aut,1981,73.88842
aut,1982,73.88842
aut,1983,73.88842
aut,1984,74.60125
aut,1985,74.60125
aut,1986,74.60125
aut,1987,74.60125
aut,1988,74.60125
aut,1989,74.60125
aut,1990,74.60125
aut,1991,74.60125
aut,1992,74.60125
aut,1993,74.60125
aut,1994,74.60125
aut,1995,74.60125
aut,1996,74.60125
aut,1997,74.60125
aut,1998,74.60125
aut,1999,74.60125
aut,2000,74.60125
aut,2001,74.60125
aut,2002,74.60125
aut,2003,74.60125
aut,2004,74.60125
aut,2005,74.60125
aut,2006,74.60125
aut,2007,74.60125
aut,2008,74.60125
