country,time,mmr_ihme
afg,1990,496.331
afg,1991,467.888
afg,1992,441.673
afg,1993,433.992
afg,1994,435.323
afg,1995,436.912
afg,1996,440.974
afg,1997,447.94
afg,1998,455.989
afg,1999,459.485
afg,2000,459.634
afg,2001,462.178
afg,2002,452.119
afg,2003,459.201
afg,2004,458.387
afg,2005,462.12
afg,2006,456.116
afg,2007,458.374
afg,2008,449.533
afg,2009,437.571
afg,2010,416.589
afg,2011,395.561
afg,2012,372.998
afg,2013,352.733
afg,2014,334.633
afg,2015,318.134
afg,2016,302.417
afg,2017,289.103
afg,2018,281.207
afg,2019,267.348
ago,1990,321.779
ago,1991,314.606
ago,1992,310.784
ago,1993,316.817
ago,1994,320.036
ago,1995,307.46
ago,1996,278.322
ago,1997,267.103
ago,1998,278.486
ago,1999,283.161
ago,2000,275.491
ago,2001,264.446
ago,2002,249.861
ago,2003,259.9
ago,2004,254.417
ago,2005,257.517
ago,2006,258.012
ago,2007,253.546
ago,2008,245.581
ago,2009,243.816
ago,2010,238.084
ago,2011,232.559
ago,2012,226.61
ago,2013,219.34
ago,2014,210.595
ago,2015,205.371
ago,2016,198.765
ago,2017,197.618
ago,2018,193.408
ago,2019,186.062
alb,1990,28.51
alb,1991,27.034
alb,1992,23.431
alb,1993,20.436
alb,1994,17.283
alb,1995,16.412
alb,1996,15.316
alb,1997,13.787
alb,1998,12.311
alb,1999,11.847
alb,2000,12.388
alb,2001,11.044
alb,2002,11.031
alb,2003,10.599
alb,2004,10.646
alb,2005,11.978
alb,2006,11.719
alb,2007,10.76
alb,2008,10.487
alb,2009,9.671
alb,2010,9.125
alb,2011,8.764
alb,2012,8.468
alb,2013,8.26
alb,2014,7.984
alb,2015,7.747
alb,2016,7.584
alb,2017,7.462
alb,2018,7.33
alb,2019,7.178
and,1990,2.671
and,1991,2.587
and,1992,2.569
and,1993,2.582
and,1994,2.588
and,1995,2.518
and,1996,2.449
and,1997,2.395
and,1998,2.344
and,1999,2.318
and,2000,2.295
and,2001,2.275
and,2002,2.229
and,2003,2.241
and,2004,2.28
and,2005,2.264
and,2006,2.252
and,2007,2.211
and,2008,2.184
and,2009,2.156
and,2010,2.103
and,2011,2.082
and,2012,2.059
and,2013,2.003
and,2014,1.95
and,2015,1.883
and,2016,1.917
and,2017,1.916
and,2018,1.904
and,2019,1.883
are,1990,24.036
are,1991,23.351
are,1992,22.545
are,1993,21.464
are,1994,19.428
are,1995,18.632
are,1996,18.128
are,1997,17.672
are,1998,17.525
are,1999,17.518
are,2000,17.438
are,2001,17.292
are,2002,17.122
are,2003,16.738
are,2004,14.899
are,2005,13.792
are,2006,12.19
are,2007,10.963
are,2008,9.451
are,2009,8.77
are,2010,8.887
are,2011,9.144
are,2012,9.525
are,2013,11.3
are,2014,15.454
are,2015,16.459
