global,time,oil_sp_qty
world,1970,383000
world,1971,144000
world,1972,313000
world,1973,159000
world,1974,174000
world,1975,352000
world,1976,365000
world,1977,276000
world,1978,393000
world,1979,636000
world,1980,206000
world,1981,48000
world,1982,12000
world,1983,384000
world,1984,29000
world,1985,85000
world,1986,19000
world,1987,38000
world,1988,190000
world,1989,164000
world,1990,61000
world,1991,431000
world,1992,167000
world,1993,140000
world,1994,130000
world,1995,12000
world,1996,80000
world,1997,72000
world,1998,13000
world,1999,28000
world,2000,14000
world,2001,9000
world,2002,66000
world,2003,43000
world,2004,17000
world,2005,15000
world,2006,12000
world,2007,15000
world,2008,2000
world,2009,3000
world,2010,12000
world,2011,2000
world,2012,1000
world,2013,7000
world,2014,5000
world,2015,7000
world,2016,6000
world,2017,7000
world,2018,116000
world,2019,1000
world,2020,1000
