world_4region,time,percit_5_10m
africa,1950,0
africa,1955,0
africa,1960,0
africa,1965,0
africa,1970,1.54
africa,1975,1.56
africa,1980,1.54
africa,1985,1.52
africa,1990,1.57
africa,1995,0.84
africa,2000,1.66
africa,2005,1.8
africa,2010,1.41
africa,2015,1.46
africa,2020,2.77
africa,2025,3.35
africa,2030,4.78
africa,2035,6.76
americas,1950,1.53
americas,1955,4.41
americas,1960,5.92
americas,1965,8.45
americas,1970,9.18
americas,1975,7.59
americas,1980,5.8
americas,1985,3.26
americas,1990,3.19
americas,1995,3.24
americas,2000,3.95
americas,2005,5.75
americas,2010,6.38
americas,2015,7.63
americas,2020,6.75
americas,2025,7.33
americas,2030,8.38
americas,2035,8.49
asia,1950,0.5
asia,1955,1.28
asia,1960,0.76
asia,1965,1.3
asia,1970,1.5
asia,1975,1.5
asia,1980,2.8
asia,1985,2.39
asia,1990,2.88
asia,1995,2.85
asia,2000,3.71
asia,2005,4.28
asia,2010,4.37
asia,2015,4.41
asia,2020,4.59
asia,2025,5.09
asia,2030,5.12
asia,2035,4.88
europe,1950,3.46
europe,1955,3.41
europe,1960,3.39
europe,1965,3.3
europe,1970,3.24
europe,1975,3.19
europe,1980,3.13
europe,1985,3.84
europe,1990,4
europe,1995,4.17
europe,2000,3.82
europe,2005,1.58
europe,2010,1.68
europe,2015,3.02
europe,2020,3.78
europe,2025,3.94
europe,2030,2.85
europe,2035,2.92
