country,time,popcit_500k_1m
afg,1950,0
afg,1955,0
afg,1960,0
afg,1965,0
afg,1970,0
afg,1975,674254
afg,1980,977824
afg,1985,0
afg,1990,0
afg,1995,0
afg,2000,0
afg,2005,0
afg,2010,0
afg,2015,0
afg,2020,1138264
afg,2025,2011569
afg,2030,2392359
afg,2035,2325133
ago,1950,0
ago,1955,0
ago,1960,0
ago,1965,0
ago,1970,0
ago,1975,598504
ago,1980,771349
ago,1985,0
ago,1990,0
ago,1995,0
ago,2000,0
ago,2005,502724
ago,2010,552957
ago,2015,2418240
ago,2020,4703676
ago,2025,5404007
ago,2030,3255486
ago,2035,1263088
alb,1950,0
alb,1955,0
alb,1960,0
alb,1965,0
alb,1970,0
alb,1975,0
alb,1980,0
alb,1985,0
alb,1990,0
alb,1995,0
alb,2000,0
alb,2005,0
alb,2010,0
alb,2015,0
alb,2020,0
alb,2025,535702
alb,2030,565301
alb,2035,581626
are,1950,0
are,1955,0
are,1960,0
are,1965,0
are,1970,0
are,1975,0
are,1980,0
are,1985,0
are,1990,0
are,1995,649755
are,2000,1411935
are,2005,1331687
are,2010,1812318
are,2015,0
are,2020,610887
are,2025,666376
are,2030,715618
are,2035,761299
arg,1950,554483
arg,1955,1119838
arg,1960,1276658
arg,1965,1440785
arg,1970,1626024
arg,1975,2846637
arg,1980,2123758
arg,1985,1826898
arg,1990,2513760
arg,1995,2652411
arg,2000,2775448
arg,2005,3488351
arg,2010,3784621
arg,2015,4048007
arg,2020,4319998
arg,2025,3526512
arg,2030,3695186
arg,2035,3335876
arm,1950,0
arm,1955,0
arm,1960,537759
arm,1965,647706
arm,1970,778158
arm,1975,911195
arm,1980,0
arm,1985,0
arm,1990,0
arm,1995,0
arm,2000,0
arm,2005,0
arm,2010,0
arm,2015,0
arm,2020,0
arm,2025,0
arm,2030,0
arm,2035,0
atg,1950,0
atg,1955,0
atg,1960,0
atg,1965,0
atg,1970,0
atg,1975,0
atg,1980,0
atg,1985,0
atg,1990,0
atg,1995,0
atg,2000,0
atg,2005,0
atg,2010,0
atg,2015,0
atg,2020,0
atg,2025,0
atg,2030,0
atg,2035,0
aus,1950,0
aus,1955,517881
aus,1960,1174821
aus,1965,1395332
aus,1970,2442614
aus,1975,1753129
aus,1980,1893457
aus,1985,0
aus,1990,0
aus,1995,0
aus,2000,0
aus,2005,0
aus,2010,566112
aus,2015,633243
aus,2020,699226
aus,2025,752570
aus,2030,1310858
aus,2035,1907565
aut,1950,0
aut,1955,0
aut,1960,0
aut,1965,0
aut,1970,0
aut,1975,0
aut,1980,0
aut,1985,0
aut,1990,0
aut,1995,0
aut,2000,0
aut,2005,0
aut,2010,0
aut,2015,0
aut,2020,0
aut,2025,0
aut,2030,0
aut,2035,0
aze,1950,896761
aze,1955,939529
aze,1960,0
aze,1965,0
aze,1970,0
aze,1975,0
aze,1980,0
aze,1985,0
aze,1990,0
aze,1995,0
aze,2000,0
aze,2005,0
aze,2010,0
aze,2015,0
aze,2020,0
aze,2025,0
aze,2030,0
