country,time,u5stunted_prc
alb,2005,26.71661
alb,2006,23.97414
alb,2007,21.51319
alb,2008,19.30485
alb,2009,18.1942
alb,2010,17.14744
alb,2011,16.16091
alb,2012,15.23114
alb,2013,14.35485
alb,2014,13.52899
alb,2015,12.75063
alb,2016,12.01706
alb,2017,11.32569
arm,2000,16.72481
arm,2001,16.95605
arm,2002,17.19048
arm,2003,17.42816
arm,2004,17.66913
arm,2005,17.91342
arm,2006,18.46796
arm,2007,19.03966
arm,2008,19.62906
arm,2009,20.2367
arm,2010,20.86316
arm,2011,17.78771
arm,2012,15.16561
arm,2013,12.93003
arm,2014,11.02401
arm,2015,9.39895
ben,2001,35.76724
ben,2002,37.12083
ben,2003,38.52564
ben,2004,39.98361
ben,2005,41.49676
ben,2006,43.06718
ben,2007,41.81891
ben,2008,40.60681
ben,2009,39.42985
ben,2010,38.287
ben,2011,37.17728
ben,2012,36.09972
ben,2013,35.05339
ben,2014,34.03739
ben,2015,33.82813
ben,2016,33.62015
ben,2017,33.41345
bfa,1998,41.49161
bfa,1999,41.8616
bfa,2000,42.23489
bfa,2001,42.6115
bfa,2002,42.99148
bfa,2003,43.37484
bfa,2004,42.88567
bfa,2005,42.40202
bfa,2006,41.92382
bfa,2007,40.03144
bfa,2008,38.22448
bfa,2009,36.49908
bfa,2010,34.85157
bgd,1996,60.04592
bgd,1997,56.93147
bgd,1998,53.97857
bgd,1999,51.17882
bgd,2000,51.05408
bgd,2001,50.92963
bgd,2002,50.8055
bgd,2003,50.68166
bgd,2004,50.55813
bgd,2005,47.95123
bgd,2006,45.47875
bgd,2007,43.13376
bgd,2008,42.67117
bgd,2009,42.21353
bgd,2010,41.76081
bgd,2011,41.31294
bgd,2012,42.13812
bgd,2013,39.07753
bgd,2014,36.23924
civ,1998,31.0078
civ,1999,32.01638
civ,2000,33.05776
civ,2001,34.13301
civ,2002,35.24324
civ,2003,36.38959
civ,2004,37.57321
civ,2005,38.79534
civ,2006,40.05722
civ,2007,37.84444
civ,2008,35.75389
civ,2009,33.77883
civ,2010,31.91287
civ,2011,30.14999
civ,2012,28.24783
civ,2013,26.46567
civ,2014,24.79596
civ,2015,23.23158
civ,2016,21.7659
cmr,2004,35.55818
cmr,2005,35.9404
cmr,2006,36.32672
cmr,2007,35.56171
cmr,2008,34.8128
cmr,2009,34.07967
cmr,2010,33.36198
cmr,2011,32.6594
cmr,2012,32.35391
cmr,2013,32.05127
cmr,2014,31.75147
cog,2005,30.75212
cog,2006,29.60398
cog,2007,28.49871
cog,2008,27.43471
cog,2009,26.41042
cog,2010,25.42439
cog,2011,24.47516
cog,2012,23.36391
cog,2013,22.30312
cog,2014,21.29049
col,1995,19.53138
col,1996,19.2506
col,1997,18.97387
col,1998,18.7011
col,1999,18.43226
col,2000,18.16729
col,2001,17.64502
col,2002,17.13776
col,2003,16.64509
col,2004,16.16658
col,2005,15.70182
col,2006,15.03349
col,2007,14.39361
col,2008,13.78096
col,2009,13.19439
col,2010,12.63279
dom,1996,13.47786
dom,1997,13.11198
dom,1998,12.75602
dom,1999,12.40974
dom,2000,12.07285
dom,2001,11.74511
dom,2002,11.42626
dom,2003,11.08019
dom,2004,10.74461
dom,2005,10.41919
dom,2006,10.10363
dom,2007,9.79762
dom,2008,9.28388
dom,2009,8.79707
dom,2010,8.33579
dom,2011,7.8987
dom,2012,7.48453
dom,2013,7.09207
ecu,2004,32.62551
ecu,2005,31.49686
ecu,2006,30.40725
ecu,2007,29.35533
ecu,2008,28.33981
ecu,2009,27.35942
ecu,2010,26.41294
ecu,2011,25.4992
ecu,2012,24.61708
egy,1995,33.69555
egy,1996,32.41237
egy,1997,31.17806
egy,1998,29.99076
egy,1999,28.84867
egy,2000,27.75007
egy,2001,26.69331
egy,2002,25.67679
egy,2003,24.69898
egy,2004,23.7584
egy,2005,22.85365
egy,2006,24.71518
egy,2007,26.72834
egy,2008,28.90548
egy,2009,27.67744
egy,2010,26.50156
egy,2011,25.37565
egy,2012,24.29757
egy,2013,23.26529
egy,2014,22.27687
eth,2000,57.7006
eth,2001,56.26267
eth,2002,54.86058
eth,2003,53.49342
eth,2004,52.16034
eth,2005,50.86048
