world_4region,time,un_peakeeper_rate
africa,2010,4
africa,2011,4
africa,2012,4
africa,2013,4
africa,2014,4
africa,2015,5
africa,2016,5
africa,2017,4
africa,2018,4
africa,2019,3
africa,2020,3
africa,2021,3
americas,2010,1
americas,2011,1
americas,2012,1
americas,2013,1
americas,2014,1
americas,2015,1
americas,2016,1
americas,2017,1
americas,2018,0
americas,2019,0
americas,2020,0
americas,2021,0
asia,2010,1
asia,2011,1
asia,2012,1
asia,2013,1
asia,2014,1
asia,2015,1
asia,2016,1
asia,2017,1
asia,2018,1
asia,2019,1
asia,2020,1
asia,2021,1
europe,2010,1
europe,2011,1
europe,2012,1
europe,2013,1
europe,2014,1
europe,2015,1
europe,2016,1
europe,2017,1
europe,2018,1
europe,2019,1
europe,2020,1
europe,2021,1
