country,time,vccin_sfty_dag
afg,2015,8.5
afg,2018,4.5
alb,2018,15.8
are,2018,4.4
arg,2015,1.2
arg,2018,4.8
arm,2015,21.6
arm,2018,20.6
aus,2015,5.4
aus,2018,6.9
aut,2015,14.6
aut,2018,21.1
aze,2015,13.7
aze,2018,11.2
bdi,2018,6.5
bel,2015,14
bel,2018,20.6
ben,2018,14
bfa,2018,20.8
bgd,2015,0.2
bgd,2018,0.9
bgr,2015,12.1
bgr,2018,15.6
bih,2015,36.3
bih,2018,8.3
blr,2018,14.8
bol,2018,13.1
bra,2015,6
bra,2018,9
bwa,2018,9
can,2015,12.1
can,2018,8.3
che,2018,21.5
chl,2018,11.4
chn,2015,15.8
chn,2018,8.3
civ,2018,16.4
cmr,2018,13.1
cod,2015,13.8
cog,2018,17.5
col,2015,8.8
col,2018,10.7
com,2018,7.5
cri,2018,5.8
cyp,2018,9.9
cze,2015,10.2
cze,2018,6.6
deu,2015,10.5
deu,2018,12.9
dnk,2015,6.3
dnk,2018,9
dom,2018,4.9
dza,2015,4.5
dza,2018,11.3
ecu,2015,3.1
ecu,2018,5.4
egy,2018,0.6
esp,2015,8.9
esp,2018,7
est,2018,13.5
eth,2015,4.2
eth,2018,2.5
fin,2015,4.9
fin,2018,8
fji,2015,13.7
fra,2015,41
fra,2018,33.3
gab,2018,25.9
gbr,2015,8.7
gbr,2018,8.7
geo,2018,9.6
gha,2015,5.1
gha,2018,3.5
gin,2018,14.1
gmb,2018,4.8
grc,2015,25.5
grc,2018,3.6
gtm,2018,7.3
hkg,2015,18.5
hnd,2018,5.9
hrv,2018,6.8
hti,2018,20.4
hun,2018,2.6
idn,2015,3.4
idn,2018,5.7
ind,2015,8.9
ind,2018,2
irl,2015,10.9
irl,2018,9.4
irn,2015,22.6
irn,2018,9.2
irq,2015,0
irq,2018,4.4
isl,2015,5.5
isl,2018,21.3
isr,2015,0
isr,2018,4.8
ita,2015,20.6
ita,2018,13.7
jor,2018,3.2
jpn,2015,25.2
jpn,2018,8.3
kaz,2018,10.3
ken,2018,5.3
kgz,2018,8.8
khm,2018,7.5
kor,2015,8.9
kor,2018,7.9
kwt,2018,4.1
lao,2018,1.9
lbn,2015,12.5
lbn,2018,3.3
lbr,2018,2.5
lby,2018,9
lka,2018,7
ltu,2018,8.3
lux,2018,12.4
lva,2015,18.6
lva,2018,17.1
mar,2015,5.7
mar,2018,3.9
mda,2018,10.7
mdg,2018,10.4
mex,2015,14.4
mex,2018,6.5
mkd,2015,17.8
mkd,2018,13.5
mli,2018,17.1
mlt,2018,6.3
mmr,2018,4.2
mne,2018,13.4
mng,2015,26.8
mng,2018,16
moz,2018,4.4
mrt,2018,9.6
mus,2018,17
mwi,2018,3.8
mys,2018,2.8
nam,2018,11.2
ner,2018,7.2
nga,2015,6.8
nga,2018,5
nic,2018,2.8
nld,2015,11.1
nld,2018,17
nor,2018,5.7
npl,2018,3.3
nzl,2018,9.8
pak,2015,7
pak,2018,4.5
pan,2015,7.3
pan,2018,5.1
per,2015,8.3
per,2018,17.5
phl,2015,1.9
phl,2018,13.9
png,2015,12.7
pol,2015,12
pol,2018,5.3
prt,2015,4.2
prt,2018,5.1
pry,2018,8
pse,2015,10
pse,2018,3
rou,2015,19.9
rou,2018,12.9
rus,2015,27.5
rus,2018,23.6
rwa,2018,1.6
sau,2015,1.2
sau,2018,2.7
sen,2018,14.7
sgp,2018,3
sle,2018,3.9
slv,2018,11.4
srb,2015,16.4
srb,2018,9.2
svk,2018,6.4
svn,2015,22
svn,2018,12.3
swe,2015,8.6
swe,2018,12.3
swz,2018,10.1
tcd,2018,10.1
tgo,2018,25
tha,2015,5.5
tha,2018,3
tjk,2018,0.9
tkm,2018,4.9
tun,2015,7.6
tun,2018,5.1
tur,2015,17
tur,2018,5.9
twn,2018,17
tza,2018,2.3
uga,2018,8.5
ukr,2015,25
ukr,2018,15.3
ury,2018,10.8
usa,2015,13.5
usa,2018,11.1
uzb,2018,3.3
ven,2018,4.1
vnm,2015,20.9
vnm,2018,8.1
yem,2018,3.1
zaf,2015,9.8
zaf,2018,9
zmb,2018,10.3
zwe,2018,3.8
