geo,time,ag_agr_trac_no
afg,1961,120
afg,1962,150
afg,1963,200
afg,1964,200
afg,1965,300
afg,1966,400
afg,1967,500
afg,1968,500
afg,1969,550
afg,1970,550
afg,1971,600
afg,1972,600
afg,1973,585
afg,1974,570
afg,1975,550
afg,1976,530
afg,1977,515
afg,1978,495
afg,1979,450
afg,1980,400
afg,1981,350
afg,1982,300
afg,1983,250
afg,1984,200
afg,1985,150
afg,1986,150
afg,1987,120
afg,1988,120
afg,1989,120
afg,1990,120
afg,1991,120
afg,1992,110
afg,1993,110
afg,1994,110
afg,1995,110
afg,1996,110
afg,1997,110
afg,1998,110
afg,1999,110
afg,2000,110
afg,2001,102
afg,2002,161
afg,2003,96
afg,2004,114
afg,2005,132
afg,2006,711
afg,2007,1011
afg,2008,171
afg,2009,223
ago,1961,800
ago,1962,1645
ago,1963,2000
ago,1964,2817
ago,1965,3000
ago,1966,3729
ago,1967,4500
ago,1968,5300
ago,1969,6400
ago,1970,7113
ago,1971,8108
alb,1961,2900
alb,1962,3800
alb,1963,3800
alb,1964,4200
alb,1965,4331
alb,1966,4714
alb,1967,5321
alb,1968,5719
alb,1969,5884
alb,1970,6015
alb,1971,6700
alb,1972,7400
alb,1973,8184
alb,1974,8700
alb,1975,9620
alb,1976,9800
alb,1977,10000
alb,1978,10100
alb,1979,10100
alb,1980,10105
alb,1981,10200
alb,1982,10300
alb,1983,10420
alb,1984,10200
alb,1985,9950
alb,1986,10200
alb,1987,10630
alb,1988,11600
alb,1989,12100
alb,1990,12300
alb,1991,9469
alb,1992,9000
alb,1993,9049
alb,1994,9100
alb,1995,8938
alb,1996,8313
alb,1997,7910
alb,1998,8150
alb,1999,8200
alb,2000,8087
alb,2001,7647
alb,2002,7515
alb,2003,5917
alb,2004,7574
alb,2005,8122
alb,2006,7902
alb,2007,7317
alb,2008,7438
and,2004,354
and,2005,353
and,2006,358
and,2007,357
and,2008,355
and,2009,353
are,1961,122
are,1962,124
are,1963,126
are,1964,128
are,1965,130
are,1966,132
are,1967,134
are,1968,136
are,1969,138
are,1970,140
are,1971,142
are,1972,144
are,1973,146
are,1974,148
are,1975,150
are,1976,152
are,1977,154
are,1978,156
are,1979,158
are,1980,160
are,1981,162
are,1982,164
are,1983,166
are,1984,168
are,1985,170
are,1986,172
are,1987,174
are,1988,176
are,1989,178
are,1990,180
are,1991,183
are,1992,174
are,1993,166
are,1994,185
are,1995,271
are,1996,283
are,1997,272
are,1998,275
are,1999,275
are,2000,380
arg,1961,120000
arg,1962,130000
arg,1963,140000
arg,1964,150000
arg,1965,155000
arg,1966,160000
arg,1967,165000
arg,1968,170000
arg,1969,175000
arg,1970,168350
arg,1971,171000
arg,1972,174660
arg,1973,180000
arg,1974,180000
arg,1975,180000
arg,1976,180000
arg,1977,180000
arg,1978,173000
arg,1979,171400
arg,1980,166700
arg,1981,213000
arg,1982,203700
arg,1983,201800
arg,1984,203700
arg,1985,204000
arg,1986,225000
arg,1987,245000
arg,1988,267782
arg,1989,266100
arg,1990,264500
arg,1991,262850
arg,1992,261200
arg,1993,259500
arg,1994,257800
arg,1995,256100
arg,1996,254400
arg,1997,252700
arg,1998,251000
arg,1999,249300
arg,2000,247600
arg,2001,245900
