geo,time,ag_lnd_crel_ha
afg,1961,3313500
afg,1962,3425500
afg,1963,3426500
afg,1964,3446500
afg,1965,3444500
afg,1966,3446500
afg,1967,3124500
afg,1968,3041500
afg,1969,3081500
afg,1970,3178000
afg,1971,3400000
afg,1972,3923100
afg,1973,3337000
afg,1974,3342000
afg,1975,3404000
afg,1976,3394000
afg,1977,3388000
afg,1978,3392000
afg,1979,3183500
afg,1980,3018500
afg,1981,2909000
afg,1982,2799500
afg,1983,2649000
afg,1984,2562000
afg,1985,2434500
afg,1986,2347000
afg,1987,2496000
afg,1988,2331000
afg,1989,2290000
afg,1990,2253000
afg,1991,2345071
afg,1992,2250000
afg,1993,2631882
afg,1994,2757000
afg,1995,2669450
afg,1996,2691670
afg,1997,2730401
afg,1998,2792105
afg,1999,2532871
afg,2000,2406000
afg,2001,2094000
afg,2002,2238000
afg,2003,3004700
afg,2004,2667000
afg,2005,3030000
afg,2006,2989000
afg,2007,3021000
afg,2008,2714000
afg,2009,3192000
afg,2010,2962000
afg,2011,2820000
afg,2012,3143000
afg,2013,3182922
afg,2014,3344733
afg,2015,2725863
afg,2016,2793975
afg,2017,2419676
afg,2018,1912634
ago,1961,657000
ago,1962,654000
ago,1963,645000
ago,1964,644000
ago,1965,603000
ago,1966,609000
ago,1967,632200
ago,1968,653000
ago,1969,721000
ago,1970,632000
ago,1971,649000
ago,1972,658000
ago,1973,718000
ago,1974,721000
ago,1975,721000
ago,1976,726000
ago,1977,713000
ago,1978,712000
ago,1979,709000
ago,1980,704000
ago,1981,700500
ago,1982,699000
ago,1983,695400
ago,1984,688800
ago,1985,685800
ago,1986,899000
ago,1987,956000
ago,1988,1006000
ago,1989,982000
ago,1990,774281
ago,1991,891200
ago,1992,1011875
ago,1993,1201385
ago,1994,955000
ago,1995,737214
ago,1996,795291
ago,1997,791198
ago,1998,868838
ago,1999,872348
ago,2000,920726
ago,2001,1026812
ago,2002,1170009
ago,2003,1140009
ago,2004,1509879
ago,2005,1568233
ago,2006,1622092
ago,2007,1682171
ago,2008,1156211
ago,2009,1849528
ago,2010,1878155
ago,2011,2132989
ago,2012,923085
ago,2013,2056204
ago,2014,2052765
ago,2015,2055286
ago,2016,3107989
ago,2017,3830618
ago,2018,3245206
alb,1961,347764
alb,1962,332882
alb,1963,298725
alb,1964,342158
alb,1965,323238
alb,1966,328443
alb,1967,332935
alb,1968,323150
alb,1969,322299
alb,1970,327282
alb,1971,312203
alb,1972,331220
alb,1973,339400
alb,1974,334040
alb,1975,328500
alb,1976,350500
alb,1977,357000
alb,1978,356000
alb,1979,365800
alb,1980,372500
alb,1981,361600
alb,1982,357400
alb,1983,350300
alb,1984,350400
alb,1985,343000
alb,1986,349800
alb,1987,345900
alb,1988,347000
alb,1989,348900
alb,1990,321000
alb,1991,215339
alb,1992,198700
alb,1993,247936
alb,1994,262515
alb,1995,227137
alb,1996,205526
alb,1997,212488
alb,1998,210906
alb,1999,177800
alb,2000,178200
alb,2001,165800
alb,2002,157600
alb,2003,153340
alb,2004,143900
alb,2005,147655
alb,2006,140870
alb,2007,132390
alb,2008,149100
alb,2009,146200
alb,2010,145700
alb,2011,147599
alb,2012,142800
alb,2013,142000
alb,2014,143149
alb,2015,142600
alb,2016,148084
alb,2017,145799
alb,2018,140110
are,1977,12
are,1978,165
are,1979,350
are,1980,376
are,1981,375
are,1982,890
are,1983,900
are,1984,952
are,1985,970
are,1986,991
are,1987,790
are,1988,673
are,1989,624
are,1990,1298
are,1991,1721
are,1992,1552
are,1993,1079
are,1994,772
are,1995,768
are,1996,723
are,1997,283
are,1998,243
are,1999,236
are,2000,231
are,2001,208
are,2002,173
are,2003,113
are,2004,108
are,2005,107
are,2006,106
are,2007,87
are,2008,107
are,2009,138
are,2010,295
are,2011,191
are,2012,312
are,2013,21
are,2014,195
are,2015,119
are,2016,193
are,2017,571
are,2018,328
arg,1961,10287500
arg,1962,8699220
arg,1963,11468110
arg,1964,12281330
arg,1965,9866080
arg,1966,11122075
arg,1967,12185670
arg,1968,12408430
arg,1969,11884800
arg,1970,11221810
arg,1971,12321590
arg,1972,11702050
arg,1973,11688950
arg,1974,11538000
arg,1975,11780050
arg,1976,13051770
arg,1977,10542300
arg,1978,11425900
arg,1979,11131900
arg,1980,9952900
arg,1981,12377000
arg,1982,14052800
arg,1983,13599000
arg,1984,12337485
arg,1985,11508250
arg,1986,10119555
arg,1987,9631373
arg,1988,8835955
arg,1989,8515784
arg,1990,8504919
arg,1991,9374145
arg,1992,8661890
arg,1993,8327985
arg,1994,8557865
arg,1995,9011225
arg,1996,8896900
arg,1997,12252838
arg,1998,10551285
arg,1999,9702535
arg,2000,10968267
arg,2001,10786923
arg,2002,10624301
arg,2003,9725016
arg,2004,9439752
arg,2005,10115019
arg,2006,8677568
arg,2007,9908567
arg,2008,10904474
arg,2009,7966743
arg,2010,8304862
arg,2011,10986263
arg,2012,11444040
arg,2013,10570463
arg,2014,10518090
arg,2015,11712970
arg,2016,11750567
arg,2017,14134792
arg,2018,15111246
arm,1992,162767
arm,1993,181430
arm,1994,158077
arm,1995,133512
arm,1996,166633
arm,1997,186100
arm,1998,182500
arm,1999,164489
arm,2000,156883
arm,2001,191699
arm,2002,184869
arm,2003,194815
arm,2004,198015
arm,2005,202111
arm,2006,157557
arm,2007,172630
arm,2008,170141
arm,2009,164014
arm,2010,155666
arm,2011,156138
arm,2012,170172
arm,2013,176945
arm,2014,180626
arm,2015,190209
arm,2016,194717
arm,2017,150892
arm,2018,127436
atg,1966,12
atg,1967,8
atg,1968,12
atg,1969,20
atg,1970,25
atg,1971,35
atg,1972,40
atg,1973,14
atg,1974,18
atg,1975,32
atg,1976,28
atg,1977,18
atg,1978,20
atg,1979,50
atg,1980,17
atg,1981,25
atg,1982,33
atg,1983,38
atg,1984,17
atg,1985,20
atg,1986,21
atg,1987,25
atg,1988,28
atg,1989,28
atg,1990,21
atg,1991,30
atg,1992,30
atg,1993,30
atg,1994,30
atg,1995,28
atg,1996,30
atg,1997,30
atg,1998,30
atg,1999,30
atg,2000,30
atg,2001,31
atg,2002,32
atg,2003,35
atg,2004,38
atg,2005,38
atg,2006,40
atg,2007,40
atg,2008,42
atg,2009,42
atg,2010,40
atg,2011,45
atg,2012,44
atg,2013,45
atg,2014,45
atg,2015,46
atg,2016,46
atg,2017,47
atg,2018,47
aus,1961,8441623
aus,1962,9154626
aus,1963,9191184
aus,1964,9822032
aus,1965,9846764
aus,1966,11504354
aus,1967,11884253
aus,1968,14121516
aus,1969,12781700
aus,1970,10598124
aus,1971,11689197
aus,1972,11555097
aus,1973,12891607
aus,1974,11744994
aus,1975,12564985
aus,1976,12967979
aus,1977,14599138
aus,1978,15042503
aus,1979,15457828
aus,1980,15587177
aus,1981,16912666
aus,1982,16201605
