global,time,ag_prd_food_xd
world,1961,0.16422
world,1962,0.16794
world,1963,0.17602
world,1964,0.17261
world,1965,0.1744
world,1966,0.17745
world,1967,0.19673
world,1968,0.18765
world,1969,0.20055
world,1970,0.20854
world,1971,0.21436
world,1972,0.2174
world,1973,0.22365
world,1974,0.23981
world,1975,0.24637
world,1976,0.25241
world,1977,0.26609
world,1978,0.27323
world,1979,0.27188
world,1980,0.28375
world,1981,0.31226
world,1982,0.28654
world,1983,0.29428
world,1984,0.27581
world,1985,0.3155
world,1986,0.31216
world,1987,0.29539
world,1988,0.33218
world,1989,0.30176
world,1990,0.29995
world,1991,0.34379
world,1992,0.36776
world,1993,0.35138
world,1994,0.42043
world,1995,0.43273
world,1996,0.46665
world,1997,0.47385
world,1998,0.50174
world,1999,0.51066
world,2000,0.53803
world,2001,0.57417
world,2002,0.59467
world,2003,0.63572
world,2004,0.63716
world,2005,0.65533
world,2006,0.66554
world,2007,0.6609
world,2008,0.67334
world,2009,0.68318
world,2010,0.66159
world,2011,0.70122
world,2012,0.20958
world,2013,0.21502
world,2014,0.22058
