geo,time,ag_prd_lvsk_xd
afg,1961,41.52
afg,1962,42.05
afg,1963,44.7
afg,1964,46.15
afg,1965,48.74
afg,1966,54.03
afg,1967,57.34
afg,1968,61.69
afg,1969,62
afg,1970,56.76
afg,1971,55.16
afg,1972,49.82
afg,1973,55.11
afg,1974,57.57
afg,1975,60.08
afg,1976,65.63
afg,1977,65.07
afg,1978,65.79
afg,1979,66.21
afg,1980,67.47
afg,1981,69.56
afg,1982,70.05
afg,1983,68.28
afg,1984,64.51
afg,1985,57.9
afg,1986,49.62
afg,1987,52.9
afg,1988,55.47
afg,1989,57.78
afg,1990,67.03
afg,1991,68.47
afg,1992,68.07
afg,1993,72.01
afg,1994,78.97
afg,1995,84.97
afg,1996,93.57
afg,1997,102.33
afg,1998,109.8
afg,1999,115.04
afg,2000,98
afg,2001,78.83
afg,2002,95.02
afg,2003,90.39
afg,2004,97.06
afg,2005,95.46
afg,2006,84.65
afg,2007,86.5
afg,2008,91.31
afg,2009,94.05
afg,2010,97.95
afg,2011,100.41
afg,2012,101.19
afg,2013,96.25
afg,2014,104.25
afg,2015,96.8
afg,2016,98.95
afg,2017,96.78
afg,2018,98.68
afg,2019,94.61
ago,1961,23.95
ago,1962,24.68
ago,1963,25.29
ago,1964,26.95
ago,1965,28.15
ago,1966,28.96
ago,1967,29.89
ago,1968,29.96
ago,1969,31.46
ago,1970,33.79
ago,1971,34.5
ago,1972,34.21
ago,1973,35.28
ago,1974,35.87
ago,1975,39.35
ago,1976,35.91
ago,1977,36.65
ago,1978,37.81
ago,1979,38.81
ago,1980,39.53
ago,1981,40.38
ago,1982,42.08
ago,1983,42.73
ago,1984,43.42
ago,1985,44.51
ago,1986,45.89
ago,1987,45.9
ago,1988,46.19
ago,1989,46.6
ago,1990,47.9
ago,1991,48.32
ago,1992,51.49
ago,1993,52.56
ago,1994,51.66
ago,1995,48.53
ago,1996,56.83
ago,1997,60.34
ago,1998,64.49
ago,1999,64.89
ago,2000,69.55
ago,2001,70.84
ago,2002,72.79
ago,2003,73.48
ago,2004,65.44
ago,2005,72.24
ago,2006,73.39
ago,2007,77.31
ago,2008,80.76
ago,2009,82.25
ago,2010,86.6
ago,2011,88.73
ago,2012,91.44
ago,2013,95.66
ago,2014,98.18
ago,2015,101.32
ago,2016,100.5
ago,2017,102
