geo,time,bm_gsr_insf_zs
abw,1986,1.11602
abw,1987,1.36121
abw,1988,1.21232
abw,1989,0.87563
abw,1990,1.03934
abw,1991,22.69463
abw,1992,24.92136
abw,1993,22.70565
abw,1994,17.59101
abw,1995,5.17692
abw,1996,0.47117
abw,1997,1.81439
abw,1998,3.0044
abw,1999,0.8323
abw,2000,1.7472
abw,2001,1.85237
abw,2002,1.38921
abw,2003,0.99381
abw,2004,1.17302
abw,2005,1.5882
abw,2006,1.80951
abw,2007,1.92048
abw,2008,1.96327
abw,2009,2.27474
abw,2010,2.0477
abw,2011,1.47721
abw,2012,2.28351
abw,2013,2.52054
abw,2014,3.233
abw,2015,4.04101
abw,2016,3.69191
abw,2017,2.87529
abw,2018,3.24419
abw,2019,3.88754
abw,2020,4.37265
afg,1979,6.50069
afg,1980,8.03894
afg,1981,8.21582
afg,1982,8.82479
afg,1983,8.83798
afg,1984,9.17431
afg,1985,8.93576
afg,1986,9.38776
afg,1987,8.65003
afg,1988,9.11667
afg,1989,8.90716
afg,2008,1.43346
afg,2009,1.6762
afg,2010,1.65826
afg,2011,1.88055
afg,2012,1.87837
afg,2013,2.40644
afg,2014,7.72656
afg,2015,1.21671
afg,2016,1.48704
afg,2017,1.33617
afg,2018,1.25463
afg,2019,1.25439
afg,2020,1.3201
ago,1985,3.20749
ago,1986,3.30494
ago,1987,3.16785
ago,1988,3.21781
ago,1989,3.16766
ago,1990,1.88475
ago,1991,2.65728
ago,1992,2.51853
ago,1993,2.11684
ago,1994,2.32088
ago,1995,2.18646
ago,1996,2.00773
ago,1997,2.22344
ago,1998,2.56795
ago,1999,2.34838
ago,2000,2.33601
ago,2001,2.64714
ago,2002,3.84952
ago,2003,5.02328
ago,2004,4.86101
ago,2005,1.76156
ago,2006,5.59685
ago,2007,4.49476
ago,2008,9.19274
ago,2009,4.03803
ago,2010,5.79861
ago,2011,2.08935
ago,2012,1.36677
ago,2013,4.07009
ago,2014,2.02363
ago,2015,3.29843
ago,2016,5.04008
ago,2017,5.55069
ago,2018,7.70157
ago,2019,6.05146
ago,2020,8.96083
alb,1980,4.85714
alb,1981,4.53608
alb,1982,4.88688
alb,1983,4.84163
alb,1984,3.97906
alb,1985,3.07263
alb,1986,3.70558
alb,1987,2.95
alb,1988,3.85496
alb,1989,3.65591
alb,1990,2.92096
alb,1991,1.67665
alb,1992,4.24242
alb,1993,2.7239
alb,1994,3.26038
alb,1995,13.86581
alb,1996,15.94509
alb,1997,18.48758
alb,1998,20.26306
alb,1999,18.63887
alb,2000,7.94316
alb,2001,9.72754
alb,2002,8.53933
alb,2003,3.28912
alb,2004,2.98401
alb,2005,3.46856
alb,2006,3.56691
alb,2007,4.70995
alb,2008,6.32573
alb,2009,4.83555
alb,2010,4.58936
alb,2011,4.72587
alb,2012,5.36721
alb,2013,1.54311
alb,2014,1.51628
alb,2015,3.16201
alb,2016,2.13919
alb,2017,2.37106
alb,2018,2.61932
alb,2019,2.2831
alb,2020,3.12157
and,2019,2.84517
arg,1992,1.6562
arg,1993,4.03286
arg,1994,4.06671
arg,1995,6.87614
arg,1996,5.86959
arg,1997,5.85393
arg,1998,5.38384
arg,1999,5.23076
arg,2000,4.02409
arg,2001,4.78564
arg,2002,2.09185
arg,2003,4.6908
arg,2004,4.0442
arg,2005,5.85736
arg,2006,3.53203
arg,2007,3.46344
arg,2008,3.32917
arg,2009,3.58423
arg,2010,3.94737
arg,2011,3.98273
arg,2012,3.52024
arg,2013,3.21912
arg,2014,4.44933
arg,2015,4.00749
arg,2016,2.93138
arg,2017,2.59384
arg,2018,3.33659
arg,2019,3.00012
arg,2020,4.30582
arm,1993,8.14752
arm,1994,7.21255
arm,1995,7.14041
arm,1996,6.87641
arm,1997,6.52574
arm,1998,6.42586
arm,1999,6.71589
arm,2000,5.53249
arm,2001,3.81613
arm,2002,3.70475
arm,2003,4.47091
arm,2004,3.49287
arm,2005,3.9886
arm,2006,4.28166
arm,2007,5.38267
arm,2008,6.74379
arm,2009,5.86803
arm,2010,5.21399
arm,2011,4.80991
arm,2012,4.35614
arm,2013,4.17671
arm,2014,3.76984
arm,2015,3.63573
arm,2016,3.85419
arm,2017,3.67276
arm,2018,3.65787
arm,2019,3.69633
arm,2020,8.29919
atg,1977,5.38462
atg,1978,6.00634
atg,1979,6.59582
atg,1980,6.72231
atg,1981,6.35272
atg,1982,5.8768
atg,1983,5.45989
atg,1984,4.90751
atg,1985,4.55729
atg,1986,6.00494
atg,1987,6.29993
atg,1988,5.97356
atg,1989,6.32876
atg,1990,8.55119
atg,1991,6.99047
atg,1992,7.46473
atg,1993,11.11079
atg,1994,7.81396
atg,1995,11.0421
atg,1996,12.22444
atg,1997,9.82499
atg,1998,9.4145
atg,1999,15.26968
atg,2000,10.05004
