global,time,bm_gsr_mrch_cd
world,1977,1088124656221.93994
world,1978,1252809550560.88989
world,1979,1580907957868.67993
world,1980,1914221918840.25
world,1981,1904792103758.1001
world,1982,1774986736715.5
world,1983,1742800902985.11011
world,1984,1846643449080.59009
world,1985,1870421941151.16968
world,1986,2058544200787.26001
world,1987,2416881996606.39014
world,1988,2745121043050.93018
world,1989,2962866323886.5498
world,1990,3377655518082.04004
world,1991,3475604887790.14014
world,1992,3717236283590.12012
world,1993,3648082332887.76953
world,1994,4100058789985.02002
world,1995,4902903054600.79004
world,1996,5177527774716.75977
world,1997,5297729875591.95996
world,1998,5264354918120.51953
world,1999,5505469815955.9502
world,2000,6273892285600.05957
world,2001,6008322006359.67969
world,2002,6196943329558.44922
world,2003,7300591117529.33008
world,2004,8901469667324.49023
world,2005,10167302142364.30078
world,2006,11697615821682
world,2007,13468309127747.80078
world,2008,15593644264696.5
world,2009,11972565402131.19922
world,2010,14607576090654.19922
world,2011,17656211248795.30078
world,2012,17838316251019.69922
world,2013,18174507606100.30078
world,2014,18273366853234.5
world,2015,15968084083595.09961
world,2016,15463058789658.5
world,2017,17160992824289.09961
world,2018,19017594509837.5
world,2019,18500944080006.60156
world,2020,17027103567301
