global,time,bm_gsr_royl_cd
world,1960,6599997.76224
world,1961,7599997.76224
world,1962,8399996.64336
world,1963,15399993.84616
world,1964,15399993.84616
world,1965,28599989.37064
world,1966,28599989.37064
world,1967,99393357.25145
world,1968,122280647.82534
world,1969,151133685.91934
world,1970,731652948.22994
world,1971,1195651034.54158
world,1972,1444333426.30497
world,1973,1791036738.54603
world,1974,1951501554.44964
world,1975,3432842292.2562
world,1976,3746375521.46037
world,1977,3972456796.71271
world,1978,4765222565.41021
world,1979,6073480977.17027
world,1980,6786328378.60644
world,1981,7118524944.46236
world,1982,7192452903.75402
world,1983,7468019494.59403
world,1984,7760976071.45289
world,1985,8087870780.65019
world,1986,10389497996.6606
world,1987,13475145515.6091
world,1988,16656926812.518
world,1989,18667594658.63309
world,1990,23691921771.5597
world,1991,25175376343.4416
world,1992,27062098454.4602
world,1993,26901746628.9555
world,1994,30901646729.5438
world,1995,37892839599.7086
world,1996,51031422369.23689
world,1997,54100417616.8761
world,1998,57756077865.8705
world,1999,67081633660.7783
world,2000,75230868619.8011
world,2001,75343114932.5401
world,2002,85017465514.6525
world,2003,95040649594.07111
world,2004,136579117321.99899
world,2005,175456111358.92599
world,2006,184517310408
world,2007,208378808740.40201
world,2008,251392631035.78101
world,2009,247243214751.30701
world,2010,270171397336.04095
world,2011,296727405235.5
world,2012,304537918675.65399
world,2013,330599731909.30701
world,2014,372080446847.68201
world,2015,396056122767.04694
world,2016,373379238054.388
world,2017,402154694629.77893
world,2018,434576342704.07202
world,2019,442641720306.47198
world,2020,450699492382.56897
world,2021,71692697978.0789
