geo,time,bn_klt_ptxl_cd
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
abw,1990,6424581.00559
abw,1991,12234636.87151
abw,1992,6815642.4581
abw,1993,3854748.60335
abw,1994,9329608.93855
abw,1995,16592178.77095
abw,1996,6256983.24022
abw,1997,18994413.40782
abw,1998,47541899.44134
abw,1999,10100558.65922
abw,2000,6837988.82682
abw,2001,-57296089.38547
abw,2002,-64061452.51397
abw,2003,-35916201.11732
abw,2004,-16966480.44693
abw,2005,-22360681.48505
abw,2006,47877688.43646
abw,2007,-60837988.82682
abw,2008,-42625698.32402
abw,2009,1899441.34078
abw,2010,-8938547.48603
abw,2011,-12625698.32402
abw,2012,-143240223.46369
abw,2013,-79490608.37989
abw,2014,-108868282.68156
abw,2015,-60811598.32402
abw,2016,-38193396.53347
abw,2017,93451250.28501
abw,2018,-33166511.55619
abw,2019,50376945.03326
abw,2020,-193276853.57559
afg,1979,0
afg,1980,0
afg,1981,0
afg,1982,0
afg,1983,0
afg,1984,0
afg,1985,0
afg,1986,0
afg,1987,0
afg,1988,0
afg,1989,0
afg,2008,0
afg,2009,0
afg,2010,9981996.02521
afg,2011,78370572.84856
afg,2012,26581573.33976
afg,2013,66453024.68446
afg,2014,47978886.28534
afg,2015,80679314.05985
afg,2016,99469761.46279
afg,2017,-29571651.86827
afg,2018,142704200.48421
afg,2019,-14623495.6264
afg,2020,60619672.81458
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,-990000
ago,2004,2664000
ago,2005,1267025849.55
ago,2006,1439455260.52
ago,2007,2015419577.22
ago,2008,1757515638.31
ago,2009,490109724.9
ago,2010,270507746.86
ago,2011,52192360.85
ago,2012,-472459502.64963
ago,2013,249715798.74246
ago,2014,970909344.22201
ago,2015,-446218016.88995
ago,2016,-16634132.72571
ago,2017,9124489.70549
ago,2018,-3652764551.60403
ago,2019,-1675904716.18983
ago,2020,-1640362368.73431
alb,1980,0
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,1999,0
alb,2000,25000000
alb,2001,23500000
alb,2002,36820000
alb,2003,22485018
alb,2004,3641326
alb,2005,5664561.0221
alb,2006,-34157087.66131
alb,2007,-25810000
alb,2008,28335270.78615
alb,2009,-15762588.58457
alb,2010,-317665158.19769
alb,2011,-94043233.85092
alb,2012,43630172.43753
alb,2013,150201357.59213
alb,2014,155182028.00814
alb,2015,-254256925.3503
alb,2016,245500179.55294
alb,2017,-100676648.1072
alb,2018,-80670600.45531
alb,2019,154704213.09361
alb,2020,-56789538.54621
and,2019,93757720.11937
arg,1976,66000000
arg,1977,1000000
arg,1978,-101000000
arg,1979,-222000000
arg,1980,-154000000
arg,1981,-1125000000
arg,1982,-1888000000
arg,1983,-1140000000
arg,1984,-759000000
arg,1985,507000000
arg,1986,365000000
arg,1987,96000000
arg,1988,656000000
arg,1989,-2618000000
arg,1990,1309000000
arg,1991,-483000000
arg,1992,-4860125449.35785
arg,1993,-34402472090.7518
arg,1994,-9461307995.40389
arg,1995,-2313489543.14596
arg,1996,-9594192048.84168
arg,1997,-11024422054.3811
arg,1998,-8787778449.39212
arg,1999,6784911598.1816
arg,2000,2583605593.93601
arg,2001,9503319279.61183
arg,2002,4640330000
arg,2003,7758080000
arg,2004,9415610000
arg,2005,386460000
arg,2006,-7239396788.73852
arg,2007,-7467962897.5237
arg,2008,7878589063.30987
arg,2009,2153143136.6226
arg,2010,-3262193616.41713
arg,2011,-143234156.27634
arg,2012,149918325.5722
arg,2013,-432585920.29406
arg,2014,2339430393.10179
arg,2015,-437238814.35021
arg,2016,-35255293855.0228
arg,2017,-35921739491.6229
arg,2018,-6923925325.96171
arg,2019,7126605772.1631
arg,2020,2762790107.96727
arm,1994,0
arm,1995,0
arm,1996,-7220000
arm,1997,-15758800
arm,1998,15944000
arm,1999,-1640000
arm,2000,18868760.81715
arm,2001,5710093.6091
arm,2002,-1555182.4818
arm,2003,-260345.56443
arm,2004,2757763.81964
arm,2005,2789183.60906
arm,2006,-9353004.74096
arm,2007,8005254.79475
arm,2008,-11959925.81791
arm,2009,4168083.36024
arm,2010,-18299902.97823
arm,2011,8357151.82319
arm,2012,-834407.27492
arm,2013,-689445536.43419
arm,2014,38353674.5448
arm,2015,-235401572.35026
arm,2016,-33850545.52827
arm,2017,87341829.1964
arm,2018,32972586.96194
arm,2019,-8237160.47596
arm,2020,49378584.59694
atg,1977,0
atg,1978,0
atg,1979,0
atg,1980,0
atg,1981,0
atg,1982,0
atg,1983,0
atg,1984,0
atg,1985,0
atg,1986,0
atg,1987,0
atg,1988,0
atg,1989,0
atg,1990,0
atg,1991,0
atg,1992,0
