geo,time,bn_trf_curr_cd
abw,1986,2290502.7933
abw,1987,-2905027.93296
abw,1988,-949720.67039
abw,1989,3351955.30726
abw,1990,-1117318.43575
abw,1991,-2513966.48045
abw,1992,17262569.8324
abw,1993,10111731.84358
abw,1994,8770949.72067
abw,1995,33519553.07263
abw,1996,-3631284.9162
abw,1997,-11061452.51397
abw,1998,-4804469.27374
abw,1999,-52932960.89385
abw,2000,-78597765.36313
abw,2001,-64357541.89944
abw,2002,-66770949.72067
abw,2003,-87804469.27374
abw,2004,-108391061.45251
abw,2005,-132614418.69023
abw,2006,-130286345.44442
abw,2007,-123575418.99441
abw,2008,-130893854.7486
abw,2009,-83575418.99441
abw,2010,-70949720.67039
abw,2011,-115921787.7095
abw,2012,-75698324.02235
abw,2013,-59369016.75978
abw,2014,-70662052.51397
abw,2015,-69121750.27933
abw,2016,-62322468.87469
abw,2017,-67175515.18014
abw,2018,-91536673.47649
abw,2019,-78939656.98642
abw,2020,-47813431.92532
afg,1979,82300000
afg,1980,185400000
afg,1981,108400000
afg,1982,124300000
afg,1983,117900000
afg,1984,127300000
afg,1985,143700000
afg,1986,267400000
afg,1987,311700000
afg,1988,342800000
afg,1989,310900000
afg,2008,1641377789.74993
afg,2009,2269619489.58443
afg,2010,2599661537.25733
afg,2011,1921992539.08061
afg,2012,2260721359.48433
afg,2013,3504648221.08127
afg,2014,3030740929.17721
afg,2015,2672181698.36948
afg,2016,3303450914.36137
afg,2017,3000344666.9985
afg,2018,2290595428.51417
afg,2019,1756221081.37394
afg,2020,2180586559.46315
ago,1985,21000000
ago,1986,141000000
ago,1987,52000000
ago,1988,32000000
ago,1989,-4000000
ago,1990,-77100000
ago,1991,28200000
ago,1992,102269000
ago,1993,165800000
ago,1994,245100000
ago,1995,155520000
ago,1996,3840824000
ago,1997,94580000
ago,1998,151490000
ago,1999,55750000
ago,2000,27500000
ago,2001,90550000
ago,2002,31999000
ago,2003,98916664
ago,2004,6544342.24
ago,2005,26755297.71
ago,2006,-189965389.2
ago,2007,-221917723.12
ago,2008,-210065788.87
ago,2009,-370307138.61
ago,2010,-437692033.66
ago,2011,-1362247715.92145
ago,2012,-1762151982.12219
ago,2013,-2124020489.27046
ago,2014,-2210929194.70302
ago,2015,-833831315.86435
ago,2016,-454249457.87602
ago,2017,-468749565.05
ago,2018,-269381691.7
ago,2019,-227120067.29677
ago,2020,-62682904.62167
alb,1980,5800000
alb,1981,7100000
alb,1982,6500000
alb,1983,6000000
alb,1984,6500000
alb,1985,5700000
alb,1986,5700000
alb,1987,6900000
alb,1988,7000000
alb,1989,10600000
alb,1990,15000000
alb,1991,89300000
alb,1992,523700000
alb,1993,555200000
alb,1994,342000000
alb,1995,477400000
alb,1996,559400000
alb,1997,264600000
alb,1998,503910000
alb,1999,326000000
alb,2000,532900000
alb,2001,570600000
alb,2002,625120000
alb,2003,841942413.79851
alb,2004,1109591955.88369
alb,2005,1294042771.66025
alb,2006,1269623458.64953
alb,2007,1431610000
alb,2008,1378156581.01979
alb,2009,1307332622.8273
alb,2010,1220527032.12121
alb,2011,1262411803.4166
alb,2012,1131164444.71384
alb,2013,903498225.69378
alb,2014,959283656.44577
alb,2015,852210677.93169
alb,2016,908020969.92485
alb,2017,962368840.13304
alb,2018,1070513609.8152
