geo,time,bx_gsr_ccis_cd
abw,1995,2346368.71508
abw,1996,4301675.97765
abw,1997,5418994.41341
abw,1998,5083798.88268
abw,1999,12603351.95531
abw,2000,10955307.26257
abw,2001,5977653.63128
abw,2002,13217877.09497
abw,2003,10698324.02235
abw,2004,13491620.11173
abw,2005,10484445.20513
abw,2006,14748398.91728
abw,2007,15418994.41341
abw,2008,17039106.14525
abw,2009,15586592.17877
abw,2010,22234636.87151
abw,2011,24748603.35196
abw,2012,22234636.87151
abw,2013,28033847.48603
abw,2014,25039765.92179
abw,2015,25115176.53631
abw,2016,22090328.35869
abw,2017,13124840.51548
abw,2018,11257480.54211
abw,2019,6662704.6549
abw,2020,8419782.46249
afg,2008,109445927.84796
afg,2009,119214754.55333
afg,2010,191027169.33932
afg,2011,209492976.12152
afg,2012,124681457.35761
afg,2013,137313518.62213
afg,2014,115737501.69979
afg,2015,82152250.34013
afg,2016,77926450.18191
afg,2017,57790520.18797
afg,2018,73258421.60275
afg,2019,53748200.21387
afg,2020,54766062.19449
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,14039000
ago,2006,10726000
ago,2007,0
ago,2008,0
ago,2009,34012000
ago,2010,35122000
ago,2011,40629829.61
ago,2012,33207031.44
ago,2013,20933695.38
ago,2014,37093889.76
ago,2015,30172000
ago,2016,21658540
ago,2017,24470350
ago,2018,30919540
ago,2019,20680180
ago,2020,12353060
alb,1995,7900000
alb,1996,11000000
alb,1997,11400000
alb,1998,15110000
alb,1999,25600000
alb,2000,20900000
alb,2001,31200000
alb,2002,32940000
alb,2003,49106937.44743
alb,2004,75511153.74262
alb,2005,74350367.59568
alb,2006,53794733.79232
alb,2007,70430000
alb,2008,163488342.80013
alb,2009,161291707.01671
alb,2010,106284123.44156
alb,2011,108251150.1271
alb,2012,156040981.45878
alb,2013,183086084.24397
alb,2014,164437355.45176
alb,2015,112051529.49096
alb,2016,125847930.27185
alb,2017,98718673.08536
alb,2018,80746258.80375
alb,2019,108058262.38528
alb,2020,82596607.78516
and,2019,78707564.38084
arg,1992,197100000
arg,1993,230600000
arg,1994,272900000
arg,1995,328300000
arg,1996,375600000
arg,1997,313900000
arg,1998,259285752.45592
arg,1999,245626704.27525
arg,2000,286006166.79353
arg,2001,318912378.19925
arg,2002,242790000
arg,2003,287490000
arg,2004,317530000
arg,2005,407860000
arg,2006,563434578.86304
arg,2007,806872701.80907
arg,2008,1103562433.90219
arg,2009,1187835367.53885
arg,2010,1410136164.45972
arg,2011,1800882627.12602
arg,2012,1754217566.81462
arg,2013,1730267633.66817
arg,2014,1443464924.46564
arg,2015,1473496949.61781
arg,2016,1634172700.71085
arg,2017,2227687569.82783
arg,2018,2240249776.80126
arg,2019,2054158127.57986
arg,2020,1942539273.25844
arm,1993,16960000
arm,1994,8470000
arm,1995,11030000
arm,1996,18950000
arm,1997,14330000
arm,1998,25649700
arm,1999,32267500
arm,2000,16951900
arm,2001,30191000
arm,2002,26835500
arm,2003,26659900
arm,2004,40109200
arm,2005,49259400
arm,2006,53964227.66058
arm,2007,83972576.84341
arm,2008,111605362.58755
arm,2009,94282700
arm,2010,127498365.95404
arm,2011,101774151.24982
arm,2012,97714200.8555
arm,2013,110518724.58331
arm,2014,129826001.96032
arm,2015,130547655.88585
arm,2016,173069959.89631
arm,2017,211634865.14745
arm,2018,251677774.83585
arm,2019,261674737.76151
arm,2020,328452932.8711
atg,1986,0
atg,1987,0
atg,1988,0
atg,1989,0
atg,1990,0
atg,1991,0
atg,1992,0
atg,1993,16492592.59259
atg,1994,17359259.25926
atg,1995,17237037.03704
atg,1996,25907407.40741
atg,1997,33925925.92593
atg,1998,38077777.77778
atg,1999,28174074.07407
atg,2000,18333333.33333
atg,2001,15889629.62963
atg,2002,9880000
atg,2003,8830370.37037
atg,2004,8055925.92593
atg,2005,8055925.92593
atg,2006,8055925.92593
atg,2007,18767564.81481
atg,2008,18898724.81481
atg,2009,15200900
atg,2010,7112727.03704
atg,2011,7342564.81481
atg,2012,8244866.2963
atg,2013,8492432.96296
atg,2014,8033616.12963
atg,2015,8356514.8
atg,2016,8539110.28119
atg,2017,8709583.18311
atg,2018,7437074.88415
atg,2019,7407326.58461
atg,2020,7019923.40478
aus,1992,664090282.69173
aus,1993,613282386.73689
aus,1994,646191066.85467
aus,1995,644291536.79932
aus,1996,706527972.51981
aus,1997,965233236.45171
aus,1998,1077822727.60048
aus,1999,1211306995.09982
aus,2000,1212114150.87613
aus,2001,824442592.3613
aus,2002,1023371439.92641
aus,2003,1203524652.34724
aus,2004,1314051733.94767
aus,2005,1249805388.68181
aus,2006,1362233214.98993
aus,2007,1581769184.02431
aus,2008,1642286229.67036
aus,2009,1498693507.42817
aus,2010,1590730095.4696
aus,2011,1750846576.43766
aus,2012,1803954389.53214
aus,2013,2259780585.65479
aus,2014,2400848354.44005
aus,2015,2291322901.5546
aus,2016,2454143520.13958
aus,2017,2746192017.69368
aus,2018,3288784142.23286
aus,2019,3592313436.30529
aus,2020,3545104921.39374
aut,2005,2243325417.53713
aut,2006,2986297544.09863
aut,2007,3567767446.00496
aut,2008,4165226367.31122
aut,2009,3883571611.50621
aut,2010,3688627276.91198
aut,2011,4476130944.08143
aut,2012,5015421887.46899
aut,2013,5808494925.71481
aut,2014,6538081847.65098
aut,2015,5556536343.47041
aut,2016,5797510242.73545
aut,2017,6533569355.90924
aut,2018,7760825846.9414
aut,2019,8428390736.82361
aut,2020,8858129081.51396
aze,1995,8336000
aze,1996,7514000
aze,1997,12702000
aze,1998,15718000
aze,1999,15844000
aze,2000,16104000
aze,2001,13967000
aze,2002,22559000
aze,2003,22394000
aze,2004,36543000
aze,2005,35708000
aze,2006,3598000
aze,2007,4743000
aze,2008,55376000
aze,2009,81028000
aze,2010,84788000
aze,2011,74563000
aze,2012,95365000
aze,2013,113861000
aze,2014,127119000
aze,2015,86814000
aze,2016,72838000
aze,2017,66296000
aze,2018,78995000
aze,2019,58438000
aze,2020,65155000
bdi,1997,0
bdi,1998,0
bdi,1999,0
bdi,2011,3034002.7807
bdi,2012,5194988.40776
bdi,2013,14340191.275
bdi,2014,16896699.61164
bdi,2015,7731479.66525
bdi,2016,3609696.44713
bdi,2017,3164560.98852
bdi,2018,4172133.31122
bel,2002,2817593746.47279
bel,2003,3246258108.14721
bel,2004,3679791928.06638
bel,2005,3998183348.11586
bel,2006,4200066002.43255
bel,2007,5973327874.00046
bel,2008,6899477169.27236
bel,2009,7510252767.54473
bel,2010,7650619248.19625
bel,2011,9357154082.16314
bel,2012,9061999122.88774
bel,2013,10680038431.3201
bel,2014,11823125377.3903
bel,2015,10881028435.9376
bel,2016,11030943798.6862
bel,2017,12650184209.2201
bel,2018,14230390004.1392
bel,2019,14175897986.6072
bel,2020,14888933572.694
ben,1988,3357.41474
ben,1989,2507.77175
ben,1990,3305.60557
ben,1991,0
ben,1992,3022.383
ben,1993,360923.39666
ben,1994,88075.62397
ben,1995,97966.85207
ben,1996,4644685.19626
ben,1997,4451150.1255
ben,1998,5614018.20077
ben,1999,3758083.11206
ben,2000,4183281.65282
ben,2001,3746598.36487
ben,2002,5627685.69329
ben,2003,4238680.6512
ben,2004,5214871.3569
ben,2005,5403423.06888
ben,2006,11817950.16513
ben,2007,2337904.65821
ben,2008,2343049.10969
ben,2009,376360.78077
ben,2010,32969258.63027
ben,2011,52223812.77495
ben,2012,50394830.23146
ben,2013,76597952.64659
ben,2014,65919021.41122
ben,2015,29956274.64821
ben,2016,28502936.13604
ben,2017,4538033.87607
ben,2018,4217472.20561
ben,2019,17083106.23517
ben,2020,602843.9591
bfa,2005,385010.48894
bfa,2006,388572.05758
bfa,2007,2181208.63554
bfa,2008,13979819.3291
bfa,2009,27376525.71989
bfa,2010,52868438.45455
bfa,2011,174120401.67718
bfa,2012,81450364.76464
bfa,2013,73508539.48182
bfa,2014,49605339.54237
bfa,2015,42850978.9073
bfa,2016,47763637.87405
bfa,2017,50687932.27822
bfa,2018,58721069.34313
bfa,2019,56948920.9955
bfa,2020,56231101.08019
bgd,1996,28882994.48072
bgd,1997,37384864.3325
bgd,1998,29363257.91581
bgd,1999,47707316.19467
bgd,2000,24775377.39537
bgd,2001,13339690.97055
bgd,2002,36565461.4831
bgd,2003,74328974.06753
bgd,2004,63035013.40205
bgd,2005,37949366.02089
bgd,2006,90151377.04747
bgd,2007,89069774.48444
bgd,2008,137846290.92148
bgd,2009,219814369.08706
bgd,2010,313247646.86641
bgd,2011,456293261.67175
bgd,2012,410689940.90381
bgd,2013,381456438.95568
bgd,2014,431349776.41742
bgd,2015,481790850.41054
bgd,2016,623380901.27889
bgd,2017,527794045.47472
bgd,2018,587843450.24902
bgd,2019,511501279.1995
bgd,2020,405083022.25077
bgd,2021,578452377.20557
bgr,1997,25100000
bgr,1998,27780000
bgr,1999,29361797.66021
bgr,2000,50351070.25496
bgr,2001,59349323.6525
bgr,2002,50294263.61844
bgr,2003,59544868.78024
bgr,2004,106590243.61011
bgr,2005,172886113.0248
bgr,2006,200700568.39287
bgr,2007,283790610.77035
bgr,2008,439589842.70601
bgr,2009,371089561.322
bgr,2010,577870000
bgr,2011,748800000
bgr,2012,746330000
bgr,2013,771260000
bgr,2014,901220000
bgr,2015,873650000
bgr,2016,1087140000
bgr,2017,1155380000
bgr,2018,1466180000
bgr,2019,1849280000
bgr,2020,1982030000
bhr,2004,632446808.51064
bhr,2005,637500000
bhr,2006,634308510.6383
bhr,2007,666489361.70213
bhr,2008,699734042.55319
bhr,2009,740425531.91489
bhr,2010,799468085.10638
bhr,2011,626595744.68085
bhr,2012,639627659.57447
bhr,2013,647074468.08511
bhr,2014,651861702.12766
bhr,2015,585372340.42553
bhr,2016,604521276.59574
bhr,2017,760159574.46808
bhr,2018,887234042.55319
bhs,1989,0
bhs,2011,0
bhs,2012,0
bhs,2013,0
bhs,2014,0
bhs,2015,0
bhs,2016,0
bih,1998,17144064.10393
bih,1999,28332973.02585
bih,2000,35002343.92782
bih,2001,44623762.35727
bih,2002,58593673.01604
bih,2003,89129392.38977
bih,2004,101316374.88271
bih,2005,115957374.5188
bih,2006,121564325.62701
bih,2007,126374872.22363
bih,2008,142692704.76542
bih,2009,134007667.97843
bih,2010,126473579.40159
bih,2011,132669531.06476
bih,2012,131685665.07067
bih,2013,126217607.42444
bih,2014,128379895.92239
bih,2015,121460514.22383
bih,2016,136650583.02958
bih,2017,161937337.45015
bih,2018,202510959.59052
bih,2019,229752326.07138
bih,2020,225360223.37084
blr,1993,2400000
blr,1994,8100000
blr,1995,8800000
blr,1996,17800000
blr,1997,31500000
blr,1998,48600000
blr,1999,47700000
blr,2000,53000000
blr,2001,58500000
blr,2002,70200000
blr,2003,84700000
blr,2004,96600000
blr,2005,116700000
blr,2006,151000000
blr,2007,216600000
blr,2008,301800000
blr,2009,310600000
blr,2010,390300000
blr,2011,457500000
blr,2012,598400000
blr,2013,750300000
blr,2014,903600000
blr,2015,1004700000
blr,2016,1159600000
blr,2017,1456400000
blr,2018,1857100000
blr,2019,2412500000
blr,2020,2700200000
blr,2021,3217742136.48
blz,1994,7421500
blz,1995,8968500
blz,1996,10860000
blz,1997,7850000
blz,1998,5400000
blz,1999,7480000
blz,2000,6649382.5
blz,2001,5453242.42
blz,2002,4609540.265
blz,2003,5473183.5
blz,2004,5319262
blz,2005,7529596
blz,2006,8977932.5
blz,2007,12257135.085
blz,2008,11557921.295
blz,2009,15977982.045
blz,2010,13935915.44
blz,2011,12755322.105
blz,2012,12755322.105
blz,2013,10414930
blz,2014,10414930
blz,2015,8555419
blz,2016,26187623.6075
blz,2017,21567411.95
blz,2018,20722707.51
blz,2019,29206236.445
blz,2020,46096800
bmu,2006,117640000
bmu,2007,108765088.90521
bmu,2008,101250868.2274
bmu,2009,98551110.41197
bmu,2010,82581972.54497
bmu,2011,78255463.30262
bmu,2012,84652963.64985
bmu,2013,80702164.61054
bmu,2014,64701977.26458
bmu,2015,70809219.96857
bmu,2016,68837702.55583
bmu,2017,66722615.93056
bmu,2018,77845628.9798
bmu,2019,79073359.54556
bmu,2020,65251961.61178
bol,1997,64200000
bol,1998,51400000
bol,1999,39700000
bol,2000,34500000
bol,2001,31000000
bol,2002,23680000
bol,2003,26130000
bol,2004,32496000
bol,2005,35880000
bol,2006,42088000
bol,2007,55880000
bol,2008,60580000
bol,2009,63560000
bol,2010,63533000
bol,2011,82950000
bol,2012,90842484.44558
bol,2013,100449422.37753
bol,2014,88750763.72302
bol,2015,80190565.77246
bol,2016,68870413.31071
bol,2017,71634100.21498
bol,2018,85529357.13982
bol,2019,43855777.04758
bol,2020,49436385.91879
bra,1993,42000000
bra,1995,79000000
bra,1996,231000000
bra,1997,24502000
bra,1998,159104000
bra,1999,19951000
bra,2000,35031000
bra,2001,260731000
bra,2002,167293000
bra,2003,468522000
bra,2004,285660000
bra,2005,319362000
bra,2006,291148000
bra,2007,419438000
bra,2008,640648000
bra,2009,537906100
bra,2010,611184383.66
bra,2011,523449062.29
bra,2012,731699235.26
bra,2013,707884610.14
bra,2014,1446455332.25
bra,2015,1571479659.22
bra,2016,1803756099.8
bra,2017,2186198176.2
bra,2018,2617476710.38
bra,2019,2573792241.52
bra,2020,2551741787.51
bra,2021,3258922460.44
brb,1967,0
brb,1968,0
brb,1969,0
brb,1970,0
brb,1971,0
brb,1972,0
brb,1973,0
brb,1974,0
brb,1975,0
brb,1976,0
brb,1977,0
brb,1978,1655720
brb,1979,3490960
brb,1980,3520000
brb,1981,3916000
brb,1982,5324000
brb,1983,7568000
brb,1984,6732000
brb,1985,6864000
brb,1986,8418000
brb,1987,9250000
brb,1988,14503000
brb,1989,13496000
brb,1990,11308000
brb,1991,12230000
brb,1992,20056000
brb,1993,21300000
brb,1994,39888000
brb,1995,43794000
brb,1996,47810000
brb,1997,49030000
brb,1998,47228000
brb,1999,41824000
brb,2000,41814000
brb,2001,43322000
brb,2002,44792000
brb,2003,46342000
brb,2004,49146272.32
brb,2005,54690977.72
brb,2006,44300000
brb,2007,18752066.085
brb,2008,22650555.165
brb,2009,32239481.93
brb,2010,33091948.45
brb,2011,13969176.425
brb,2012,17750962.1265
brb,2013,15592725.255
brb,2014,12958419.515
brb,2015,11432311.6
brb,2016,9513356.06
brn,2001,2636762.44302
brn,2002,2966927.70871
brn,2003,3621937.71521
brn,2004,6939355.22706
brn,2005,9592580.94952
brn,2006,13099240.37338
brn,2007,18343478.49949
brn,2008,20965661.586
brn,2009,21692769.29788
brn,2015,80704.80129
brn,2016,15981.44685
brn,2017,28422.16624
brn,2018,1000185.39702
brn,2019,924154.88685
brn,2020,7332890.36707
btn,2006,1066158.84426
btn,2007,981072.18833
btn,2008,1111620.01783
btn,2009,867615.67006
btn,2010,634796.28138
btn,2011,538287.99105
btn,2012,1205674.99937
btn,2013,583591.28701
btn,2014,432215.08972
btn,2015,396630.2682
btn,2016,922352.78219
btn,2017,411605.05152
btn,2018,1246455.25332
btn,2019,2373909.20345
btn,2020,1777274.18664
bwa,1990,53749.97928
bwa,1991,49466.83002
bwa,1992,236997.71297
bwa,1993,247619.24414
bwa,1994,2421176.27821
bwa,1995,2813643.04249
bwa,1997,36430.73732
bwa,1998,525097.73112
bwa,1999,627109.02577
bwa,2000,385320.8312
bwa,2001,2545272.97887
bwa,2002,5630400.28446
bwa,2003,4731227.6921
bwa,2004,3544224.69197
bwa,2005,9850784.18918
bwa,2006,7824640.2415
bwa,2007,15234934.85105
bwa,2008,15626017.95758
bwa,2009,24593296.84878
bwa,2010,21622236.4952
bwa,2011,11912980.02775
bwa,2012,7147247.79788
bwa,2013,18176972.75446
bwa,2014,26413918.54571
bwa,2015,11480208.57386
bwa,2016,11878826.13953
bwa,2017,18816880.22203
bwa,2018,24465781.85703
bwa,2019,17784678.03723
bwa,2020,17271801.44187
can,1981,196800722.17678
can,1982,239073237.86562
can,1983,297101984.78662
can,1984,358458286.68193
can,1985,355245971.5417
can,1986,741803143.86553
can,1987,957013325.47293
can,1988,1145021557.28318
can,1989,1322842000.2
can,1990,1426927179.3162
can,1991,1520113218.06811
can,1992,1487210981.32234
can,1993,1625855904.70801
can,1994,1727467136.68532
can,1995,1927791054.31602
can,1996,2070092564.59281
can,1997,2527848912.19423
can,1998,2860790490.41975
can,1999,3555326072.22649
can,2000,3963471080.31621
can,2001,4093072051.12688
can,2002,4066324461.93423
can,2003,4876344939.37884
