geo,time,bx_gsr_ccis_zs
abw,1995,0.3631
abw,1996,0.55813
abw,1997,0.66402
abw,1998,0.56968
abw,1999,1.30224
abw,2000,0.69297
abw,2001,0.32731
abw,2002,1.07903
abw,2003,0.66579
abw,2004,1.07647
abw,2005,0.80168
abw,2006,1.12649
abw,2007,1.04803
abw,2008,1.0629
abw,2009,1.01326
abw,2010,1.4252
abw,2011,1.4723
abw,2012,1.26181
abw,2013,1.48875
abw,2014,1.22703
abw,2015,1.19335
abw,2016,1.07221
abw,2017,0.60456
abw,2018,0.47637
abw,2019,0.27407
abw,2020,0.61911
afg,2008,8.48014
afg,2009,7.00513
afg,2010,8.96741
afg,2011,8.06525
afg,2012,6.72743
afg,2013,15.64988
afg,2014,8.61399
afg,2015,9.78655
afg,2016,14.93429
afg,2017,15.66423
afg,2018,9.97759
afg,2019,8.24455
afg,2020,7.82852
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,7.93948
ago,2006,0.72266
ago,2007,0
ago,2008,0
ago,2009,5.45762
ago,2010,4.09884
ago,2011,5.54856
ago,2012,4.25726
ago,2013,1.59106
ago,2014,2.2062
ago,2015,2.40192
ago,2016,3.04667
ago,2017,2.48536
ago,2018,4.89912
ago,2019,4.54928
ago,2020,18.4352
alb,1995,7.99595
alb,1996,8.51393
alb,1997,134.43396
alb,1998,41.44268
alb,1999,8.59637
alb,2000,4.5504
alb,2001,5.68617
alb,2002,5.65979
alb,2003,6.58222
alb,2004,6.85975
alb,2005,5.86982
alb,2006,3.26831
alb,2007,3.34655
alb,2008,5.97467
alb,2009,6.06876
alb,2010,4.11167
alb,2011,3.84708
alb,2012,6.41536
alb,2013,8.02127
alb,2014,6.59773
alb,2015,4.98288
alb,2016,4.74778
alb,2017,3.04448
alb,2018,2.22992
alb,2019,2.83792
alb,2020,3.23621
and,2019,3.56962
arg,1992,6.63905
arg,1993,7.62677
arg,1994,8.19766
arg,1995,8.60641
arg,1996,8.55551
arg,1997,6.84942
arg,1998,5.34911
arg,1999,5.21554
arg,2000,5.83719
