global,time,bx_gsr_cmcp_zs
world,1982,42.13306
world,1983,42.11437
world,1984,40.24466
world,1985,39.93646
world,1986,38.284
world,1987,37.88022
world,1988,35.959
world,1989,35.75453
world,1990,36.51464
world,1991,36.90786
world,1992,36.0898
world,1993,36.76405
world,1994,37.8388
world,1995,36.81246
world,1996,38.5449
world,1997,40.6602
world,1998,41.00521
world,1999,40.75964
world,2000,41.09841
world,2001,42.28389
world,2002,43.18491
world,2003,42.1999
world,2004,41.92163
world,2005,41.75893
world,2006,41.77591
world,2007,41.92973
world,2008,42.58841
world,2009,44.84463
world,2010,43.92388
world,2011,44.35359
world,2012,44.69757
world,2013,44.48396
world,2014,45.5387
world,2015,46.50723
world,2016,47.36226
world,2017,47.28837
world,2018,47.66485
world,2019,48.6591
world,2020,58.59965
