global,time,bx_trf_curr_cd
world,1993,195017956318.18097
world,1994,197937518617.98401
world,1995,224047324350.52802
world,1996,254034744849.98999
world,1997,248424066351.04001
world,1998,243345105175.01199
world,1999,270901338420.276
world,2000,272838539606.84296
world,2001,298494531624.51898
world,2002,358741255628.30603
world,2003,431099849533.81097
world,2004,473877650668.67999
world,2005,571258820608.729
world,2006,628886265254.65918
world,2007,713548947647.49194
world,2008,825238508009.27795
world,2009,757009477571.26111
world,2010,804129526829.35388
world,2011,911441682603.92102
world,2012,938775234333.00085
world,2013,1007717614607.26001
world,2014,1057360332053.17004
world,2015,984971029065.71484
world,2016,982280855410.57886
world,2017,1056113945008.19995
world,2018,1117093601954.6499
world,2019,1168452701673.6499
world,2020,1198729466910.92993
