geo,time,bx_trf_pwkr_dt_gd_zs
abw,1991,0.29466
abw,1992,0.27395
abw,1993,0.30951
abw,1994,0.31393
abw,1995,0.10154
abw,1996,0.1174
abw,1997,0.12034
abw,1998,0.0973
abw,1999,0.03535
abw,2000,0.05785
abw,2001,0.06954
abw,2002,0.06849
abw,2003,0.01354
abw,2004,0.06543
abw,2005,0.03518
abw,2006,0.04274
abw,2007,0.19868
abw,2008,0.24624
abw,2009,0.36217
abw,2010,0.20799
abw,2011,0.20815
abw,2012,0.19176
abw,2013,0.23234
abw,2014,0.26749
abw,2015,0.27283
abw,2016,1.76572
abw,2017,1.81541
abw,2018,1.15297
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,0.88572
afg,2009,1.13316
afg,2010,2.38516
afg,2011,1.00598
afg,2012,1.10219
afg,2013,1.72321
afg,2014,1.23611
afg,2015,1.822
afg,2016,3.46484
afg,2017,4.38709
afg,2018,4.45098
afg,2019,4.40743
afg,2020,3.92181
ago,1996,0.06832
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0.09271
ago,2009,0.00023
ago,2010,0.02145
ago,2011,0.00018
ago,2012,0.03151
ago,2013,0.0268
ago,2014,0.02125
ago,2015,0.00957
ago,2016,0.00394
ago,2017,0.00116
ago,2018,0.00156
ago,2019,0.00385
ago,2020,0.0138
alb,1992,23.27596
alb,1993,28.00942
alb,1994,16.32684
alb,1995,17.858
alb,1996,17.21755
alb,1997,13.29635
alb,1998,19.80153
alb,1999,12.67698
alb,2000,17.17641
alb,2001,17.82973
alb,2002,16.87117
alb,2003,15.838
alb,2004,16.15481
alb,2005,16.01705
alb,2006,15.28166
alb,2007,13.74895
alb,2008,14.48281
alb,2009,14.26161
alb,2010,13.30246
alb,2011,12.04024
alb,2012,11.52429
alb,2013,10.03308
alb,2014,10.7423
alb,2015,11.33644
alb,2016,11.01077
alb,2017,10.07568
alb,2018,9.62106
alb,2019,9.56357
alb,2020,9.84702
arg,1978,0.04476
arg,1979,0.06065
arg,1980,0.07276
arg,1981,0.05338
arg,1982,0.03321
arg,1983,0.02693
arg,1984,0.04046
arg,1985,0.03054
arg,1986,0.02885
arg,1987,0.0306
arg,1988,0.02399
arg,1989,0.03466
arg,1990,0.01616
arg,1991,0.01008
arg,1992,0.00673
arg,1993,0.02437
