global,time,cm_mkt_lcap_gd_zs
world,1975,27.20384
world,1976,30.75218
world,1977,25.85023
world,1978,23.09987
world,1979,25.36026
world,1980,29.5526
world,1981,27.55403
world,1982,30.81428
world,1983,36.84594
world,1984,34.72306
world,1985,46.96534
world,1986,53.47484
world,1987,55.51989
world,1988,59.97805
world,1989,69.31142
world,1990,50.75403
world,1991,56.78
world,1992,50.18527
world,1993,61.69678
world,1994,60.67301
world,1995,63.75019
world,1996,71.9186
world,1997,80.40473
world,1998,89.26679
world,1999,114.73475
world,2000,100.72268
world,2001,88.12707
world,2002,72.36306
world,2003,84.61837
world,2004,88.93322
world,2005,92.29456
world,2006,105.76847
world,2007,113.67154
world,2008,55.97913
world,2009,83.49487
world,2010,87.07702
world,2011,68.60798
world,2012,78.21008
world,2013,88.80451
world,2014,90.13836
world,2015,94.3892
world,2016,96.86887
world,2017,110.8743
world,2018,91.6571
world,2019,108.11961
world,2020,133.76922
