geo,time,cm_mkt_trad_gd_zs
are,2006,9.08877
are,2007,18.45719
are,2008,22.54868
are,2009,25.95278
are,2010,9.56483
are,2011,4.27882
are,2012,4.79239
are,2014,35.73585
are,2015,16.08285
are,2016,13.85473
are,2017,11.45457
are,2018,6.02296
are,2019,7.01108
are,2020,10.45208
arg,1975,0.85815
arg,1976,1.57516
arg,1977,0.42092
arg,1978,0.60603
arg,1979,2.12484
arg,1980,1.44877
arg,1981,0.23393
arg,1982,0.28811
arg,1983,0.16898
arg,1984,0.32026
arg,1985,0.53656
arg,1986,0.21564
arg,1987,0.12959
arg,1988,3.3855
arg,1989,0.51681
arg,1990,0.56651
arg,1991,2.39758
arg,1992,6.87911
arg,1993,21.0206
arg,1994,43.82691
arg,1995,12.36421
arg,1996,11.50231
arg,1997,13.04609
arg,1998,8.71872
arg,1999,4.18385
arg,2000,3.21798
arg,2001,2.47937
arg,2002,1.19583
arg,2003,2.29609
arg,2004,2.76419
arg,2005,2.64559
arg,2006,1.45684
arg,2007,1.68504
arg,2008,0.92312
arg,2009,0.45366
arg,2010,0.60071
arg,2011,0.46293
arg,2012,0.2678
arg,2013,0.40529
arg,2014,0.66927
arg,2015,0.45394
arg,2016,0.78215
arg,2017,1.02431
arg,2018,0.871
arg,2019,0.66013
arg,2020,0.56078
aus,1975,1.20309
aus,1976,1.27496
aus,1977,1.34345
aus,1978,0.74492
aus,1979,1.48606
aus,1980,3.29822
aus,1981,4.40126
aus,1982,2.53551
aus,1983,5.26398
aus,1984,5.22148
aus,1985,8.45253
aus,1986,12.42594
aus,1987,30.35819
aus,1988,17.35284
aus,1989,14.52755
aus,1990,12.90802
aus,1991,14.01376
aus,1992,12.921
aus,1993,21.37595
aus,1994,30.85073
aus,1995,26.69017
aus,1996,36.14255
aus,1997,34.50574
aus,1998,38.94138
aus,1999,51.09457
aus,2000,51.30787
aus,2001,63.46095
aus,2002,73.59336
aus,2003,90.2178
aus,2004,88.72553
aus,2005,88.14436
aus,2006,114.90023
aus,2007,160.81163
aus,2008,79.58604
aus,2009,90.67264
aus,2010,98.58383
aus,2011,80.72655
aus,2012,58.56196
aus,2013,49.98184
aus,2014,47.93755
aus,2015,55.5807
aus,2016,65.88108
aus,2017,63.51516
aus,2018,54.18347
aus,2019,59.93207
aus,2020,92.34303
aut,1975,0.16725
aut,1976,0.22346
aut,1977,0.14356
aut,1978,0.13698
aut,1979,0.12335
aut,1980,0.12832
aut,1981,0.11868
aut,1982,0.10256
aut,1983,0.18386
aut,1984,0.1668
aut,1985,1.15545
aut,1986,1.20724
aut,1987,1.1144
aut,1988,1.49217
aut,1989,19.69077
aut,1990,34.64507
aut,1991,4.42239
aut,1992,2.4388
aut,1993,3.45948
aut,1994,4.31029
aut,1995,5.39367
aut,1996,4.35758
aut,1997,5.67299
aut,1998,8.27288
aut,1999,5.43736
