global,time,dc_dac_espl_cd
world,1980,132000000
world,1981,206000000
world,1982,164000000
world,1983,57000000
world,1984,110000000
world,1985,128600006.10352
world,1986,58599998.47412
world,1987,101099998.47412
world,1988,150220001.2207
world,1989,211130004.88281
world,1990,602739990.23438
world,1991,721729980.46875
world,1992,1009489990.23438
world,1993,872910034.17969
world,1994,816830017.08984
world,1995,762299987.79297
world,1996,844929992.67578
world,1997,762969970.70312
world,1998,855760009.76562
world,1999,846450012.20703
world,2000,714210021.97266
world,2001,1150869995.11719
world,2002,979349975.58594
world,2003,1075239990.23438
world,2004,1365109985.35156
world,2005,1836630004.88281
world,2006,2059949951.17188
world,2007,3291830078.125
world,2008,4750109863.28125
world,2009,4419069824.21875
world,2010,3952530029.29688
world,2011,2265949951.17188
world,2012,976619995.11719
world,2013,967969970.70312
world,2014,464000000
world,2015,436770019.53125
world,2016,2549889892.57813
world,2017,650520019.53125
world,2018,651820007.32422
world,2019,735880004.88281
