global,time,dc_dac_grcl_cd
world,1996,28420000.07629
world,1997,45669998.16895
world,1998,76900001.52588
world,1999,88159996.03271
world,2000,110159996.03271
world,2001,91080001.83105
world,2002,123339996.33789
world,2003,249509994.50684
world,2004,188500000
world,2005,206150009.15527
world,2006,189860000.61035
world,2007,248919998.16895
world,2008,311440002.44141
world,2009,296200012.20703
world,2010,209759994.50684
world,2011,153330001.83105
world,2012,106900001.52588
world,2013,43500000
world,2014,45919998.16895
world,2015,71790000.91553
world,2016,159029998.7793
world,2017,84590003.96729
world,2018,38639999.38965
world,2019,142750000
