geo,time,dc_dac_isll_cd
afg,2005,2910000.08583
afg,2006,4420000.07629
afg,2007,4590000.15259
afg,2008,2680000.06676
afg,2009,1429999.94755
afg,2010,1269999.98093
afg,2011,1309999.94278
afg,2012,910000.02623
afg,2013,750000
afg,2014,720000.02861
afg,2015,629999.99523
afg,2016,579999.98331
afg,2017,509999.99046
afg,2018,550000.01192
afg,2019,569999.99285
alb,2009,29999.99933
bfa,2019,0
bgd,2018,50000.00075
bgd,2019,90000.00358
bih,1997,379999.99523
bih,1998,100000.00149
bih,1999,430000.00715
bih,2000,209999.99344
bih,2001,19999.99955
bih,2003,59999.99866
bih,2004,50000.00075
bih,2005,219999.99881
bih,2006,100000.00149
bih,2007,219999.99881
bih,2008,379999.99523
bih,2009,180000.00715
bih,2010,469999.99881
bih,2011,19999.99955
bih,2012,19999.99955
blr,2010,79999.99821
blr,2013,109999.9994
blr,2014,200000.00298
blr,2015,180000.00715
blr,2016,389999.98569
blr,2017,189999.99762
blz,2009,140000.0006
caf,2014,109999.9994
civ,2010,90000.00358
civ,2011,100000.00149
cod,2009,59999.99866
cod,2010,119999.99732
cog,2017,109999.9994
col,2018,180000.00715
cpv,1992,100000.00149
cpv,1994,469999.99881
cpv,1997,219999.99881
cpv,1998,209999.99344
cpv,1999,109999.9994
dji,2018,59999.99866
ecu,2016,100000.00149
egy,2016,29999.99933
egy,2017,79999.99821
eth,2009,280000.00119
eth,2010,280000.00119
eth,2011,189999.99762
eth,2012,180000.00715
eth,2013,189999.99762
eth,2014,419999.98689
eth,2015,419999.98689
eth,2016,360000.01431
eth,2017,479999.98927
eth,2018,819999.99285
eth,2019,360000.01431
fji,2018,0
fji,2019,9999.99978
geo,2016,59999.99866
geo,2017,280000.00119
geo,2018,200000.00298
geo,2019,70000.0003
gmb,2015,29999.99933
gnb,2008,340000.00358
gnb,2009,990000.00954
gnb,2010,529999.97139
gnb,2012,100000.00149
gnb,2013,119999.99732
gnb,2014,90000.00358
gnb,2015,119999.99732
hti,2010,810000.00238
hti,2012,100000.00149
hti,2013,70000.0003
hti,2016,170000.00179
idn,2018,370000.00477
idn,2019,79999.99821
ind,2008,180000.00715
ind,2013,19999.99955
ind,2019,50000.00075
irq,2003,1190000.05722
irq,2004,1539999.96185
irq,2005,1100000.02384
irq,2007,289999.99166
irq,2018,180000.00715
jor,2009,189999.99762
jor,2010,129999.99523
jor,2015,29999.99933
jor,2016,180000.00715
jor,2017,300000.01192
jor,2018,479999.98927
jor,2019,289999.99166
kaz,2018,90000.00358
kaz,2019,39999.99911
ken,2008,360000.01431
ken,2009,59999.99866
ken,2012,219999.99881
ken,2016,100000.00149
ken,2017,70000.0003
ken,2018,259999.99046
ken,2019,250000
