global,time,dc_dac_nzll_cd
world,1970,10800000.19073
world,1971,13100000.38147
world,1972,16210000.99182
world,1973,19340000.15259
world,1974,29520000.45776
world,1975,50240001.67847
world,1976,43509998.32153
world,1977,41700000.76294
world,1978,44860000.61035
world,1979,53099998.47412
world,1980,52400001.52588
world,1981,50500000
world,1982,49270000.45776
world,1983,47529998.7793
world,1984,43779998.7793
world,1985,42840000.15259
world,1986,60709999.08447
world,1987,66150001.52588
world,1988,93260002.13623
world,1989,76470001.2207
world,1990,80989997.86377
world,1991,81279998.7793
world,1992,74069999.69482
world,1993,73629997.25342
world,1994,85110000.61035
world,1995,97529998.7793
world,1996,102019996.64307
world,1997,112849998.47412
world,1998,98250000
world,1999,101470001.2207
world,2000,85129997.25342
world,2001,84790000.91553
world,2002,92169998.16895
world,2003,129479995.72754
world,2004,159309997.55859
world,2005,223789993.28613
world,2006,202839996.33789
world,2007,248290008.54492
world,2008,278260009.76562
world,2009,226930007.93457
world,2010,272839996.33789
world,2011,331049987.79297
world,2012,363750000
world,2013,352440002.44141
world,2014,410050018.31055
world,2015,358149993.89648
world,2016,360640014.64844
world,2017,370880004.88281
world,2018,464769989.01367
world,2019,455760009.76562
