geo,time,dc_dac_svkl_cd
afg,2005,4409999.84741
afg,2006,1539999.96185
afg,2007,1330000.04292
afg,2008,259999.99046
afg,2009,519999.98093
afg,2010,509999.99046
afg,2011,1259999.99046
afg,2012,819999.99285
afg,2013,2400000.09537
afg,2014,560000.00238
afg,2015,259999.99046
afg,2016,310000.00238
afg,2017,779999.97139
afg,2018,340000.00358
afg,2019,349999.99404
ago,2005,19999.99955
ago,2016,9999.99978
ago,2017,9999.99978
ago,2018,0
alb,2005,1269999.98093
alb,2007,9999.99978
alb,2012,39999.99911
alb,2013,29999.99933
alb,2014,70000.0003
alb,2015,310000.00238
alb,2016,349999.99404
alb,2017,280000.00119
alb,2018,319999.99285
alb,2019,509999.99046
arg,2019,0
arm,2012,119999.99732
arm,2013,70000.0003
arm,2014,19999.99955
arm,2015,50000.00075
arm,2016,9999.99978
arm,2017,9999.99978
arm,2018,29999.99933
arm,2019,19999.99955
aze,2009,19999.99955
aze,2012,29999.99933
aze,2013,39999.99911
aze,2014,9999.99978
aze,2015,9999.99978
aze,2017,0
aze,2018,9999.99978
aze,2019,0
bdi,2014,9999.99978
bdi,2017,0
bdi,2018,9999.99978
bdi,2019,9999.99978
ben,2012,29999.99933
ben,2013,19999.99955
ben,2014,19999.99955
ben,2015,9999.99978
bgd,2007,79999.99821
bgd,2009,50000.00075
bgd,2017,140000.0006
bih,2005,1389999.98569
bih,2006,129999.99523
bih,2007,9999.99978
bih,2008,560000.00238
bih,2009,379999.99523
bih,2010,600000.02384
bih,2011,1210000.03815
bih,2012,330000.01311
bih,2013,200000.00298
bih,2014,560000.00238
bih,2015,159999.99642
bih,2016,189999.99762
bih,2017,140000.0006
bih,2018,379999.99523
bih,2019,519999.98093
blr,2005,79999.99821
blr,2006,70000.0003
blr,2007,70000.0003
blr,2008,200000.00298
blr,2009,29999.99933
blr,2010,159999.99642
blr,2011,50000.00075
blr,2012,509999.99046
blr,2013,319999.99285
blr,2014,259999.99046
blr,2015,219999.99881
blr,2016,170000.00179
blr,2017,119999.99732
blr,2018,39999.99911
blr,2019,59999.99866
bra,2009,9999.99978
bra,2012,29999.99933
bra,2013,19999.99955
bra,2014,9999.99978
bra,2015,9999.99978
chl,2009,9999.99978
chn,2008,1440000.05722
chn,2009,90000.00358
chn,2013,100000.00149
chn,2014,140000.0006
chn,2015,79999.99821
chn,2016,90000.00358
chn,2017,90000.00358
col,2009,9999.99978
col,2016,19999.99955
cri,2009,9999.99978
cub,2008,90000.00358
cub,2015,19999.99955
cub,2016,59999.99866
cub,2017,29999.99933
cub,2018,19999.99955
cub,2019,9999.99978
ecu,2009,39999.99911
ecu,2012,39999.99911
ecu,2013,29999.99933
ecu,2014,19999.99955
ecu,2015,19999.99955
ecu,2016,70000.0003
ecu,2017,0
egy,2011,119999.99732
egy,2013,9999.99978
egy,2016,9999.99978
egy,2018,9999.99978
eth,2009,9999.99978
eth,2010,59999.99866
eth,2011,29999.99933
eth,2012,19999.99955
eth,2013,19999.99955
eth,2014,19999.99955
eth,2015,9999.99978
eth,2017,209999.99344
eth,2018,9999.99978
eth,2019,189999.99762
geo,2006,9999.99978
geo,2008,119999.99732
geo,2009,90000.00358
geo,2010,479999.98927
geo,2011,509999.99046
geo,2012,519999.98093
geo,2013,550000.01192
geo,2014,370000.00477
geo,2015,370000.00477
geo,2016,439999.99762
geo,2017,649999.97616
geo,2018,490000.00954
geo,2019,620000.00477
gmb,2005,9999.99978
hrv,2006,19999.99955
hrv,2009,129999.99523
hti,2008,50000.00075
hti,2012,19999.99955
hti,2015,239999.99464
hti,2016,379999.99523
hti,2017,330000.01311
hti,2018,150000.00596
hti,2019,129999.99523
idn,2012,29999.99933
idn,2018,19999.99955
ind,2005,529999.97139
ind,2006,90000.00358
ind,2007,9999.99978
ind,2015,19999.99955
ind,2016,19999.99955
ind,2017,19999.99955
irn,2019,129999.99523
irq,2005,1159999.96662
irq,2009,29999.99933
irq,2012,19999.99955
irq,2013,9999.99978
irq,2014,29999.99933
irq,2015,59999.99866
irq,2016,70000.0003
irq,2017,439999.99762
irq,2018,1000000
irq,2019,310000.00238
jor,2009,9999.99978
jor,2012,90000.00358
jor,2014,29999.99933
jor,2016,50000.00075
jor,2017,180000.00715
jor,2018,29999.99933
jor,2019,9999.99978
kaz,2005,879999.99523
kaz,2006,340000.00358
kaz,2007,109999.9994
kaz,2008,70000.0003
kaz,2009,9999.99978
kaz,2010,29999.99933
kaz,2012,39999.99911
kaz,2013,90000.00358
kaz,2014,19999.99955
kaz,2015,9999.99978
kaz,2017,9999.99978
kaz,2018,0
kaz,2019,9999.99978
ken,2005,689999.99762
ken,2006,400000.00596
ken,2007,59999.99866
ken,2008,360000.01431
ken,2009,59999.99866
ken,2010,1139999.98569
ken,2011,1509999.99046
ken,2012,1769999.98093
ken,2013,1629999.99523
ken,2014,1220000.02861
ken,2015,1320000.05245
ken,2016,2109999.8951
ken,2017,1480000.01907
ken,2018,1769999.98093
ken,2019,2579999.92371
kgz,2006,550000.01192
kgz,2007,560000.00238
kgz,2008,670000.01669
kgz,2009,70000.0003
kgz,2010,100000.00149
kgz,2012,70000.0003
kgz,2013,100000.00149
kgz,2014,70000.0003
kgz,2015,19999.99955
kgz,2016,19999.99955
kgz,2017,9999.99978
kgz,2018,0
kgz,2019,29999.99933
khm,2006,449999.98808
khm,2007,70000.0003
khm,2012,19999.99955
khm,2013,39999.99911
khm,2014,29999.99933
khm,2015,29999.99933
khm,2016,29999.99933
khm,2017,29999.99933
khm,2018,59999.99866
khm,2019,29999.99933
kos,2009,310000.00238
kos,2010,39999.99911
kos,2012,100000.00149
kos,2013,400000.00596
kos,2014,460000.00834
kos,2015,340000.00358
kos,2016,389999.98569
kos,2017,119999.99732
kos,2018,170000.00179
kos,2019,289999.99166
lao,2009,9999.99978
lbn,2009,9999.99978
lbn,2014,39999.99911
lbn,2016,200000.00298
lbn,2017,189999.99762
lbn,2018,750000
lbn,2019,720000.02861
lbr,2008,25069999.69482
lbr,2014,50000.00075
lby,2008,90000.00358
lso,2013,9999.99978
lso,2014,19999.99955
lso,2015,19999.99955
lso,2016,19999.99955
lso,2017,50000.00075
lso,2018,9999.99978
lso,2019,29999.99933
mda,2006,19999.99955
mda,2007,159999.99642
mda,2008,170000.00179
mda,2009,129999.99523
mda,2010,460000.00834
mda,2011,270000.01073
mda,2012,400000.00596
mda,2013,430000.00715
mda,2014,689999.99762
mda,2015,850000.02384
mda,2016,460000.00834
mda,2017,889999.98569
mda,2018,779999.97139
mda,2019,1000000
mdg,2014,9999.99978
mdg,2017,19999.99955
mdv,2018,0
mdv,2019,0
mex,2009,29999.99933
mex,2012,29999.99933
mex,2013,9999.99978
mex,2014,19999.99955
mex,2018,29999.99933
mex,2019,79999.99821
mkd,2005,170000.00179
mkd,2006,170000.00179
mkd,2007,39999.99911
mkd,2008,389999.98569
mkd,2009,50000.00075
mkd,2010,430000.00715
mkd,2011,209999.99344
mkd,2012,230000.00417
mkd,2013,180000.00715
mkd,2014,189999.99762
mkd,2015,109999.9994
