global,time,dc_dac_totl_cd
world,1960,4185350004.19617
world,1961,5154289965.80839
world,1962,5222740003.04937
world,1963,5585790019.15455
world,1964,5466579962.73041
world,1965,5860420015.81192
world,1966,5651680119.9913
world,1967,5951380044.93713
world,1968,5521889865.39841
world,1969,5338759974.00284
world,1970,5563719942.80815
world,1971,6205380028.96309
world,1972,6418829963.20725
world,1973,6959069988.25073
world,1974,8330599953.77064
world,1975,9845869919.89613
world,1976,9256559971.9286
world,1977,9811149947.16644
world,1978,13016580013.752
world,1979,16403099852.562
world,1980,17889789996.1472
world,1981,18541049793.2434
world,1982,18664529856.6818
world,1983,18821289963.7222
world,1984,20225830073.3566
world,1985,22426059846.8781
world,1986,26556949748.9929
world,1987,30324150152.56409
world,1988,34175609640.5983
world,1989,34949560331.3446
world,1990,42985420541.7633
world,1991,52427109859.4666
world,1992,51015440196.991
world,1993,46263149753.5706
world,1994,50612979656.2195
world,1995,52078820316.3147
world,1996,48577650094.986
world,1997,42424920120.2393
world,1998,46512619529.7241
world,1999,48844010482.78809
world,2000,46781000221.2524
world,2001,46026439559.93649
world,2002,51301319526.6724
world,2003,62337759475.708
world,2004,70541779235.8398
world,2005,91444809463.50099
world,2006,86836390710.8307
world,2007,84376911087.0361
world,2008,99435680747.0322
world,2009,96604709213.25688
world,2010,102449350803.375
world,2011,111920279233.933
world,2012,105418612066.269
world,2013,109056119899.75
world,2014,110842248867.035
world,2015,107633590690.61301
world,2016,119731478298.187
world,2017,121320430931.091
world,2018,121661548402.786
world,2019,117749898387.909
