geo,time,dt_dod_dimf_cd
afg,2006,40171993.2
afg,2007,98770365.8
afg,2008,131081597.8
afg,2009,352752616.2
afg,2010,355229891.1
afg,2011,372555169.2
afg,2012,387633151.2
afg,2013,375643371.2
afg,2014,334839124.6
afg,2015,300161714.8
afg,2016,276984771.4
afg,2017,284853905.2
afg,2018,274596496.6
afg,2019,276923268.4
afg,2020,628740557.2
ago,1999,374707057.4
ago,2000,355705668.9
ago,2001,343098130.6
ago,2002,371160687.2
ago,2003,405682628
ago,2004,423985126.3
ago,2005,390203038.9
ago,2006,410714177
ago,2007,431421881.2
ago,2008,420506996.4
ago,2009,787056610.5
ago,2010,1302262652.3
ago,2011,1605921015.9
ago,2012,1739653005.5
ago,2013,1478598084
ago,2014,914027909.7
ago,2015,532051255.4
ago,2016,395881505.2
ago,2017,388801462.9
ago,2018,1374114587.4
ago,2019,1861295679.9
ago,2020,2992458754.3
alb,1992,13321000
alb,1993,29662027.2
alb,1994,54196929.5
alb,1995,64519612.4
alb,1996,54212531.1
alb,1997,54973840.3
alb,1998,64445534.6
alb,1999,144308798.7
alb,2000,148425240.2
alb,2001,141638824.6
alb,2002,144218235.1
alb,2003,159415248
alb,2004,169099897.6
alb,2005,158243429
alb,2006,162459042.7
alb,2007,163478853.7
alb,2008,152026589.8
alb,2009,144309407.5
alb,2010,129370620.5
alb,2011,117241292.8
alb,2012,107036119.1
alb,2013,96755520.4
alb,2014,150856823.2
alb,2015,243583720.9
alb,2016,387084198.2
alb,2017,488777110.1
alb,2018,470321203.4
alb,2019,447707759.2
alb,2020,627019436.4
arg,1970,0
arg,1971,0
arg,1972,188911800
arg,1973,209913600
arg,1974,78361600
arg,1975,292780363
arg,1976,529318129.7
arg,1977,418467595
arg,1978,0
arg,1979,0
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,1173220000
arg,1984,1098430000
arg,1985,2312290000
arg,1986,2740980000
arg,1987,3853415363.8
arg,1988,3677792717.2
arg,1989,3099862948.7
arg,1990,3083195865.3
arg,1991,2483115001.4
arg,1992,2313851375
arg,1993,3519667710
arg,1994,4211220402.2
arg,1995,6130863050.9
arg,1996,6292570603.8
arg,1997,5868261813.9
arg,1998,5442162800.7
arg,1999,4914919735.8
arg,2000,5470438316.2
arg,2001,14376331416.7
arg,2002,14772334953.9
arg,2003,15995776074
arg,2004,14584967621.2
arg,2005,9967870477.7
arg,2006,478955828
arg,2007,503104192.5
arg,2008,490375759.9
arg,2009,3166796444.9
arg,2010,3110922139.6
arg,2011,3101306749.4
arg,2012,3104639815.3
arg,2013,3110861538.4
arg,2014,2926644103.9
arg,2015,2799231196.7
arg,2016,2715603927.6
arg,2017,2876808116.4
arg,2018,30922512047.7
arg,2019,46924457621.2
arg,2020,48873710059.5
arm,1994,24634968
arm,1995,70236653
arm,1996,116474762.4
arm,1997,132057839.8
arm,1998,190440286.1
arm,1999,321997230.2
arm,2000,290095073
arm,2001,283191109.6
arm,2002,314425243.5
arm,2003,345387958.3
arm,2004,354276770.7
arm,2005,302158624.8
arm,2006,296042841
arm,2007,296948979.4
arm,2008,270293755.8
arm,2009,724646923.3
arm,2010,876270384.8
arm,2011,962546214.6
arm,2012,911323874.5
arm,2013,720311374.9
arm,2014,569570168.5
arm,2015,536256947.7
arm,2016,527768516.8
arm,2017,529508773.4
arm,2018,450596997.3
arm,2019,374965602.2
arm,2020,645508162.7
aze,1995,100873212.2
aze,1996,174970976.3
aze,1997,266787194.4
aze,1998,321227971.7
aze,1999,618051142.8
aze,2000,535896290
aze,2001,488207206.5
aze,2002,487639730.2
aze,2003,487459411.6
aze,2004,446885181.2
aze,2005,383127572.2
aze,2006,365276173
aze,2007,345670553.7
aze,2008,315789574.8
aze,2009,302558244.1
aze,2010,282350979.1
aze,2011,264679350.5
aze,2012,251858492.3
aze,2013,242453318.8
aze,2014,224366292.7
aze,2015,212814959.2
aze,2016,206457094.3
aze,2017,218712839
aze,2018,213592206
aze,2019,212368821.7
aze,2020,221190669.9
bdi,1970,7670000
bdi,1971,5797638
bdi,1972,0
bdi,1973,0
bdi,1974,0
bdi,1975,1404840
bdi,1976,1405814.3
bdi,1977,3951451.6
bdi,1978,10259471.2
bdi,1979,30472477.6
bdi,1980,35689983.4
bdi,1981,32712409.3
bdi,1982,30871132.4
bdi,1983,23778095.2
bdi,1984,16037215.8
bdi,1985,14541982.4
bdi,1986,22116679.2
bdi,1987,20546452.8
bdi,1988,32467703.9
bdi,1989,40133132.2
bdi,1990,42625738.9
bdi,1991,48863490.7
bdi,1992,62414000
bdi,1993,58243062.6
bdi,1994,55668458.3
bdi,1995,47798086.3
bdi,1996,37641479.7
bdi,1997,27523349.9
bdi,1998,19667363.5
bdi,1999,30902062.2
bdi,2000,24850402.5
bdi,2001,19643946.6
bdi,2002,31706725.4
bdi,2003,48958253.6
bdi,2004,62271042
bdi,2005,77748000.2
bdi,2006,103347766.8
bdi,2007,119857221.7
bdi,2008,138003571.2
bdi,2009,206685011.5
bdi,2010,223366699.6
bdi,2011,240746434.9
bdi,2012,248682087.5
bdi,2013,254214708.4
bdi,2014,238348709.9
bdi,2015,217599887
bdi,2016,193649645.6
bdi,2017,188076863.4
bdi,2018,166351188.8
bdi,2019,149136356.3
bdi,2020,132373634.4
ben,1978,7019432.5
ben,1979,7097774
ben,1980,16140313.6
ben,1981,14786947.8
ben,1982,14013909.4
ben,1983,13064889.1
ben,1984,11175374.2
ben,1985,11338989.7
ben,1986,9529951.2
ben,1987,7464988.9
ben,1988,3977889.2
ben,1989,10201824.1
ben,1990,8975561.9
ben,1991,22386230.4
ben,1992,21518750
ben,1993,42992426.5
ben,1994,71231918.6
ben,1995,84138307.6
ben,1996,99132964.4
ben,1997,94906242.1
ben,1998,93532619
ben,1999,105058775
ben,2000,96163878.4
ben,2001,88645964
ben,2002,86048099.4
ben,2003,87100131.5
ben,2004,79900811.5
ben,2005,66245235.2
ben,2006,16802643.6
ben,2007,19040432.3
ben,2008,36934134.3
ben,2009,131587397.8
ben,2010,145620815.4
ben,2011,177478945.3
ben,2012,209606884.8
ben,2013,225417698.7
ben,2014,220267623.3
ben,2015,202341607.5
ben,2016,186958906.4
ben,2017,226384650.1
ben,2018,244566525.1
ben,2019,266700038.9
ben,2020,562509811.8
bfa,1970,0
bfa,1971,0
bfa,1972,0
bfa,1973,0
bfa,1974,0
bfa,1975,0
bfa,1976,0
bfa,1977,0
bfa,1978,5553793.8
bfa,1979,10804740.7
bfa,1980,14705477.3
bfa,1981,13477492.8
bfa,1982,12772910.7
bfa,1983,12122634.1
bfa,1984,10734279.7
bfa,1985,10176861.3
bfa,1986,8238252
bfa,1987,5965465.3
bfa,1988,2555484.3
bfa,1989,584801.2
bfa,1990,69710.3
bfa,1991,9040317.9
bfa,1992,8690000
bfa,1993,20823168.9
bfa,1994,47941472.5
bfa,1995,75097475.4
bfa,1996,81270624.9
bfa,1997,92442511.7
bfa,1998,112115799.4
bfa,1999,133598747.1
bfa,2000,124397938.1
bfa,2001,128327213.8
bfa,2002,139286902.6
bfa,2003,138635057.1
bfa,2004,129295847.6
bfa,2005,116984320.2
bfa,2006,49087067.6
bfa,2007,52352102.3
bfa,2008,68799240.1
bfa,2009,200602284.9
bfa,2010,217415936
bfa,2011,232851989
bfa,2012,301227757.8
bfa,2013,303918120.7
bfa,2014,282947275.1
bfa,2015,282957869.6
bfa,2016,286054977.7
bfa,2017,284059238.3
bfa,2018,268945710.4
bfa,2019,309646453
bfa,2020,466379093
bgd,1972,67856000
bgd,1973,75399000
bgd,1974,164690370.8
bgd,1975,202238425
bgd,1976,275318855.1
bgd,1977,253778428
bgd,1978,299211779.3
bgd,1979,344567421.4
bgd,1980,424168205.3
bgd,1981,464338562.8
bgd,1982,547383038
bgd,1983,565334154.9
bgd,1984,462280758.9
bgd,1985,519866808.1
bgd,1986,538776788
bgd,1987,840798640.8
bgd,1988,839548587.5
bgd,1989,718556404.8
bgd,1990,625539334
bgd,1991,726998910.2
bgd,1992,732446000
bgd,1993,682315906
bgd,1994,669149963.4
bgd,1995,621529717
bgd,1996,516487921
bgd,1997,372299890.4
bgd,1998,421607840.8
bgd,1999,382495194
bgd,2000,277106807.6
bgd,2001,207825440.2
bgd,2002,134671332.2
bgd,2003,143574421.4
bgd,2004,303801369.2
bgd,2005,375756512.3
bgd,2006,547377444.4
bgd,2007,574975542.8
bgd,2008,758159400.8
bgd,2009,1474663255.1
bgd,2010,1402905708.8
bgd,2011,1270812046.2
bgd,2012,1212874230.3
bgd,2013,1496419520
bgd,2014,1469998145.5
bgd,2015,1612750661.3
bgd,2016,1546472204.6
bgd,2017,1625254742
bgd,2018,1536342079.1
bgd,2019,1413763539.6
bgd,2020,2108913101.4
bgr,1991,413716132.6
bgr,1992,589737500
bgr,1993,631700221.8
bgr,1994,940744828.3
bgr,1995,716668050.7
bgr,1996,585607783.7
bgr,1997,941803456.4
bgr,1998,1115532914.2
bgr,1999,2088438100.2
bgr,2000,2117878427.8
bgr,2001,1877394557.8
bgr,2002,1879708564.2
bgr,2003,2095263224.2
bgr,2004,2132016600
bgr,2005,1533190272.2
bgr,2006,1259947992
bgr,2007,965336223.8
bgr,2008,940913415.9
bgr,2009,957663625.8
bgr,2010,940766805.7
bgr,2011,937859037.7
bgr,2012,938866982.5
bgr,2013,940748479.4
bgr,2014,885040218.8
bgr,2015,846509552.5
bgr,2016,821220008
bgr,2017,869969423.8
bgr,2018,849601190.5
bgr,2019,844734960.7
bgr,2020,879825439.5
bih,1993,28211547.8
bih,1994,29983858.2
bih,1995,48263357.7
bih,1996,44609834
bih,1997,40882273.8
bih,1998,76793958
bih,1999,122017854.3
bih,2000,131478279.3
bih,2001,136784066.6
bih,2002,167058160.2
bih,2003,164351628.4
bih,2004,140554008.4
bih,2005,91232093.5
bih,2006,51121395.5
bih,2007,34735873.5
bih,2008,31548198.3
bih,2009,538526947.6
bih,2010,768607756
bih,2011,766232105.6
bih,2012,887905154.4
bih,2013,848018283.4
bih,2014,892123426.6
bih,2015,799975334
bih,2016,770392168.5
bih,2017,591860218.3
bih,2018,466290689.4
bih,2019,397854131.2
bih,2020,796340277.8
blr,1993,96286552.6
blr,1994,102335481.8
blr,1995,282730400.1
blr,1996,273499997.4
blr,1997,256627342.2
blr,1998,242557109.7
blr,1999,684039169.3
blr,2000,594476894.3
blr,2001,544040401.3
blr,2002,556771810.3
blr,2003,573834923.4
blr,2004,581579849
blr,2005,526891208.2
blr,2006,554588904.6
blr,2007,582550596
blr,2008,567812185.7
blr,2009,3449281044.1
blr,2010,4062846436.5
blr,2011,4050288792.1
blr,2012,3587945240.6
blr,2013,1931909331.7
blr,2014,613402315.8
blr,2015,510841263.2
blr,2016,495579837.2
blr,2017,524998540.3
blr,2018,512706967.2
blr,2019,509770354.2
blr,2020,530946328.4
blz,1983,3770000
blz,1984,4710000
blz,1985,10480000
blz,1986,11670000
blz,1987,11384746.5
blz,1988,7787565.9
blz,1989,3312997.4
blz,1990,421107.4
blz,1991,0
blz,1999,24560043.1
blz,2000,23314603.8
blz,2001,22488247.1
blz,2002,24327597.6
blz,2003,26590326.1
blz,2004,27789957
blz,2005,25575721.8
blz,2006,26920117.2
blz,2007,28277396.5
blz,2008,27561984.1
blz,2009,35420787.6
blz,2010,34795830.5
blz,2011,34688281.9
blz,2012,32017509.4
blz,2013,28462672.7
blz,2014,25924917.1
blz,2015,24796263
blz,2016,24055472.5
blz,2017,25483458
blz,2018,24886824.3
blz,2019,24744281
blz,2020,25772163.9
bol,1970,6080000
bol,1971,7165620
bol,1972,8555316
bol,1973,21775520
bol,1974,17533408
bol,1975,16307851
bol,1976,0
bol,1977,0
bol,1978,39521437.4
bol,1979,39962522.9
bol,1980,126338992.8
bol,1981,113287629.6
bol,1982,125987354.5
bol,1983,127106665.1
bol,1984,96096129.1
bol,1985,82211849.9
bol,1986,192346754.4
bol,1987,185706850
bol,1988,209010086.9
bol,1989,251790427.7
bol,1990,257044786.1
bol,1991,244796647.4
bol,1992,249077125
bol,1993,220509941.1
bol,1994,263552551.5
bol,1995,267762932.2
bol,1996,276121398.6
bol,1997,248140560
bol,1998,264183043
bol,1999,283651143.6
bol,2000,254673303.1
bol,2001,240714064.2
bol,2002,231620062.9
bol,2003,318333409.2
bol,2004,348459724.7
