geo,time,dt_dod_mibr_cd
ago,2015,450000000
ago,2016,450000000
ago,2017,464640000
ago,2018,496387000
ago,2019,1109047000
ago,2020,1229007000
alb,2006,0
alb,2007,5587000
alb,2008,17107000
alb,2009,24297000
alb,2010,25699000
alb,2011,50619000
alb,2012,59478000
alb,2013,66964000
alb,2014,272301000
alb,2015,265137000
alb,2016,289905000
alb,2017,595499000
alb,2018,653274000
alb,2019,732913000
alb,2020,845748000
arg,1970,181339000
arg,1971,218681000
arg,1972,256136000
arg,1973,302166000
arg,1974,339918000
arg,1975,341219000
arg,1976,342488000
arg,1977,342849000
arg,1978,351725000
arg,1979,366976000
arg,1980,403667000
arg,1981,477355000
arg,1982,503629000
arg,1983,533427000
arg,1984,503033000
arg,1985,699646000
arg,1986,1140204000
arg,1987,2146470000
arg,1988,2265241000
arg,1989,2281167000
arg,1990,2608870000
arg,1991,2789870000
arg,1992,2505366000
arg,1993,3739414000
arg,1994,4109378000
arg,1995,4913253000
arg,1996,5372447000
arg,1997,5494472000
arg,1998,7188440000
arg,1999,8313982000
arg,2000,8789137000
arg,2001,9440018000
arg,2002,8512828000
arg,2003,7508015000
arg,2004,7446990000
arg,2005,6880617000
arg,2006,6205632000
arg,2007,5674043000
arg,2008,5069214000
arg,2009,5304855000
arg,2010,5349319000
arg,2011,5554746000
arg,2012,5624989000
arg,2013,6121408000
arg,2014,6007304000
arg,2015,5851771000
arg,2016,6047721000
arg,2017,6327228000
arg,2018,6879292000
arg,2019,7127917000
arg,2020,7721162000
arm,1993,503000
arm,1994,1573000
arm,1995,4820000
arm,1996,9764000
arm,1997,9853000
arm,1998,9727000
arm,1999,9246000
arm,2000,8284000
arm,2001,7359000
arm,2002,7557000
arm,2003,7843000
arm,2004,7584000
arm,2005,6314000
arm,2006,5857000
arm,2007,5394000
arm,2008,4872000
arm,2009,53394000
arm,2010,105809000
arm,2011,150787000
arm,2012,235867000
arm,2013,310887000
arm,2014,410818000
arm,2015,510862000
arm,2016,643262000
arm,2017,676142000
arm,2018,725259000
arm,2019,810183000
arm,2020,833312000
aze,2005,0
aze,2006,5394000
aze,2007,21403000
aze,2008,77730000
aze,2009,199288000
aze,2010,300495000
aze,2011,468700000
aze,2012,808436000
aze,2013,1043067000
aze,2014,1348553000
aze,2015,1577782000
aze,2016,1736338000
aze,2017,2161398000
aze,2018,2093832000
aze,2019,2014139000
aze,2020,1776203000
bdi,1970,2529000
bdi,1971,2225000
bdi,1972,1903000
bdi,1973,1564000
bdi,1974,1205000
bdi,1975,825000
bdi,1976,424000
bdi,1977,0
bgd,1974,54896000
bgd,1975,54896000
bgd,1976,54896000
bgd,1977,54896000
bgd,1978,54896000
bgd,1979,54896000
bgd,1980,54896000
bgd,1981,54896000
bgd,1982,54896000
bgd,1983,54896000
bgd,1984,49597000
bgd,1985,54811000
bgd,1986,61222000
bgd,1987,70245000
bgd,1988,65806000
bgd,1989,62420000
bgd,1990,63797000
bgd,1991,64516000
bgd,1992,59910000
bgd,1993,57562000
bgd,1994,57557000
bgd,1995,54605000
bgd,1996,46455000
bgd,1997,38249000
bgd,1998,35884000
bgd,1999,30781000
bgd,2000,23687000
bgd,2001,17040000
bgd,2002,12732000
bgd,2003,7284000
bgd,2004,0
bgr,1991,60531000
bgr,1992,152235000
bgr,1993,158002000
bgr,1994,415410000
bgr,1995,443540000
bgr,1996,452872000
bgr,1997,501322000
bgr,1998,697094000
bgr,1999,828896000
bgr,2000,824229000
bgr,2001,844337000
bgr,2002,958416000
bgr,2003,1265920000
bgr,2004,1497831000
bgr,2005,1453051000
bgr,2006,1330716000
bgr,2007,1603616000
bgr,2008,1206673000
bgr,2009,1509462000
bgr,2010,1338325000
bgr,2011,1243760000
bgr,2012,1209848000
bgr,2013,1201016000
bgr,2014,969004000
bgr,2015,785901000
bgr,2016,920164000
bgr,2017,1147850000
bgr,2018,831214000
bgr,2019,726983000
bgr,2020,701430000
bih,1993,424209000
bih,1994,452174000
bih,1995,472437000
bih,1996,588897000
bih,1997,565627000
bih,1998,581079000
bih,1999,578426000
bih,2000,561519000
bih,2001,540257000
bih,2002,537863000
bih,2003,540147000
bih,2004,527009000
bih,2005,481410000
bih,2006,465699000
bih,2007,453245000
bih,2008,442852000
bih,2009,417385000
bih,2010,445199000
bih,2011,457831000
bih,2012,455453000
bih,2013,438816000
bih,2014,443968000
bih,2015,475558000
bih,2016,454780000
bih,2017,467078000
bih,2018,560074000
bih,2019,575441000
bih,2020,676637000
blr,1993,100000
blr,1994,101043000
blr,1995,115533000
blr,1996,120744000
blr,1997,123754000
blr,1998,134887000
blr,1999,122328000
blr,2000,105154000
blr,2001,91369000
blr,2002,89247000
blr,2003,83684000
blr,2004,73031000
blr,2005,58670000
blr,2006,49700000
blr,2007,42311000
blr,2008,42321000
blr,2009,255630000
blr,2010,291336000
blr,2011,317548000
blr,2012,424328000
blr,2013,556657000
blr,2014,589814000
blr,2015,641812000
blr,2016,724620000
blr,2017,821832000
blr,2018,905166000
blr,2019,947626000
blr,2020,955133000
blz,1983,945000
blz,1984,2094000
blz,1985,5379000
blz,1986,7049000
blz,1987,9387000
blz,1988,9180000
blz,1989,13732000
blz,1990,17515000
blz,1991,18630000
blz,1992,19231000
blz,1993,20100000
blz,1994,25647000
blz,1995,29508000
blz,1996,32517000
blz,1997,39924000
blz,1998,41431000
blz,1999,41336000
blz,2000,39965000
blz,2001,43183000
blz,2002,44431000
blz,2003,41717000
blz,2004,39981000
blz,2005,36410000
blz,2006,31558000
blz,2007,26541000
blz,2008,21600000
blz,2009,17028000
blz,2010,12528000
blz,2011,10428000
blz,2012,11280000
blz,2013,12326000
blz,2014,12692000
blz,2015,14130000
blz,2016,16718000
blz,2017,16497000
blz,2018,18799000
blz,2019,19262000
blz,2020,28045000
bol,1970,0
bol,1971,15315000
bol,1972,23009000
bol,1973,22622000
bol,1974,20738000
bol,1975,20936000
bol,1976,31307000
bol,1977,51652000
bol,1978,74450000
bol,1979,105293000
bol,1980,175307000
bol,1981,202690000
bol,1982,212183000
bol,1983,212721000
bol,1984,175461000
bol,1985,207040000
bol,1986,234733000
bol,1987,270056000
bol,1988,227951000
bol,1989,199161000
bol,1990,193671000
bol,1991,171949000
bol,1992,145467000
bol,1993,129042000
bol,1994,116313000
bol,1995,94614000
bol,1996,61354000
bol,1997,36916000
bol,1998,26024000
bol,1999,12609000
bol,2000,243000
bol,2001,0
bol,2004,150000
bol,2005,150000
bol,2006,150000
bol,2007,150000
bol,2008,150000
bol,2009,142000
bol,2010,133000
bol,2011,125000
bol,2012,117000
bol,2013,108000
bol,2014,100000
bol,2015,100092000
bol,2016,100498000
bol,2017,100990000
bol,2018,117795000
bol,2019,177509000
bol,2020,485980000
bra,1970,205969000
bra,1971,292749000
bra,1972,430949000
bra,1973,595841000
bra,1974,821285000
bra,1975,1044749000
bra,1976,1172511000
bra,1977,1370769000
bra,1978,1561797000
bra,1979,1789535000
bra,1980,2034718000
bra,1981,2285900000
bra,1982,2694305000
bra,1983,3628249000
bra,1984,3969065000
bra,1985,5274417000
bra,1986,7545730000
bra,1987,9383596000
bra,1988,8610994000
bra,1989,8310966000
bra,1990,8426717000
bra,1991,8164643000
bra,1992,7238026000
bra,1993,6574882000
bra,1994,6310906000
bra,1995,6037664000
bra,1996,5876244000
bra,1997,5742737000
bra,1998,6298359000
bra,1999,6822419000
bra,2000,7376553000
bra,2001,7963197000
bra,2002,8584823000
bra,2003,8588160000
bra,2004,8668375000
bra,2005,8083177000
bra,2006,9694176000
bra,2007,9676332000
bra,2008,10670772000
bra,2009,10065337000
bra,2010,13523256000
bra,2011,9033932000
bra,2012,11438808000
bra,2013,13598409000
bra,2014,15288165000
bra,2015,15753003000
bra,2016,16254592000
bra,2017,16389947000
bra,2018,16213257000
bra,2019,16252501000
bra,2020,15681525000
bwa,1971,0
bwa,1972,12491000
bwa,1973,25926000
bwa,1974,31612000
bwa,1975,34016000
bwa,1976,35985000
bwa,1977,38783000
bwa,1978,40479000
bwa,1979,45671000
bwa,1980,49971000
bwa,1981,60707000
bwa,1982,71595000
bwa,1983,86104000
bwa,1984,88591000
bwa,1985,122054000
bwa,1986,148181000
bwa,1987,180359000
bwa,1988,163049000
bwa,1989,155209000
bwa,1990,155238000
bwa,1991,150030000
bwa,1992,129346000
bwa,1993,124693000
bwa,1994,113595000
bwa,1995,96266000
bwa,1996,68750000
bwa,1997,47084000
bwa,1998,36162000
bwa,1999,24290000
bwa,2000,15563000
bwa,2001,10238000
bwa,2002,7448000
bwa,2003,4957000
bwa,2004,3424000
bwa,2005,2089000
bwa,2006,1086000
bwa,2007,12000
