geo,time,dt_nfl_mida_cd
afg,2006,36957000
afg,2007,44271000
afg,2008,43430000
afg,2009,26659000
afg,2010,8372000
afg,2011,8064000
afg,2012,9399000
afg,2013,3728000
afg,2014,-6130000
afg,2015,-7757000
afg,2016,-7621000
afg,2017,-7741000
afg,2018,-7791000
afg,2019,-7675000
afg,2020,-7795000
ago,1992,5729000
ago,1993,9674000
ago,1994,33325000
ago,1995,30313000
ago,1996,37752000
ago,1997,27887000
ago,1998,35764000
ago,1999,38839000
ago,2000,23710000
ago,2001,10836000
ago,2002,17921000
ago,2003,1276000
ago,2004,12862000
ago,2005,25316000
ago,2006,12376000
ago,2007,3006000
ago,2008,6146000
ago,2009,13472000
ago,2010,-697000
ago,2011,7439000
ago,2012,36275000
ago,2013,46802000
ago,2014,40256000
ago,2015,22214000
ago,2016,26255000
ago,2017,40203000
ago,2018,-1092000
ago,2019,-12443000
ago,2020,-29820000
alb,1992,2065000
alb,1993,25841000
alb,1994,34989000
alb,1995,43335000
alb,1996,32324000
alb,1997,18912000
alb,1998,63727000
alb,1999,80644000
alb,2000,64357000
alb,2001,34260000
alb,2002,78883000
alb,2003,59447000
alb,2004,64294000
alb,2005,29570000
alb,2006,40880000
alb,2007,42902000
alb,2008,19932000
alb,2009,25548000
alb,2010,15124000
alb,2011,12052000
alb,2012,14198000
alb,2013,-4685000
alb,2014,-5645000
alb,2015,-24000000
alb,2016,-31905000
alb,2017,-36640000
alb,2018,-41986000
alb,2019,-46143000
alb,2020,-48461000
arm,1994,5458000
arm,1995,88498000
arm,1996,87010000
arm,1997,76490000
arm,1998,42883000
arm,1999,65660000
arm,2000,54354000
arm,2001,55026000
arm,2002,66467000
arm,2003,77386000
arm,2004,77751000
arm,2005,31387000
arm,2006,57699000
arm,2007,85795000
arm,2008,68791000
arm,2009,128463000
arm,2010,20288000
arm,2011,31136000
arm,2012,46852000
arm,2013,37253000
arm,2014,-3731000
arm,2015,-7639000
arm,2016,-8987000
arm,2017,-27654000
arm,2018,-35408000
arm,2019,-53410000
arm,2020,-55537000
aze,1995,30204000
aze,1996,35840000
aze,1997,55352000
aze,1998,20635000
aze,1999,60496000
aze,2000,27196000
aze,2001,27557000
aze,2002,56919000
aze,2003,74742000
aze,2004,49165000
aze,2005,45634000
aze,2006,56313000
aze,2007,51982000
aze,2008,42157000
aze,2009,36081000
aze,2010,35925000
aze,2011,46739000
aze,2012,26451000
aze,2013,-231522000
aze,2014,8359000
aze,2015,-29185000
aze,2016,-36694000
aze,2017,9863000
aze,2018,-48745000
aze,2019,-60456000
aze,2020,-72872000
bdi,1970,358000
bdi,1971,505000
bdi,1972,569000
bdi,1973,314000
bdi,1974,881000
bdi,1975,279000
bdi,1976,990000
bdi,1977,2552000
bdi,1978,6919000
bdi,1979,11341000
bdi,1980,11609000
bdi,1981,10346000
bdi,1982,18109000
bdi,1983,27361000
bdi,1984,26569000
bdi,1985,17321000
bdi,1986,43230000
bdi,1987,40946000
bdi,1988,43944000
bdi,1989,44043000
bdi,1990,47879000
bdi,1991,38259000
bdi,1992,47650000
bdi,1993,34617000
bdi,1994,25535000
bdi,1995,24439000
bdi,1996,13920000
bdi,1997,7373000
bdi,1998,18479000
bdi,1999,7613000
bdi,2000,27571000
bdi,2001,2192000
bdi,2002,25027000
bdi,2003,26921000
bdi,2004,29334000
bdi,2005,18857000
bdi,2006,28824000
bdi,2007,19243000
bdi,2008,13760000
bdi,2009,8559000
bdi,2010,17825000
bdi,2011,8584000
bdi,2012,5010000
bdi,2013,-894000
bdi,2014,-2578000
bdi,2015,-3152000
bdi,2016,-3216000
bdi,2017,-3179000
bdi,2018,-3289000
bdi,2019,-3191000
bdi,2020,-3236000
ben,1970,145000
ben,1971,2186000
ben,1972,2071000
ben,1973,5272000
ben,1974,4148000
ben,1975,4011000
ben,1976,5929000
ben,1977,7034000
ben,1978,2397000
ben,1979,5466000
ben,1980,12232000
ben,1981,9923000
ben,1982,10824000
ben,1983,16440000
ben,1984,13582000
ben,1985,18857000
ben,1986,26332000
ben,1987,21360000
ben,1988,21867000
ben,1989,46683000
ben,1990,54780000
ben,1991,40451000
ben,1992,31361000
ben,1993,27966000
ben,1994,25931000
ben,1995,27460000
ben,1996,37341000
ben,1997,15880000
ben,1998,15564000
ben,1999,42847000
ben,2000,32603000
ben,2001,43600000
ben,2002,20107000
ben,2003,23456000
ben,2004,36495000
ben,2005,42819000
ben,2006,28428000
ben,2007,42501000
ben,2008,84119000
ben,2009,51371000
ben,2010,78348000
ben,2011,21115000
ben,2012,33050000
ben,2013,119759000
ben,2014,102350000
ben,2015,87019000
ben,2016,107946000
ben,2017,102493000
ben,2018,93383000
ben,2019,104316000
ben,2020,161800000
bfa,1970,11000
bfa,1971,5000
bfa,1972,1552000
bfa,1973,1475000
bfa,1974,1511000
bfa,1975,4957000
bfa,1976,6952000
bfa,1977,12716000
bfa,1978,15520000
bfa,1979,18859000
bfa,1980,11765000
bfa,1981,7061000
bfa,1982,10460000
bfa,1983,18376000
bfa,1984,12823000
bfa,1985,20582000
bfa,1986,31462000
bfa,1987,21336000
bfa,1988,18317000
bfa,1989,23778000
bfa,1990,14160000
bfa,1991,40630000
bfa,1992,47661000
bfa,1993,61091000
bfa,1994,76050000
bfa,1995,80954000
bfa,1996,45989000
bfa,1997,30443000
bfa,1998,52499000
bfa,1999,57247000
bfa,2000,36410000
bfa,2001,68952000
bfa,2002,65344000
bfa,2003,52337000
bfa,2004,128550000
bfa,2005,102046000
bfa,2006,121811000
bfa,2007,79998000
bfa,2008,159220000
bfa,2009,89672000
bfa,2010,66579000
bfa,2011,64494000
bfa,2012,59714000
bfa,2013,24412000
bfa,2014,84579000
bfa,2015,130234000
bfa,2016,166482000
bfa,2017,78135000
bfa,2018,166282000
bfa,2019,227790000
bfa,2020,229717000
bgd,1972,2265000
bgd,1973,51626000
bgd,1974,75305000
bgd,1975,90795000
bgd,1976,124726000
bgd,1977,88207000
bgd,1978,103093000
bgd,1979,162568000
bgd,1980,155714000
bgd,1981,160849000
bgd,1982,189388000
bgd,1983,200716000
bgd,1984,247666000
bgd,1985,272222000
bgd,1986,320607000
bgd,1987,324489000
bgd,1988,288635000
bgd,1989,292597000
bgd,1990,441421000
bgd,1991,240841000
bgd,1992,302968000
bgd,1993,277299000
bgd,1994,372598000
bgd,1995,156218000
bgd,1996,229485000
bgd,1997,246049000
bgd,1998,288646000
bgd,1999,339491000
bgd,2000,275158000
bgd,2001,217891000
bgd,2002,195044000
bgd,2003,394732000
bgd,2004,474331000
bgd,2005,394491000
bgd,2006,225651000
bgd,2007,408316000
bgd,2008,607048000
bgd,2009,62841000
bgd,2010,83496000
bgd,2011,92930000
bgd,2012,434299000
bgd,2013,397344000
bgd,2014,522412000
bgd,2015,599353000
bgd,2016,715559000
bgd,2017,1020424000
bgd,2018,1218515000
bgd,2019,1387295000
bgd,2020,1100721000
bih,1996,109559000
bih,1997,65203000
bih,1998,134857000
bih,1999,67956000
bih,2000,44108000
bih,2001,61736000
bih,2002,96844000
bih,2003,48193000
bih,2004,208546000
bih,2005,55591000
bih,2006,22866000
bih,2007,47963000
bih,2008,16534000
bih,2009,18022000
bih,2010,97193000
bih,2011,16212000
bih,2012,-1454000
bih,2013,-2318000
bih,2014,-8087000
bih,2015,-680000
bih,2016,13126000
bih,2017,-11352000
bih,2018,-30948000
bih,2019,-35668000
bih,2020,-52551000
bol,1970,1879000
bol,1971,3787000
bol,1972,2076000
bol,1973,1858000
bol,1974,10551000
bol,1975,8610000
bol,1976,3923000
bol,1977,3677000
bol,1978,1980000
bol,1979,3264000
bol,1980,1470000
bol,1981,14518000
bol,1982,11358000
bol,1983,2748000
bol,1984,1292000
bol,1985,700000
bol,1986,2951000
bol,1987,40263000
bol,1988,110368000
bol,1989,77376000
bol,1990,47082000
bol,1991,46157000
bol,1992,53518000
bol,1993,63914000
bol,1994,77347000
bol,1995,110482000
bol,1996,96938000
bol,1997,132152000
bol,1998,84966000
bol,1999,81998000
bol,2000,60599000
bol,2001,101335000
bol,2002,96446000
