geo,time,dt_nfl_nifc_cd
afg,2006,0
afg,2007,0
afg,2008,0
afg,2009,0
afg,2010,0
afg,2011,45890735.77
afg,2012,-12267982.47
afg,2013,52773544
afg,2014,-12226456
afg,2015,-24463958
afg,2016,-3823529
afg,2017,0
afg,2018,0
afg,2019,450000
afg,2020,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
ago,2016,0
ago,2017,0
ago,2018,0
ago,2019,0
ago,2020,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,1999,0
alb,2000,0
alb,2001,-200000
alb,2002,-200000
alb,2003,-200000
alb,2004,29174100
alb,2005,23800000
alb,2006,-15723845.61
alb,2007,-9953520.53
alb,2008,1232727
alb,2009,-4285716
alb,2010,0
alb,2011,50406730.2
alb,2012,12142855.2
alb,2013,-8359572
alb,2014,12593971
alb,2015,-2781274
alb,2016,-53349848
alb,2017,-2239120
alb,2018,-6240413
alb,2019,-3948664
alb,2020,0
arg,1970,0
arg,1971,0
arg,1972,0
arg,1973,0
arg,1974,0
arg,1975,0
arg,1976,0
arg,1977,0
arg,1978,0
arg,1979,0
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,0
arg,1984,0
arg,1985,0
arg,1986,0
arg,1987,0
arg,1988,0
arg,1989,0
arg,1990,0
arg,1991,0
arg,1992,0
arg,1993,0
arg,1994,0
arg,1995,0
arg,1996,0
arg,1997,0
arg,1998,0
arg,1999,0
arg,2000,0
arg,2001,-46419100
arg,2002,-81717300
arg,2003,-94991900
arg,2004,-74774000
arg,2005,120659929.52
arg,2006,27589392.64
arg,2007,-96736003.66
arg,2008,140604377.23
arg,2009,61109778.95
arg,2010,-52622037.41
arg,2011,-68954134.94
arg,2012,-85645218.59
arg,2013,-139269858
arg,2014,-115738470
arg,2015,46749325
arg,2016,159001132
arg,2017,303379795
arg,2018,345604581
arg,2019,47651592
arg,2020,-35891215
arm,1993,0
