geo,time,dt_nfl_unai_cd
ago,2005,430000.00715
ago,2006,449999.98808
ago,2007,810000.00238
ago,2008,460000.00834
ago,2009,600000.02384
ago,2010,699999.98808
ago,2011,790000.02146
ago,2012,506786.22723
ago,2013,763209.28335
ago,2014,742970.94345
ago,2015,1060261.9648
ago,2016,1296157.24087
ago,2017,1280900.00153
ago,2018,78071.80285
ago,2019,1137215.3759
alb,2005,79999.99821
alb,2006,59999.99866
alb,2007,100000.00149
alb,2008,100000.00149
alb,2010,79999.99821
alb,2017,5499.99997
arg,2005,449999.98808
arg,2006,330000.01311
arg,2007,439999.99762
arg,2008,889999.98569
arg,2009,300000.01192
arg,2010,519999.98093
arg,2011,730000.01907
arg,2012,651509.583
arg,2013,820371.5682
arg,2014,784520.08963
arg,2015,846261.97815
arg,2016,759145.61749
arg,2017,594099.99847
arg,2018,107454.39678
arg,2019,674662.88805
arm,2005,330000.01311
arm,2006,140000.0006
arm,2007,330000.01311
arm,2008,259999.99046
arm,2009,230000.00417
arm,2010,319999.99285
arm,2011,239999.99464
arm,2012,371762.60352
arm,2013,55646.37855
arm,2018,23569.09961
atg,2006,0
atg,2007,39999.99911
aze,2005,70000.0003
aze,2006,9999.99978
aze,2007,70000.0003
aze,2008,90000.00358
aze,2009,90000.00358
aze,2010,129999.99523
aze,2011,219999.99881
aze,2012,234610.30424
aze,2013,100831.79176
bdi,2005,379999.99523
bdi,2006,389999.98569
bdi,2007,340000.00358
bdi,2008,379999.99523
bdi,2009,439999.99762
bdi,2010,639999.98569
bdi,2011,1129999.99523
bdi,2012,439215.51108
bdi,2013,627395.03384
bdi,2014,506383.83627
bdi,2015,554946.00534
bdi,2016,488725.81124
bdi,2017,422500.01431
bdi,2018,73904.79743
bdi,2019,469681.85902
ben,2005,100000.00149
ben,2006,239999.99464
ben,2007,170000.00179
ben,2008,469999.99881
ben,2009,490000.00954
ben,2010,469999.99881
ben,2011,600000.02384
ben,2012,385794.99722
ben,2013,379293.7398
ben,2014,369347.39351
ben,2015,482244.01474
ben,2016,480904.10233
ben,2017,436300.00949
ben,2018,134205.69897
ben,2019,531637.01296
bfa,2005,270000.01073
bfa,2006,280000.00119
bfa,2007,540000.02146
bfa,2008,280000.00119
bfa,2009,340000.00358
bfa,2010,600000.02384
bfa,2011,779999.97139
bfa,2012,667576.19381
bfa,2013,627320.70684
bfa,2014,611678.12347
bfa,2015,647435.00948
bfa,2016,627843.678
bfa,2017,455599.99347
bfa,2018,128650.50137
bfa,2019,676548.30217
bgd,2005,400000.00596
bgd,2006,140000.0006
bgd,2007,800000.01192
bgd,2008,370000.00477
bgd,2009,360000.01431
bgd,2010,419999.98689
bgd,2011,589999.97377
bgd,2012,391468.70375
bgd,2013,491931.25963
bgd,2014,516440.03391
bgd,2015,500461.9956
bgd,2016,216235.99529
bgd,2017,130700.00708
bgd,2018,55090.90051
bgd,2019,168670.44568
bih,2005,79999.99821
bih,2006,9999.99978
