geo,time,dt_nfl_unfp_cd
afg,1977,389999.98569
afg,1980,699999.98808
afg,1981,639999.98569
afg,1982,460000.00834
afg,1983,750000
afg,1984,360000.01431
afg,1985,379999.99523
afg,1986,239999.99464
afg,1987,289999.99166
afg,1988,370000.00477
afg,1989,250000
afg,1990,259999.99046
afg,1991,270000.01073
afg,1992,200000.00298
afg,1993,189999.99762
afg,1994,9999.99978
afg,1995,9999.99978
afg,1997,9999.99978
afg,1998,340000.00358
afg,1999,509999.99046
afg,2000,750000
afg,2001,769999.98093
afg,2002,9029999.73297
afg,2003,6019999.98093
afg,2004,1360000.01431
afg,2005,3170000.07629
afg,2006,3710000.03815
afg,2007,4650000.09537
afg,2008,4199999.80927
afg,2009,5039999.96185
afg,2010,5820000.17166
afg,2011,6309999.94278
afg,2012,6070930.00412
afg,2013,6346146.10672
afg,2014,6080415.24887
afg,2015,6240921.02051
afg,2016,5068171.02432
afg,2017,3560384.75037
afg,2018,3600189.92424
afg,2019,5100243.56842
ago,1980,50000.00075
ago,1981,250000
ago,1982,319999.99285
ago,1983,280000.00119
ago,1984,159999.99642
ago,1985,270000.01073
ago,1986,379999.99523
ago,1987,810000.00238
ago,1988,639999.98569
ago,1989,449999.98808
ago,1990,670000.01669
ago,1991,1019999.98093
ago,1992,829999.98331
ago,1993,860000.01431
ago,1994,920000.01669
ago,1995,750000
ago,1996,1200000.04768
ago,1997,2059999.94278
ago,1998,2240000.00954
ago,1999,2130000.11444
ago,2000,1309999.94278
ago,2001,1730000.01907
ago,2002,2440000.05722
ago,2003,1970000.02861
ago,2004,1970000.02861
ago,2005,1450000.04768
ago,2006,1889999.98569
ago,2007,2329999.92371
ago,2008,2589999.91417
ago,2009,2109999.8951
ago,2010,1759999.99046
ago,2011,2309999.94278
ago,2012,2715961.93314
ago,2013,3572000.0267
ago,2014,2872020.2446
ago,2015,2496555.56679
ago,2016,1680480.00336
ago,2017,1845057.36828
ago,2018,1858919.97814
ago,2019,3284998.89374
alb,1988,239999.99464
alb,1989,250000
alb,1990,289999.99166
alb,1991,389999.98569
alb,1992,889999.98569
alb,1993,259999.99046
alb,1994,649999.97616
alb,1995,589999.97377
alb,1996,389999.98569
alb,1997,239999.99464
alb,1998,560000.00238
alb,1999,610000.01431
alb,2000,219999.99881
alb,2001,449999.98808
alb,2002,370000.00477
alb,2003,330000.01311
alb,2004,340000.00358
alb,2005,310000.00238
alb,2006,300000.01192
alb,2007,349999.99404
alb,2008,540000.02146
alb,2009,519999.98093
alb,2010,560000.00238
alb,2011,610000.01431
alb,2012,662370.02611
alb,2013,546625.01812
alb,2014,490196.04921
alb,2015,460294.6043
alb,2016,490424.90125
alb,2017,502956.15196
alb,2018,546609.99775
alb,2019,783304.69131
are,1980,79999.99821
are,1981,59999.99866
are,1982,9999.99978
are,1985,19999.99955
are,1986,9999.99978
are,1990,100000.00149
are,1998,9999.99978
are,2000,9999.99978
arg,1977,79999.99821
arg,1980,19999.99955
arg,1985,59999.99866
arg,1986,50000.00075
arg,1987,50000.00075
arg,1988,70000.0003
arg,1989,79999.99821
arg,1990,70000.0003
arg,1991,9999.99978
arg,1992,9999.99978
arg,1993,9999.99978
arg,1994,39999.99911
arg,1995,200000.00298
arg,1996,209999.99344
arg,1997,59999.99866
arg,1998,50000.00075
arg,1999,59999.99866
arg,2001,9999.99978
arg,2002,300000.01192
arg,2003,189999.99762
arg,2004,430000.00715
arg,2005,449999.98808
arg,2006,550000.01192
arg,2007,620000.00477
arg,2008,639999.98569
arg,2009,660000.02623
arg,2010,759999.99046
arg,2011,660000.02623
arg,2012,753360.98671
arg,2013,708689.98766
arg,2014,676574.76664
arg,2015,526867.80691
arg,2016,198190.19735
arg,2017,101482.95015
arg,2018,116180.00269
arg,2019,263399.39237
arm,1995,29999.99933
arm,1996,490000.00954
arm,1997,490000.00954
arm,1998,349999.99404
arm,1999,170000.00179
arm,2000,109999.9994
arm,2001,250000
arm,2002,300000.01192
arm,2003,379999.99523
arm,2004,579999.98331
arm,2005,479999.98927
arm,2006,430000.00715
arm,2007,400000.00596
arm,2008,540000.02146
arm,2009,469999.99881
arm,2010,500000
arm,2011,560000.00238
arm,2012,596729.99382
arm,2013,595044.97051
arm,2014,491642.80295
arm,2015,468927.56224
arm,2016,497763.09729
arm,2017,471577.0483
arm,2018,557479.97761
arm,2019,806645.33377
atg,1980,109999.9994
atg,1981,50000.00075
atg,1982,19999.99955
atg,1983,19999.99955
atg,1984,19999.99955
atg,1985,19999.99955
atg,1986,19999.99955
atg,1987,9999.99978
atg,1988,19999.99955
atg,1989,19999.99955
atg,1990,29999.99933
atg,1991,59999.99866
atg,1992,19999.99955
atg,1993,0
atg,1994,39999.99911
atg,1995,19999.99955
atg,1996,9999.99978
atg,1998,9999.99978
aze,1994,529999.97139
aze,1995,59999.99866
aze,1996,430000.00715
aze,1997,709999.97854
aze,1998,680000.00715
aze,1999,490000.00954
aze,2000,620000.00477
aze,2001,779999.97139
aze,2002,750000
aze,2003,569999.99285
aze,2004,529999.97139
aze,2005,639999.98569
aze,2006,759999.99046
aze,2007,689999.99762
aze,2008,759999.99046
aze,2009,680000.00715
aze,2010,750000
aze,2011,709999.97854
aze,2012,709680.97448
aze,2013,726736.00912
aze,2014,728999.55511
aze,2015,591252.44617
aze,2016,414124.19081
aze,2017,346231.52018
aze,2018,544470.01219
aze,2019,865961.84969
bdi,1977,129999.99523
bdi,1980,460000.00834
bdi,1981,419999.98689
bdi,1982,270000.01073
bdi,1983,550000.01192
bdi,1984,540000.02146
bdi,1985,819999.99285
bdi,1986,610000.01431
bdi,1987,569999.99285
bdi,1988,709999.97854
bdi,1989,829999.98331
bdi,1990,1210000.03815
bdi,1991,1120000.00477
bdi,1992,1129999.99523
bdi,1993,829999.98331
bdi,1994,939999.99762
bdi,1995,1330000.04292
bdi,1996,1279999.97139
bdi,1997,1419999.95708
bdi,1998,1259999.99046
bdi,1999,680000.00715
bdi,2000,670000.01669
bdi,2001,779999.97139
bdi,2002,1509999.99046
bdi,2003,1210000.03815
bdi,2004,1039999.96185
bdi,2005,720000.02861
bdi,2006,1120000.00477
bdi,2007,1940000.05722
bdi,2008,2430000.06676
bdi,2009,2380000.11444
bdi,2010,2369999.88556
bdi,2011,1830000.04292
bdi,2012,1815543.05553
bdi,2013,2133227.10991
bdi,2014,2868530.51186
bdi,2015,2240265.36942
bdi,2016,1589272.61829
bdi,2017,2066468.95409
bdi,2018,1625470.04223
bdi,2019,2353635.54955
ben,1977,170000.00179
ben,1980,289999.99166
ben,1981,310000.00238
ben,1982,569999.99285
ben,1983,409999.99642
ben,1984,419999.98689
ben,1985,540000.02146
ben,1986,419999.98689
ben,1987,469999.99881
ben,1988,460000.00834
ben,1989,1370000.00477
ben,1990,1120000.00477
ben,1991,1220000.02861
ben,1992,790000.02146
ben,1993,449999.98808
ben,1994,819999.99285
ben,1995,810000.00238
ben,1996,939999.99762
ben,1997,2940000.05722
ben,1998,2609999.8951
ben,1999,1440000.05722
ben,2000,720000.02861
ben,2001,1870000.00477
ben,2002,3579999.92371
ben,2003,1690000.05722
ben,2004,1870000.00477
ben,2005,2190000.05722
ben,2006,1759999.99046
ben,2007,2039999.96185
ben,2008,2690000.05722
ben,2009,2079999.92371
ben,2010,2000000
ben,2011,2089999.91417
ben,2012,2390358.92487
ben,2013,2201914.07204
ben,2014,1819869.99512
ben,2015,1832405.32875
ben,2016,1641820.54996
ben,2017,1449267.98344
ben,2018,1559370.04089
ben,2019,2312926.29242
bfa,1977,50000.00075
bfa,1980,550000.01192
bfa,1981,610000.01431
bfa,1982,649999.97616
bfa,1983,639999.98569
bfa,1984,889999.98569
bfa,1985,1279999.97139
