geo,time,dt_nfl_wfpg_cd
afg,1969,430000.00715
afg,1970,1490000.00954
afg,1971,1620000.00477
afg,1972,3819999.93324
afg,1973,1620000.00477
afg,1974,2710000.03815
afg,1975,6159999.84741
afg,1976,5460000.03815
afg,1977,7900000.09537
afg,1978,6619999.88556
afg,1979,16729999.54224
afg,1980,-1460000.03815
afg,1982,259999.99046
afg,1983,230000.00417
afg,1984,159999.99642
afg,1985,59999.99866
afg,1986,9999.99978
afg,1987,9999.99978
afg,1988,9999.99978
afg,1989,48040000.91553
afg,1990,12989999.77112
afg,1991,6840000.15259
afg,1992,24569999.69482
afg,1993,39529998.7793
afg,1994,24590000.15259
afg,1995,30950000.76294
afg,1996,16569999.69482
afg,1997,24309999.46594
afg,1998,159999.99642
afg,1999,2440000.05722
afg,2000,6670000.07629
afg,2001,6679999.82834
afg,2002,1960000.03815
afg,2003,1460000.03815
afg,2004,-2220000.02861
afg,2006,1500000
afg,2007,409999.99642
afg,2008,4460000.03815
afg,2009,2599999.90463
afg,2010,11329999.92371
afg,2011,1320000.05245
afg,2012,9242087.3642
afg,2013,5211730.00336
afg,2014,3069040.06004
afg,2015,2786071.06209
afg,2016,12644548.41614
afg,2017,14328789.711
afg,2018,5413322.92557
afg,2019,5065662.86087
ago,1974,100000.00149
ago,1975,550000.01192
ago,1976,159999.99642
ago,1977,6280000.20981
ago,1978,4610000.13351
ago,1979,5000000
ago,1980,3109999.8951
ago,1981,4789999.96185
ago,1982,6059999.94278
ago,1983,8539999.96185
ago,1984,9539999.96185
ago,1985,7079999.92371
ago,1986,6539999.96185
ago,1987,9810000.41962
ago,1988,7789999.96185
ago,1989,7619999.88556
ago,1990,10180000.30518
ago,1991,26020000.45776
ago,1992,46580001.83105
ago,1993,57360000.61035
ago,1994,106860000.61035
ago,1995,42349998.47412
ago,1996,10399999.61853
ago,1997,13460000.03815
ago,1998,2740000.00954
ago,1999,27620000.83923
ago,2000,38360000.61035
ago,2001,20209999.08447
ago,2002,30260000.22888
ago,2003,28120000.83923
ago,2004,14369999.88556
ago,2005,9079999.92371
ago,2006,1750000
ago,2007,589999.97377
ago,2008,469999.99881
ago,2009,29999.99933
ago,2010,0
ago,2017,120059.99684
ago,2018,452782.92894
ago,2019,481759.99522
alb,1998,289999.99166
alb,2001,90000.00358
alb,2002,460000.00834
alb,2003,2259999.99046
alb,2004,439999.99762
alb,2005,1269999.98093
alb,2006,9999.99978
are,1979,19999.99955
are,2003,370000.00477
arg,1979,9999.99978
arm,1993,839999.97377
arm,1994,7329999.92371
arm,1995,4989999.77112
arm,1999,1450000.04768
arm,2000,2609999.8951
arm,2001,1659999.96662
arm,2002,1299999.95232
arm,2003,1080000.04292
arm,2004,330000.01311
arm,2005,959999.97854
arm,2006,1240000.00954
arm,2007,1120000.00477
arm,2008,769999.98093
arm,2009,289999.99166
arm,2010,1080000.04292
arm,2011,310000.00238
arm,2012,1322.09004
arm,2018,238.08
arm,2019,8870.00002
atg,1981,119999.99732
atg,1982,90000.00358
atg,1983,119999.99732
atg,1984,39999.99911
atg,1985,129999.99523
atg,1986,90000.00358
atg,1987,70000.0003
atg,1991,19999.99955
atg,1992,150000.00596
atg,1993,39999.99911
aze,1993,1210000.03815
aze,1994,8560000.41962
aze,1995,4940000.05722
aze,1999,3920000.07629
aze,2000,2410000.08583
aze,2001,3109999.8951
aze,2002,3259999.99046
aze,2003,1929999.94755
aze,2004,1350000.02384
aze,2005,1889999.98569
aze,2006,1720000.02861
aze,2007,2519999.98093
aze,2008,1039999.96185
aze,2009,259999.99046
aze,2010,0
bdi,1969,9999.99978
bdi,1970,519999.98093
bdi,1971,490000.00954
bdi,1972,720000.02861
bdi,1973,709999.97854
bdi,1974,1129999.99523
bdi,1975,2829999.92371
bdi,1976,1929999.94755
bdi,1977,2380000.11444
bdi,1978,3230000.01907
bdi,1979,4989999.77112
bdi,1980,5260000.22888
bdi,1981,2789999.96185
bdi,1982,2130000.11444
bdi,1983,2500000
bdi,1984,2750000
bdi,1985,1490000.00954
bdi,1986,1450000.04768
bdi,1987,2019999.98093
bdi,1988,3160000.08583
bdi,1989,2740000.00954
bdi,1990,2950000.04768
bdi,1991,1590000.03338
bdi,1992,2150000.09537
bdi,1993,4969999.79019
bdi,1994,64190002.44141
bdi,1995,16530000.68665
bdi,1996,79999.99821
bdi,1997,9999.99978
bdi,1999,2519999.98093
bdi,2000,2049999.95232
bdi,2001,7940000.05722
bdi,2002,5360000.13351
bdi,2003,6780000.20981
bdi,2004,3809999.94278
bdi,2005,1700000.04768
bdi,2006,1480000.01907
bdi,2007,2460000.03815
bdi,2008,949999.98808
bdi,2009,6010000.22888
bdi,2010,1049999.95232
bdi,2011,3180000.06676
bdi,2012,2935952.18658
bdi,2013,5070756.91223
bdi,2014,4865640.16342
bdi,2015,3027489.90059
bdi,2016,5060029.02985
bdi,2017,1226750.01621
bdi,2018,2125755.07164
bdi,2019,1146559.95369
ben,1969,300000.01192
ben,1970,209999.99344
ben,1971,589999.97377
ben,1972,490000.00954
ben,1973,920000.01669
ben,1974,800000.01192
ben,1975,930000.00715
ben,1976,1149999.97616
ben,1977,860000.01431
ben,1978,1440000.05722
ben,1979,3339999.91417
ben,1980,2720000.02861
ben,1981,2130000.11444
ben,1982,3369999.88556
ben,1983,340000.00358
ben,1984,3079999.92371
ben,1985,3440000.05722
ben,1986,2819999.93324
ben,1987,1659999.96662
ben,1988,3359999.8951
ben,1989,1580000.04292
ben,1990,4130000.11444
ben,1991,2049999.95232
ben,1992,3680000.06676
ben,1993,7289999.96185
ben,1994,2450000.04768
ben,1995,5889999.86649
ben,1996,1370000.00477
ben,1997,3869999.88556
ben,1998,4289999.96185
ben,1999,819999.99285
ben,2000,1899999.97616
ben,2001,1759999.99046
ben,2002,1370000.00477
ben,2003,2500000
ben,2004,2309999.94278
ben,2005,2660000.08583
ben,2006,2519999.98093
ben,2007,1299999.95232
ben,2008,2029999.97139
ben,2009,2119999.88556
ben,2010,1269999.98093
ben,2011,-39999.99911
ben,2012,823812.54435
ben,2013,346343.99414
ben,2014,230900.00451
ben,2015,1496691.94221
ben,2016,1544464.94579
ben,2017,2774169.92188
ben,2018,2399442.19589
ben,2019,28559.99954
bfa,1969,340000.00358
bfa,1970,280000.00119
bfa,1971,500000
bfa,1972,90000.00358
bfa,1973,1129999.99523
bfa,1974,2680000.06676
bfa,1975,3140000.1049
bfa,1976,810000.00238
bfa,1977,1159999.96662
bfa,1978,5610000.13351
bfa,1979,3299999.95232
bfa,1980,5900000.09537
bfa,1981,2920000.07629
bfa,1982,5599999.90463
bfa,1983,4320000.17166
bfa,1984,7289999.96185
bfa,1985,7059999.94278
bfa,1986,5610000.13351
bfa,1987,819999.99285
bfa,1988,3349999.90463
bfa,1989,2599999.90463
bfa,1990,7260000.22888
bfa,1991,6519999.98093
bfa,1992,3170000.07629
bfa,1993,7409999.84741
bfa,1994,3000000
bfa,1995,8430000.30518
bfa,1996,4730000.01907
bfa,1997,5730000.01907
