geo,time,dt_nfl_whol_cd
afg,2011,2059999.94278
afg,2012,1708905.10082
afg,2013,1280173.54012
afg,2014,1787157.77397
afg,2015,3214046.23985
afg,2016,2430478.09601
afg,2017,5028198.71902
afg,2018,3801037.07314
afg,2019,3815150.02251
ago,2011,1720000.02861
ago,2012,1588796.37718
ago,2013,1503589.39171
ago,2014,2664917.23061
ago,2015,3237968.68324
ago,2016,3003059.14879
ago,2017,1728546.14258
ago,2018,3243653.77426
ago,2019,2166618.58559
alb,2011,170000.00179
alb,2012,11713.74973
alb,2013,32383.31154
alb,2014,96277.13263
alb,2015,256816.92362
alb,2016,346421.59939
alb,2017,374519.58656
alb,2018,661065.22083
alb,2019,382119.86423
arg,2017,557478.84512
arg,2018,454879.76074
arg,2019,647600.94881
arm,2011,620000.00477
arm,2012,35536.43078
arm,2013,125170.29047
arm,2014,196949.12434
arm,2015,371749.78852
arm,2016,347460.26993
arm,2017,409693.47954
arm,2018,620404.89912
arm,2019,378327.33989
atg,2017,70918.50042
atg,2018,5267.09016
atg,2019,110113.41959
aze,2011,879999.99523
aze,2012,43305.78819
aze,2013,223254.36771
aze,2014,377985.80527
aze,2015,361199.40877
aze,2016,419900.89417
aze,2017,218804.19552
aze,2018,187549.11423
aze,2019,204834.95295
bdi,2011,1190000.05722
bdi,2012,962069.86904
bdi,2013,1324437.02221
bdi,2014,1018745.42236
bdi,2015,1798977.0174
bdi,2016,1179098.24848
bdi,2017,1258981.34708
bdi,2018,1409457.20673
bdi,2019,1223943.3527
ben,2011,1070000.05245
ben,2012,1346047.28222
ben,2013,1190485.47745
ben,2014,1511163.71155
ben,2015,1405311.10764
ben,2016,1206724.5245
ben,2017,1361762.52365
ben,2018,1500711.20262
ben,2019,944777.3695
bfa,2011,1220000.02861
bfa,2012,1384340.40546
bfa,2013,1433794.73686
bfa,2014,1570590.9729
bfa,2015,1858465.90996
bfa,2016,1594093.79959
bfa,2017,2013635.63538
bfa,2018,2163785.69603
bfa,2019,1603373.40832
bgd,2011,4530000.20981
