geo,time,dt_tds_mlat_pg_zs
afg,2006,100
afg,2007,100
afg,2008,100
afg,2009,76.63909
afg,2010,100
afg,2011,100
afg,2012,100
afg,2013,100
afg,2014,90.66592
afg,2015,91.85403
afg,2016,89.57292
afg,2017,92.33383
afg,2018,89.50494
afg,2019,86.23557
afg,2020,98.06444
ago,1989,2.67977
ago,1990,2.17262
ago,1991,1.3746
ago,1992,2.71203
ago,1993,0.09482
ago,1994,0.32408
ago,1995,0.6116
ago,1996,0.06894
ago,1997,0.14653
ago,1998,0.08769
ago,1999,0.21235
ago,2000,3.30703
ago,2001,0.44072
ago,2002,0.60966
ago,2003,0.62324
ago,2004,0.67846
ago,2005,0.48918
ago,2006,0.27995
ago,2007,0.22406
ago,2008,0.76677
ago,2009,0.33386
ago,2010,0.63209
ago,2011,0.52178
ago,2012,0.43354
ago,2013,0.43376
ago,2014,0.5063
ago,2015,0.72966
ago,2016,0.6512
ago,2017,0.87762
ago,2018,0.99552
ago,2019,1.30466
ago,2020,2.77199
alb,1993,0.46277
alb,1994,1.37799
alb,1995,11.39326
alb,1996,21.03763
alb,1997,23.37973
alb,1998,17.85873
alb,1999,32.02515
alb,2000,38.50324
alb,2001,50.40359
alb,2002,36.73335
alb,2003,49.00422
alb,2004,48.41995
alb,2005,50.26789
alb,2006,45.45634
alb,2007,51.13887
alb,2008,50.61902
alb,2009,42.3547
alb,2010,28.41239
alb,2011,27.74114
alb,2012,30.70188
alb,2013,51.85391
alb,2014,49.95624
alb,2015,21.23961
alb,2016,48.59386
alb,2017,50.22641
alb,2018,27.77505
alb,2019,54.36313
alb,2020,32.4318
arg,1970,8.89605
arg,1971,11.08786
arg,1972,12.43994
arg,1973,11.04027
arg,1974,10.59701
arg,1975,12.0337
arg,1976,12.94335
arg,1977,12.00529
arg,1978,6.98145
arg,1979,10.90137
arg,1980,14.39849
arg,1981,9.54893
arg,1982,10.45892
arg,1983,9.26451
arg,1984,13.73227
arg,1985,6.84613
arg,1986,9.34412
arg,1987,10.83398
arg,1988,18.87027
arg,1989,28.64984
arg,1990,16.67008
arg,1991,26.63237
arg,1992,33.57226
arg,1993,24.15168
arg,1994,35.57938
arg,1995,22.13882
arg,1996,17.62926
arg,1997,13.88068
arg,1998,14.87851
arg,1999,15.54796
arg,2000,15.03503
