geo,time,eg_egy_prim_pp_kd
abw,2000,14.38
abw,2001,14.94
abw,2002,15.55
abw,2003,15.73
abw,2004,14.76
abw,2005,14.93
abw,2006,14.77
abw,2007,14.94
abw,2008,14.36
abw,2009,15.96
abw,2010,16.21
abw,2011,15.62
abw,2012,6.83
abw,2013,3.34
abw,2014,3.38
abw,2015,3.28
abw,2016,3.16
abw,2017,3.13
abw,2018,3.07
abw,2019,3.2
afg,2000,1.64
afg,2001,1.74
afg,2002,1.4
afg,2003,1.4
afg,2004,1.2
afg,2005,1.41
afg,2006,1.5
afg,2007,1.53
afg,2008,1.94
afg,2009,2.25
afg,2010,2.46
afg,2011,3.23
afg,2012,2.61
afg,2013,2.46
afg,2014,2.25
afg,2015,2.37
afg,2016,2.24
afg,2017,2.3
afg,2018,2.44
afg,2019,2.41
ago,2000,3.68
ago,2001,3.65
ago,2002,3.34
ago,2003,3.49
ago,2004,3.17
ago,2005,2.6
ago,2006,2.62
ago,2007,2.5
ago,2008,2.48
ago,2009,2.71
ago,2010,2.61
ago,2011,2.62
ago,2012,2.71
ago,2013,2.6
ago,2014,3.28
ago,2015,2.86
ago,2016,2.61
ago,2017,2.51
ago,2018,2.95
ago,2019,2.94
alb,2000,4.13
alb,2001,3.89
alb,2002,4.1
alb,2003,3.8
alb,2004,3.96
alb,2005,3.75
alb,2006,3.46
alb,2007,3.12
alb,2008,3.01
alb,2009,2.98
alb,2010,2.85
alb,2011,2.91
alb,2012,2.57
alb,2013,2.96
alb,2014,2.93
alb,2015,2.69
alb,2016,2.68
alb,2017,2.69
alb,2018,2.57
alb,2019,2.5
are,2000,4.08
are,2001,5.6
are,2002,5.4
are,2003,4.88
are,2004,4.4
are,2005,4.47
are,2006,4.23
are,2007,4.45
are,2008,5.1
are,2009,5.76
are,2010,5.48
are,2011,5.03
are,2012,5.11
are,2013,5.13
are,2014,5.4
are,2015,5.56
are,2016,5.96
are,2017,4.54
are,2018,4.11
are,2019,3.36
arg,2000,3.69
arg,2001,3.59
arg,2002,3.99
arg,2003,3.97
arg,2004,4.04
arg,2005,3.68
arg,2006,3.58
arg,2007,3.44
arg,2008,3.42
arg,2009,3.35
arg,2010,3.26
arg,2011,3.18
arg,2012,3.3
arg,2013,3.31
arg,2014,3.4
arg,2015,3.36
arg,2016,3.41
arg,2017,3.32
arg,2018,3.31
arg,2019,3.35
arm,2000,6.79
arm,2001,6.17
arm,2002,5.1
arm,2003,4.72
arm,2004,4.52
arm,2005,4.76
arm,2006,4.28
arm,2007,4.2
arm,2008,4.13
arm,2009,4.18
arm,2010,3.89
arm,2011,4.06
arm,2012,4.15
arm,2013,3.92
arm,2014,4.11
arm,2015,4.12
arm,2016,3.93
arm,2017,3.86
arm,2018,3.51
arm,2019,3.53
atg,2000,3.13
atg,2001,3.31
atg,2002,3.59
atg,2003,3.63
atg,2004,3.57
atg,2005,3.4
atg,2006,3.12
atg,2007,3.02
atg,2008,3.08
atg,2009,3.7
atg,2010,4.05
atg,2011,4.08
atg,2012,4.08
atg,2013,4.13
atg,2014,4.01
atg,2015,3.98
atg,2016,3.85
atg,2017,3.73
atg,2018,3.57
atg,2019,3.45
aus,2000,6.16
aus,2001,5.91
aus,2002,5.89
aus,2003,5.78
aus,2004,5.65
aus,2005,5.52
aus,2006,5.58
aus,2007,5.52
aus,2008,5.53
aus,2009,5.43
aus,2010,5.33
aus,2011,5.23
aus,2012,4.98
aus,2013,4.93
aus,2014,4.78
aus,2015,4.67
aus,2016,4.54
aus,2017,4.49
aus,2018,4.39
aus,2019,4.3
aut,2000,3.22
aut,2001,3.36
aut,2002,3.33
aut,2003,3.48
aut,2004,3.44
aut,2005,3.47
aut,2006,3.38
aut,2007,3.2
aut,2008,3.18
aut,2009,3.14
aut,2010,3.29
aut,2011,3.1
aut,2012,3.07
aut,2013,3.1
aut,2014,2.97
aut,2015,3.01
aut,2016,2.98
aut,2017,2.97
aut,2018,2.81
aut,2019,2.82
aze,2000,14.46
aze,2001,13.33
aze,2002,12.31
aze,2003,11.74
aze,2004,11.3
aze,2005,9.28
aze,2006,6.8
aze,2007,5.13
