geo,time,eg_elc_hyro_zs
ago,1971,81.53639
ago,1972,81.14558
ago,1973,82.72358
ago,1974,69.81286
ago,1975,72.79693
ago,1976,73.16239
ago,1977,73.16239
ago,1978,90.25641
ago,1979,88.09524
ago,1980,88.14815
ago,1981,88.14815
ago,1982,87.63889
ago,1983,73.81865
ago,1984,89.70149
ago,1985,86.9727
ago,1986,86.9727
ago,1987,86.54321
ago,1988,86.01227
ago,1989,86.69109
ago,1990,86.2069
ago,1991,82.65525
ago,1992,88.70116
ago,1993,93.68421
ago,1994,93.71728
ago,1995,93.75
ago,1996,89.98054
ago,1997,76.35253
ago,1998,80.42489
ago,1999,66.96629
ago,2000,63.11419
ago,2001,62.08791
ago,2002,64.75921
ago,2003,62.20551
ago,2004,78.40502
ago,2005,79.64824
ago,2006,80.61101
ago,2007,77.6189
ago,2008,75.40905
ago,2009,65.34319
ago,2010,67.95742
ago,2011,70.9078
ago,2012,60.79948
ago,2013,58.02093
ago,2014,53.17511
ago,2015,53.17493
alb,1971,57.14286
alb,1972,62.06897
alb,1973,66.21622
alb,1974,68.42105
alb,1975,71.91011
alb,1976,74.5098
alb,1977,76.52174
alb,1978,77.41935
alb,1979,78.83212
alb,1980,79.40781
alb,1981,81.33333
alb,1982,83.00133
alb,1983,84.65608
alb,1984,73.68846
alb,1985,67.68351
alb,1986,79.53388
alb,1987,76.22298
alb,1988,73.77008
alb,1989,74.65438
alb,1990,86.40777
alb,1991,92.14248
alb,1992,95.05009
alb,1993,93.90762
alb,1994,95.68637
alb,1995,93.98614
alb,1996,95.72049
alb,1997,96.17445
alb,1998,96.32022
alb,1999,97.32916
alb,2000,96.14902
alb,2001,95.30831
alb,2002,93.95399
alb,2003,97.85657
alb,2004,97.50268
alb,2005,98.71394
alb,2006,98.31644
alb,2007,97.48252
alb,2008,100
alb,2009,99.98078
alb,2010,99.98679
alb,2011,98.59222
alb,2012,100
alb,2013,100
alb,2014,100
alb,2015,100
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
