global,time,eg_elc_loss_zs
world,1960,9.40416
world,1961,9.17152
world,1962,8.90057
world,1963,8.74634
world,1964,8.62518
world,1965,8.67905
world,1966,8.72731
world,1967,8.43355
world,1968,8.33589
world,1969,7.97175
world,1970,8.03868
world,1971,8.17243
world,1972,8.27876
world,1973,8.14496
world,1974,7.9076
world,1975,8.33324
world,1976,8.36974
world,1977,8.13037
world,1978,8.24569
world,1979,8.11376
world,1980,8.26082
world,1981,7.75704
world,1982,8.07715
world,1983,8.22292
world,1984,7.61752
world,1985,7.84915
world,1986,7.51957
world,1987,7.24129
world,1988,7.12819
world,1989,8.76741
world,1990,8.4755
world,1991,7.96848
world,1992,8.06814
world,1993,8.42693
world,1994,8.37179
world,1995,8.56792
world,1996,8.71293
world,1997,8.40055
world,1998,8.63564
world,1999,8.6836
world,2000,8.85374
world,2001,8.62298
world,2002,8.96889
world,2003,8.64742
world,2004,8.83337
world,2005,8.86481
world,2006,8.65272
world,2007,8.47766
world,2008,8.40257
world,2009,8.60081
world,2010,8.26414
world,2011,8.16572
world,2012,8.26864
world,2013,8.20001
world,2014,8.2506
