geo,time,eg_elc_petr_zs
ago,1971,18.46361
ago,1972,18.85442
ago,1973,17.27642
ago,1974,30.18714
ago,1975,27.20307
ago,1976,26.83761
ago,1977,26.83761
ago,1978,9.74359
ago,1979,11.90476
ago,1980,11.85185
ago,1981,11.85185
ago,1982,12.36111
ago,1983,26.18135
ago,1984,10.29851
ago,1985,13.0273
ago,1986,13.0273
ago,1987,13.45679
ago,1988,13.98773
ago,1989,13.30891
ago,1990,13.7931
ago,1991,17.34475
ago,1992,11.29884
ago,1993,6.31579
ago,1994,6.28272
ago,1995,6.25
ago,1996,10.01946
ago,1997,23.64747
ago,1998,19.57511
ago,1999,33.03371
ago,2000,36.88581
ago,2001,37.91209
ago,2002,35.24079
ago,2003,37.79449
ago,2004,21.59498
ago,2005,20.35176
ago,2006,19.38899
ago,2007,22.3811
ago,2008,24.59095
ago,2009,34.65681
ago,2010,32.04258
ago,2011,29.0922
ago,2012,39.20052
ago,2013,41.97907
ago,2014,46.82489
ago,2015,46.82507
alb,1971,42.85714
alb,1972,37.93103
alb,1973,33.78378
alb,1974,31.57895
alb,1975,28.08989
alb,1976,25.4902
alb,1977,23.47826
alb,1978,22.58065
alb,1979,21.16788
alb,1980,20.59219
alb,1981,18.66667
alb,1982,16.99867
alb,1983,15.34392
alb,1984,26.31154
alb,1985,32.31649
alb,1986,20.46612
alb,1987,23.77702
alb,1988,26.22992
alb,1989,25.34562
alb,1990,13.59223
alb,1991,7.85752
alb,1992,4.94991
alb,1993,6.09238
alb,1994,4.31363
alb,1995,6.01386
alb,1996,4.27951
alb,1997,3.82555
alb,1998,3.67978
alb,1999,2.67084
alb,2000,3.85098
alb,2001,4.69169
alb,2002,6.04601
alb,2003,2.14343
alb,2004,2.49732
alb,2005,1.28606
alb,2006,1.68356
alb,2007,2.51748
alb,2008,0
alb,2009,0.01922
alb,2010,0.01321
alb,2011,1.40778
alb,2012,0
alb,2013,0
alb,2014,0
alb,2015,0
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,3.7225
are,1978,3.71945
are,1979,3.70667
are,1980,3.71075
are,1981,3.72783
are,1982,3.71284
are,1983,3.71758
are,1984,3.71818
are,1985,3.70833
are,1986,3.72249
are,1987,3.71238
are,1988,3.71968
are,1989,3.70228
are,1990,3.70609
are,1991,3.70584
are,1992,3.70271
are,1993,3.70916
are,1994,3.70745
are,1995,3.10624
are,1996,3.36821
are,1997,4.1338
are,1998,3.65057
are,1999,3.38846
are,2000,3.08933
are,2001,2.79811
are,2002,2.76379
are,2003,2.74419
are,2004,2.33512
are,2005,2.13516
are,2006,2.03241
are,2007,1.86319
are,2008,1.70531
are,2009,1.58877
are,2010,1.47859
are,2011,1.40008
are,2012,1.37914
are,2013,1.30952
are,2014,1.26407
are,2015,1.24209
arg,1971,67.21131
arg,1972,68.14589
arg,1973,61.6481
arg,1974,52.36852
arg,1975,46.38926
arg,1976,46.96518
arg,1977,50.52294
arg,1978,45.80965
arg,1979,42.77251
arg,1980,31.64005
arg,1981,29.99562
arg,1982,23.43429
arg,1983,22.38681
arg,1984,19.3991
arg,1985,12.60577
arg,1986,16.10922
arg,1987,19.36624
arg,1988,16.52758
arg,1989,14.26224
arg,1990,9.74379
arg,1991,14.20846
arg,1992,13.70949
arg,1993,10.86949
arg,1994,7.06435
arg,1995,6.84175
arg,1996,6.63548
arg,1997,2.82442
arg,1998,5.14781
arg,1999,4.76096
arg,2000,3.2426
arg,2001,1.11413
arg,2002,0.89872
arg,2003,1.09855
arg,2004,4.03235
arg,2005,5.44691
arg,2006,7.51949
arg,2007,10.21273
arg,2008,11.81705
arg,2009,11.70941
arg,2010,13.30241
arg,2011,15.12176
arg,2012,14.78909
arg,2013,14.26825
arg,2014,13.84011
arg,2015,15.42319
arm,1990,68.58715
arm,1991,55.69567
arm,1992,43.31408
arm,1993,8.67355
arm,1994,11.24072
arm,1995,7.64251
arm,1996,2.04377
arm,1997,0.31514
arm,1998,0
arm,1999,0
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,0
arm,2006,0
arm,2007,0
arm,2008,0
arm,2009,0
arm,2010,0
arm,2011,0
arm,2012,0
arm,2013,0
arm,2014,0
arm,2015,0
aus,1960,5.52473
aus,1961,5.64663
aus,1962,3.18139
aus,1963,2.9285
aus,1964,3.83882
aus,1965,3.56236
aus,1966,3.79142
aus,1967,3.98479
aus,1968,4.3724
aus,1969,4.86767
aus,1970,4.63944
aus,1971,3.37072
aus,1972,3.26719
aus,1973,2.60515
aus,1974,7.41778
aus,1975,6.55486
aus,1976,6.62766
aus,1977,6.11005
aus,1978,6.21022
aus,1979,5.90007
aus,1980,5.42768
aus,1981,5.39195
aus,1982,5.67554
aus,1983,5.48727
aus,1984,4.98278
aus,1985,3.90022
aus,1986,3.0078
aus,1987,2.12814
aus,1988,1.76725
aus,1989,2.056
aus,1990,2.3022
aus,1991,2.16947
aus,1992,1.48436
aus,1993,1.48313
aus,1994,1.38782
aus,1995,1.58444
aus,1996,1.58229
aus,1997,1.19113
aus,1998,0.93376
aus,1999,0.8491
aus,2000,0.85007
aus,2001,0.91142
aus,2002,1.07574
aus,2003,0.75299
aus,2004,0.60864
aus,2005,1.24416
aus,2006,1.31399
aus,2007,1.19064
aus,2008,1.66946
aus,2009,1.45025
aus,2010,2.41361
aus,2011,2.28785
aus,2012,1.50931
aus,2013,2.56789
aus,2014,2.01922
aus,2015,2.69506
aut,1960,4.28053
aut,1961,5.40641
aut,1962,8.31209
aut,1963,10.54843
aut,1964,11.91194
aut,1965,10.01281
aut,1966,7.8208
aut,1967,8.93568
aut,1968,9.84822
aut,1969,11.35233
aut,1970,7.02871
aut,1971,12.30055
aut,1972,14.6344
aut,1973,14.06392
aut,1974,9.19024
aut,1975,11.16137
aut,1976,15.45616
aut,1977,11.91331
aut,1978,13.16188
aut,1979,12.6502
aut,1980,13.95673
aut,1981,7.49893
aut,1982,6.85924
aut,1983,7.43114
aut,1984,6.17094
aut,1985,4.78716
aut,1986,5.32324
aut,1987,4.2626
aut,1988,3.21502
aut,1989,2.82779
aut,1990,3.8137
aut,1991,4.44391
aut,1992,3.98286
aut,1993,5.31623
aut,1994,4.99894
aut,1995,3.83667
aut,1996,3.60063
aut,1997,4.2938
aut,1998,4.98122
aut,1999,4.43454
aut,2000,2.84264
aut,2001,2.97706
aut,2002,2.38527
aut,2003,3.20326
aut,2004,2.93795
aut,2005,2.5447
aut,2006,2.63462
aut,2007,2.04046
aut,2008,1.92782
aut,2009,1.71301
aut,2010,1.87535
aut,2011,1.62834
aut,2012,1.08136
aut,2013,1.07668
aut,2014,0.97864
aut,2015,1.39404
aze,1990,34.41603
aze,1991,37.94456
aze,1992,58.00233
aze,1993,60.31704
aze,1994,71.27084
aze,1995,72.28937
aze,1996,72.41763
aze,1997,71.2996
aze,1998,69.41882
aze,1999,72.15559
aze,2000,71.95037
aze,2001,33.75329
aze,2002,30.97161
aze,2003,35.69482
aze,2004,28.26987
aze,2005,25.67331
aze,2006,24.89508
aze,2007,18.27253
aze,2008,7.95176
aze,2009,2.63409
aze,2010,0.12293
aze,2011,1.66552
aze,2012,2.1881
aze,2013,0.07707
aze,2014,0.15772
aze,2015,6.50924
bel,1960,13.23258
bel,1961,15.23489
bel,1962,15.28071
bel,1963,19.63109
bel,1964,24.75305
bel,1965,26.21192
bel,1966,29.43306
bel,1967,33.89895
bel,1968,40.08314
bel,1969,47.3067
bel,1970,52.08204
bel,1971,54.13545
bel,1972,53.16244
bel,1973,53.72399
bel,1974,46.97263
bel,1975,39.29149
bel,1976,36.28589
bel,1977,32.11931
bel,1978,34.47062
bel,1979,34.73654
bel,1980,34.67066
bel,1981,28.29114
bel,1982,25.05703
bel,1983,13.18707
bel,1984,8.24362
bel,1985,6.65138
bel,1986,4.33696
bel,1987,3.59234
bel,1988,2.66032
bel,1989,2.54647
bel,1990,1.86935
bel,1991,2.56511
bel,1992,2.16076
bel,1993,2.1051
bel,1994,2.26798
bel,1995,1.78601
bel,1996,1.71684
bel,1997,1.82633
bel,1998,3.14347
bel,1999,1.24151
bel,2000,0.96287
bel,2001,2.11656
bel,2002,1.2009
bel,2003,1.20511
bel,2004,1.98689
bel,2005,2.03013
bel,2006,1.63252
bel,2007,0.92885
bel,2008,0.48574
bel,2009,0.31178
bel,2010,0.43268
bel,2011,0.32579
bel,2012,0.40798
bel,2013,0.19108
bel,2014,0.30349
bel,2015,0.30051
ben,1973,100
ben,1974,100
ben,1975,100
ben,1976,100
ben,1977,100
ben,1978,100
ben,1979,100
ben,1980,100
ben,1981,100
ben,1982,100
ben,1983,100
ben,1984,100
ben,1985,100
