geo,time,eg_elc_rnwx_kh
ago,1971,0
ago,1972,0
ago,1973,0
ago,1974,0
ago,1975,0
ago,1976,0
ago,1977,0
ago,1978,0
ago,1979,0
ago,1980,0
ago,1981,0
ago,1982,0
ago,1983,0
ago,1984,0
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
alb,1971,0
alb,1972,0
alb,1973,0
alb,1974,0
alb,1975,0
alb,1976,0
alb,1977,0
alb,1978,0
alb,1979,0
alb,1980,0
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,1999,0
alb,2000,0
alb,2001,0
alb,2002,0
alb,2003,0
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,0
alb,2009,0
alb,2010,0
alb,2011,0
alb,2012,0
alb,2013,0
alb,2014,0
alb,2015,0
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0
are,2013,100000000
are,2014,301000000
are,2015,296000000
arg,1971,57000000
arg,1972,74000000
arg,1973,57000000
arg,1974,58000000
arg,1975,62000000
arg,1976,57000000
arg,1977,61000000
arg,1978,61000000
arg,1979,93000000
arg,1980,96000000
arg,1981,84000000
arg,1982,109000000
arg,1983,150000000
arg,1984,95000000
arg,1985,116000000
arg,1986,107000000
arg,1987,108000000
arg,1988,121000000
arg,1989,119000000
arg,1990,107000000
arg,1991,100000000
arg,1992,102000000
arg,1993,107000000
arg,1994,120000000
arg,1995,117000000
arg,1996,363000000
arg,1997,461000000
arg,1998,498000000
arg,1999,571000000
arg,2000,708000000
arg,2001,672000000
arg,2002,941000000
arg,2003,1114000000
arg,2004,1247000000
arg,2005,1362000000
arg,2006,1728000000
arg,2007,1688000000
arg,2008,1618000000
arg,2009,1402000000
arg,2010,2220000000
arg,2011,2155000000
arg,2012,2752000000
arg,2013,2942000000
arg,2014,2719000000
arg,2015,2752000000
arm,1990,0
arm,1991,0
arm,1992,0
arm,1993,0
arm,1994,0
arm,1995,0
arm,1996,0
arm,1997,0
arm,1998,0
arm,1999,0
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,0
arm,2006,0
arm,2007,3000000
arm,2008,2000000
arm,2009,4000000
arm,2010,7000000
arm,2011,3000000
arm,2012,4000000
arm,2013,4000000
arm,2014,4000000
arm,2015,4000000
aus,1960,303000000
aus,1961,303000000
aus,1962,295000000
aus,1963,301000000
aus,1964,289000000
aus,1965,296000000
aus,1966,284000000
aus,1967,290000000
aus,1968,282000000
aus,1969,281000000
aus,1970,261000000
aus,1971,263000000
aus,1972,280000000
aus,1973,338000000
aus,1974,429000000
aus,1975,489000000
aus,1976,484000000
aus,1977,429000000
aus,1978,405000000
aus,1979,418000000
aus,1980,385000000
aus,1981,404000000
aus,1982,516000000
aus,1983,431000000
aus,1984,441000000
aus,1985,456000000
aus,1986,460000000
aus,1987,470000000
aus,1988,731000000
aus,1989,810000000
aus,1990,750000000
aus,1991,769000000
aus,1992,670000000
aus,1993,681000000
aus,1994,687000000
aus,1995,746000000
aus,1996,954000000
aus,1997,995000000
aus,1998,1065000000
aus,1999,1195000000
aus,2000,1230000000
aus,2001,1599000000
aus,2002,1997000000
aus,2003,2345000000
aus,2004,2573000000
aus,2005,4794000000
aus,2006,5716000000
aus,2007,6674000000
aus,2008,7817000000
aus,2009,6800000000
aus,2010,8256000000
aus,2011,9718000000
aus,2012,12573000000
aus,2013,14939000000
aus,2014,18622000000
aus,2015,21044000000
aut,1960,0
aut,1961,0
aut,1962,0
aut,1963,0
aut,1964,0
aut,1965,0
aut,1966,0
aut,1967,0
aut,1968,0
aut,1969,0
aut,1970,180000000
aut,1971,233000000
aut,1972,211000000
aut,1973,202000000
aut,1974,213000000
aut,1975,218000000
aut,1976,254000000
aut,1977,273000000
aut,1978,302000000
aut,1979,331000000
aut,1980,324000000
aut,1981,500000000
aut,1982,475000000
aut,1983,559000000
aut,1984,805000000
aut,1985,934000000
aut,1986,1278000000
aut,1987,902000000
aut,1988,1047000000
aut,1989,1104000000
aut,1990,1126000000
aut,1991,1206000000
aut,1992,1306000000
aut,1993,1343000000
aut,1994,1188000000
aut,1995,1837000000
aut,1996,1574000000
aut,1997,1714000000
aut,1998,1868000000
aut,1999,1649000000
aut,2000,1599000000
aut,2001,1777000000
aut,2002,1668000000
aut,2003,2098000000
aut,2004,3010000000
aut,2005,3936000000
aut,2006,5151000000
aut,2007,6236000000
aut,2008,6344000000
aut,2009,6281000000
aut,2010,6617000000
aut,2011,6627000000
aut,2012,7404000000
aut,2013,8322000000
aut,2014,8934000000
aut,2015,10187000000
aze,1990,0
aze,1991,0
aze,1992,0
aze,1993,0
aze,1994,0
aze,1995,0
aze,1996,0
aze,1997,0
aze,1998,0
aze,1999,0
aze,2000,0
aze,2001,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
aze,2006,0
aze,2007,0
aze,2008,0
aze,2009,2000000
aze,2010,1000000
aze,2011,0
aze,2012,0
aze,2013,69000000
aze,2014,92000000
aze,2015,101000000
bel,1960,0
bel,1961,0
bel,1962,0
bel,1963,0
bel,1964,0
bel,1965,0
bel,1966,0
bel,1967,0
bel,1968,0
bel,1969,0
bel,1970,0
bel,1971,0
bel,1972,0
bel,1973,116000000
bel,1974,108000000
bel,1975,83000000
bel,1976,57000000
bel,1977,247000000
bel,1978,260000000
bel,1979,315000000
bel,1980,300000000
bel,1981,291000000
bel,1982,46000000
bel,1983,22000000
bel,1984,24000000
bel,1985,53000000
bel,1986,119000000
bel,1987,148000000
bel,1988,188000000
bel,1989,198000000
bel,1990,289000000
bel,1991,307000000
bel,1992,276000000
bel,1993,253000000
bel,1994,254000000
bel,1995,330000000
bel,1996,322000000
bel,1997,283000000
bel,1998,370000000
bel,1999,509000000
bel,2000,584000000
bel,2001,634000000
bel,2002,778000000
bel,2003,945000000
bel,2004,1180000000
bel,2005,1818000000
bel,2006,2593000000
bel,2007,3097000000
bel,2008,4008000000
bel,2009,5111000000
bel,2010,6182000000
bel,2011,8181000000
bel,2012,10101000000
bel,2013,11295000000
bel,2014,11921000000
bel,2015,14148000000
ben,1971,0
ben,1972,0
ben,1973,0
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,0
ben,1986,0
ben,1987,0
ben,1988,0
ben,1989,0
ben,1990,0
ben,1991,0
ben,1992,0
ben,1993,0
ben,1994,0
ben,1995,0
ben,1996,0
ben,1997,0
ben,1998,0
ben,1999,0
ben,2000,0
ben,2001,0
ben,2002,0
ben,2003,0
ben,2004,0
ben,2005,0
ben,2006,4000000
ben,2007,3000000
ben,2008,3000000
ben,2009,1000000
ben,2010,1000000
ben,2011,0
ben,2012,0
ben,2013,0
ben,2014,0
ben,2015,5000000
bgd,1971,0
bgd,1972,0
bgd,1973,0
bgd,1974,0
bgd,1975,0
bgd,1976,0
bgd,1977,0
bgd,1978,0
bgd,1979,0
bgd,1980,0
bgd,1981,0
bgd,1982,0
bgd,1983,0
bgd,1984,0
bgd,1985,0
bgd,1986,0
bgd,1987,0
bgd,1988,0
bgd,1989,0
bgd,1990,0
bgd,1991,0
bgd,1992,0
bgd,1993,0
bgd,1994,0
bgd,1995,0
bgd,1996,0
bgd,1997,0
bgd,1998,0
bgd,1999,0
bgd,2000,0
bgd,2001,0
bgd,2002,0
bgd,2003,0
bgd,2004,0
bgd,2005,0
bgd,2006,0
bgd,2007,0
bgd,2008,0
bgd,2009,0
bgd,2010,0
bgd,2011,0
bgd,2012,0
bgd,2013,140000000
bgd,2014,149000000
bgd,2015,158000000
bgr,1971,0
bgr,1972,0
bgr,1973,0
bgr,1974,0
bgr,1975,0
bgr,1976,0
bgr,1977,0
bgr,1978,0
bgr,1979,0
bgr,1980,0
bgr,1981,0
bgr,1982,0
bgr,1983,0
bgr,1984,0
bgr,1985,0
bgr,1986,0
bgr,1987,0
bgr,1988,0
bgr,1989,0
bgr,1990,0
bgr,1991,0
bgr,1992,0
bgr,1993,0
bgr,1994,0
bgr,1995,0
bgr,1996,0
bgr,1997,0
bgr,1998,0
bgr,1999,0
bgr,2000,0
bgr,2001,0
bgr,2002,0
bgr,2003,0
bgr,2004,1000000
bgr,2005,5000000
bgr,2006,20000000
bgr,2007,47000000
bgr,2008,138000000
bgr,2009,248000000
bgr,2010,731000000
bgr,2011,1018000000
bgr,2012,2101000000
bgr,2013,2845000000
bgr,2014,2783000000
bgr,2015,3107000000
bhr,1971,0
bhr,1972,0
bhr,1973,0
bhr,1974,0
bhr,1975,0
bhr,1976,0
bhr,1977,0
bhr,1978,0
bhr,1979,0
bhr,1980,0
bhr,1981,0
bhr,1982,0
bhr,1983,0
bhr,1984,0
bhr,1985,0
bhr,1986,0
bhr,1987,0
bhr,1988,0
bhr,1989,0
bhr,1990,0
bhr,1991,0
bhr,1992,0
bhr,1993,0
bhr,1994,0
bhr,1995,0
bhr,1996,0
bhr,1997,0
bhr,1998,0
bhr,1999,0
bhr,2000,0
bhr,2001,0
bhr,2002,0
bhr,2003,0
bhr,2004,0
bhr,2005,0
bhr,2006,0
bhr,2007,0
bhr,2008,0
bhr,2009,0
bhr,2010,0
bhr,2011,0
bhr,2012,0
bhr,2013,0
bhr,2014,0
bhr,2015,0
bih,1990,0
bih,1991,0
bih,1992,0
bih,1993,0
bih,1994,0
bih,1995,0
bih,1996,0
bih,1997,0
bih,1998,0
bih,1999,0
bih,2000,0
bih,2001,0
bih,2002,0
bih,2003,0
bih,2004,0
bih,2005,0
bih,2006,0
bih,2007,0
bih,2008,0
bih,2009,0
bih,2010,0
bih,2011,0
bih,2012,0
bih,2013,0
bih,2014,0
bih,2015,0
blr,1990,0
blr,1991,0
blr,1992,0
blr,1993,0
blr,1994,0
blr,1995,0
blr,1996,0
blr,1997,0
blr,1998,0
blr,1999,0
blr,2000,0
blr,2001,0
blr,2002,0
blr,2003,0
blr,2004,1000000
blr,2005,1000000
blr,2006,3000000
blr,2007,15000000
blr,2008,34000000
blr,2009,61000000
blr,2010,85000000
blr,2011,96000000
blr,2012,101000000
blr,2013,128000000
blr,2014,130000000
blr,2015,171000000
bol,1971,8000000
bol,1972,12000000
bol,1973,12000000
bol,1974,12000000
bol,1975,15000000
bol,1976,19000000
bol,1977,19000000
bol,1978,17000000
bol,1979,22000000
bol,1980,32000000
bol,1981,32000000
bol,1982,32000000
bol,1983,29000000
bol,1984,26000000
bol,1985,22000000
bol,1986,24000000
bol,1987,31000000
bol,1988,36000000
bol,1989,33000000
bol,1990,32000000
bol,1991,37000000
bol,1992,41000000
bol,1993,43000000
bol,1994,44000000
bol,1995,45000000
bol,1996,47000000
bol,1997,48000000
bol,1998,50000000
bol,1999,52000000
bol,2000,54000000
bol,2001,54000000
bol,2002,54000000
bol,2003,54000000
bol,2004,54000000
bol,2005,56000000
bol,2006,60000000
bol,2007,72000000
bol,2008,97000000
bol,2009,121000000
bol,2010,119000000
bol,2011,122000000
bol,2012,123000000
bol,2013,60000000
bol,2014,201000000
bol,2015,215000000
bra,1971,618000000
bra,1972,711000000
bra,1973,750000000
bra,1974,785000000
bra,1975,866000000
bra,1976,864000000
bra,1977,1117000000
bra,1978,1332000000
bra,1979,1775000000
bra,1980,1805000000
bra,1981,1873000000
bra,1982,2178000000
bra,1983,2985000000
bra,1984,2852000000
bra,1985,3066000000
bra,1986,3193000000
bra,1987,3565000000
bra,1988,3339000000
bra,1989,3403000000
bra,1990,3859000000
bra,1991,3999000000
bra,1992,4899000000
bra,1993,4954000000
bra,1994,5388000000
bra,1995,5594000000
bra,1996,6754000000
bra,1997,7383000000
bra,1998,7510000000
bra,1999,8368000000
bra,2000,7846000000
bra,2001,9015000000
bra,2002,10280000000
bra,2003,11955000000
bra,2004,12537000000
bra,2005,13684000000
bra,2006,14960000000
bra,2007,18670000000
bra,2008,20654000000
bra,2009,23840000000
bra,2010,33672000000
bra,2011,34939000000
bra,2012,40287000000
bra,2013,46977000000
bra,2014,58221000000
bra,2015,70487000000
brn,1971,0
brn,1972,0
brn,1973,0
brn,1974,0
brn,1975,0
brn,1976,0
brn,1977,0
brn,1978,0
brn,1979,0
brn,1980,0
brn,1981,0
brn,1982,0
brn,1983,0
brn,1984,0
brn,1985,0
brn,1986,0
brn,1987,0
brn,1988,0
brn,1989,0
brn,1990,0
brn,1991,0
brn,1992,0
brn,1993,0
brn,1994,0
brn,1995,0
brn,1996,0
brn,1997,0
brn,1998,0
brn,1999,0
brn,2000,0
brn,2001,0
brn,2002,0
brn,2003,0
brn,2004,0
brn,2005,0
brn,2006,0
brn,2007,0
brn,2008,0
brn,2009,0
brn,2010,0
brn,2011,2000000
brn,2012,2000000
brn,2013,2000000
