global,time,eg_elc_rnwx_zs
world,1971,0.25192
world,1972,0.2471
world,1973,0.26359
world,1974,0.24668
world,1975,0.26937
world,1976,0.27743
world,1977,0.28208
world,1978,0.27438
world,1979,0.3026
world,1980,0.34939
world,1981,0.38065
world,1982,0.48228
world,1983,0.51775
world,1984,0.53607
world,1985,0.56072
world,1986,0.59956
world,1987,0.60434
world,1988,0.60378
world,1989,1.10967
world,1990,1.31201
world,1991,1.0307
world,1992,1.13068
world,1993,1.14561
world,1994,1.17729
world,1995,1.18301
world,1996,1.17941
world,1997,1.22405
world,1998,1.25194
world,1999,1.32522
world,2000,1.40055
world,2001,1.43708
world,2002,1.56039
world,2003,1.65162
world,2004,1.79691
world,2005,1.95753
world,2006,2.12592
world,2007,2.34989
world,2008,2.68069
world,2009,3.1288
world,2010,3.553
world,2011,4.09818
world,2012,4.69546
world,2013,5.41081
world,2014,6.00673
world,2015,6.76561
