geo,time,eg_fec_rnew_zs
abw,1990,0.26875
abw,1991,0.23495
abw,1992,0.23878
abw,1993,0.19513
abw,1994,0.18324
abw,1995,0.17337
abw,1996,0.16747
abw,1997,0.1601
abw,1998,0.15788
abw,1999,0.16093
abw,2000,0.1753
abw,2001,0.1805
abw,2002,0.1814
abw,2003,0.1846
abw,2004,0.1871
abw,2005,0.1866
abw,2006,0.1899
abw,2007,0.19
abw,2008,0.1935
abw,2009,0.2998
abw,2010,5.4647
abw,2011,5.6618
abw,2012,6.8559
abw,2013,6.8897
abw,2014,6.9275
abw,2015,6.728
abw,2016,6.9946
abw,2017,6.6993
abw,2018,8.0241
afg,1990,15.92453
afg,1991,17.03644
afg,1992,26.52163
afg,1993,30.58567
afg,1994,32.79625
afg,1995,35.07564
afg,1996,37.94575
afg,1997,41.4326
afg,1998,44.09434
afg,1999,52.18577
afg,2000,54.2432
afg,2001,54.055
afg,2002,43.7712
afg,2003,42.2761
afg,2004,49.8432
afg,2005,40.8592
afg,2006,37.1373
afg,2007,33.8626
afg,2008,21.3437
afg,2009,17.8504
afg,2010,14.899
afg,2011,11.5591
afg,2012,14.4049
afg,2013,17.105
afg,2014,20.7703
afg,2015,20.2738
afg,2016,24.7403
afg,2017,25.0828
afg,2018,21.4227
ago,1990,72.25525
ago,1991,71.88864
ago,1992,72.72328
ago,1993,71.27706
ago,1994,72.22027
ago,1995,73.94589
ago,1996,73.1396
ago,1997,73.73442
ago,1998,76.81979
ago,1999,73.41078
ago,2000,73.4411
ago,2001,72.3373
ago,2002,70.421
ago,2003,65.1404
ago,2004,61.9157
ago,2005,68.3783
ago,2006,62.1273
ago,2007,58.4916
ago,2008,54.8821
ago,2009,52.4139
ago,2010,50.7648
ago,2011,49.2392
ago,2012,49.4433
ago,2013,47.9385
ago,2014,48.2113
ago,2015,47.8156
ago,2016,49.0081
ago,2017,56.1805
ago,2018,56.7855
alb,1990,25.51809
alb,1991,32.99817
alb,1992,46.81333
alb,1993,51.15204
alb,1994,51.45954
alb,1995,50.60971
alb,1996,51.63636
alb,1997,55.95335
alb,1998,49.98337
alb,1999,42.71831
alb,2000,41.445
alb,2001,39.1253
alb,2002,35.8958
alb,2003,33.7517
alb,2004,35.9347
alb,2005,36.8683
alb,2006,31.7099
alb,2007,32.1004
alb,2008,35.9119
alb,2009,37.2152
alb,2010,37.1137
alb,2011,35.9611
alb,2012,40.0467
alb,2013,41.287
alb,2014,38.6974
alb,2015,38.6256
alb,2016,39.5873
alb,2017,37.2198
alb,2018,38.2664
and,1990,14.27355
and,1991,14.27355
and,1992,14.30875
and,1993,13.91895
and,1994,14.56102
and,1995,14.48105
and,1996,14.10005
and,1997,14.194
and,1998,14.45864
and,1999,14.54989
and,2000,14.5082
and,2001,15.3883
and,2002,15.8298
and,2003,16.5154
and,2004,16.5667
and,2005,16.608
and,2006,17.568
and,2007,16.5563
and,2008,17.0212
and,2009,17.1263
and,2010,18.6709
and,2011,18.5522
and,2012,18.7629
and,2013,19.1413
and,2014,19.4201
and,2015,19.2777
and,2016,19.2558
and,2017,19.0632
and,2018,18.506
are,1990,0
are,1991,0
are,1992,0.18837
are,1993,0.15036
are,1994,0.12015
are,1995,0.1126
are,1996,0.08033
are,1997,0.07636
are,1998,0.07247
are,1999,0.07165
are,2000,0.0764
are,2001,0.0647
are,2002,0.0665
are,2003,0.0663
are,2004,0.1004
are,2005,0.1052
are,2006,0.1174
are,2007,0.1128
are,2008,0.1108
are,2009,0.1077
are,2010,0.1094
are,2011,0.1092
are,2012,0.1018
are,2013,0.1029
are,2014,0.1377
are,2015,0.1264
are,2016,0.123
are,2017,0.1732
