global,time,eg_use_elec_kh_pc
world,1971,1200.15449
world,1972,1273.75435
world,1973,1347.45688
world,1974,1347.20062
world,1975,1356.35421
world,1976,1427.32272
world,1977,1473.25941
world,1978,1525.38957
world,1979,1570.2484
world,1980,1587.30108
world,1981,1596.7195
world,1982,1571.30023
world,1983,1608.58068
world,1984,1680.20777
world,1985,1719.36546
world,1986,1743.53447
world,1987,1803.9581
world,1988,1860.12101
world,1989,1897.46655
world,1990,2127.91107
world,1991,2153.49694
world,1992,2134.30904
world,1993,2140.19312
world,1994,2163.199
world,1995,2200.63325
world,1996,2239.65191
world,1997,2262.40902
world,1998,2284.67069
world,1999,2317.32728
world,2000,2386.82524
world,2001,2380.43741
world,2002,2435.21836
world,2003,2500.61882
world,2004,2578.50105
world,2005,2656.33074
world,2006,2732.64025
world,2007,2822.32712
world,2008,2843.60854
world,2009,2794.20227
world,2010,2958.3432
world,2011,3023.23295
world,2012,3047.75553
world,2013,3106.98173
world,2014,3128.29871
