geo,time,en_atm_co2e_gf_kt
abw,1960,0
abw,1961,0
abw,1962,0
abw,1963,0
abw,1964,0
abw,1965,0
abw,1966,0
abw,1967,0
abw,1968,0
abw,1969,0
abw,1970,0
abw,1971,0
abw,1972,0
abw,1973,0
abw,1974,0
abw,1975,0
abw,1976,0
abw,1977,0
abw,1978,0
abw,1979,0
abw,1980,0
abw,1981,0
abw,1982,0
abw,1983,0
abw,1984,0
abw,1985,0
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
abw,1990,0
abw,1991,0
abw,1992,0
abw,1993,0
abw,1994,0
abw,1995,0
abw,1996,0
abw,1997,0
abw,1998,0
abw,1999,0
abw,2000,0
abw,2001,0
abw,2002,0
abw,2003,0
abw,2004,0
abw,2005,0
abw,2006,0
abw,2007,0
abw,2008,0
abw,2009,0
abw,2010,0
abw,2011,0
abw,2012,0
abw,2013,0
abw,2014,0
abw,2015,0
abw,2016,0
afg,1960,0
afg,1961,0
afg,1962,0
afg,1963,0
afg,1964,0
afg,1965,0
afg,1966,0
afg,1967,260.357
afg,1968,348.365
afg,1969,0
afg,1970,216.353
afg,1971,440.04
afg,1972,300.694
afg,1973,333.697
afg,1974,399.703
afg,1975,476.71
afg,1976,300.694
afg,1977,513.38
afg,1978,300.694
afg,1979,385.035
afg,1980,187.017
afg,1981,304.361
afg,1982,396.036
afg,1983,616.056
afg,1984,931.418
afg,1985,1191.775
afg,1986,1202.776
afg,1987,392.369
afg,1988,440.04
afg,1989,480.377
afg,1990,403.37
afg,1991,388.702
afg,1992,363.033
afg,1993,352.032
afg,1994,337.364
afg,1995,322.696
afg,1996,308.028
afg,1997,282.359
afg,1998,264.024
afg,1999,242.022
afg,2000,223.687
afg,2001,209.019
afg,2002,546.383
afg,2003,465.709
afg,2004,227.354
afg,2005,330.03
afg,2006,330.03
afg,2007,308.028
afg,2008,297.027
afg,2009,271.358
afg,2010,271.358
afg,2011,308.028
afg,2012,308.028
afg,2013,297.027
afg,2014,271.358
afg,2015,282.359
afg,2016,319.029
ago,1960,0
ago,1961,0
ago,1962,0
ago,1963,0
ago,1964,0
ago,1965,0
ago,1966,0
ago,1967,0
ago,1968,0
ago,1969,0
ago,1970,84.341
ago,1971,84.341
ago,1972,110.01
ago,1973,124.678
ago,1974,132.012
ago,1975,124.678
ago,1976,110.01
ago,1977,135.679
ago,1978,135.679
ago,1979,135.679
ago,1980,146.68
ago,1981,172.349
ago,1982,172.349
ago,1983,198.018
ago,1984,220.02
ago,1985,220.02
ago,1986,245.689
ago,1987,297.027
ago,1988,300.694
ago,1989,319.029
ago,1990,1012.092
ago,1991,1085.432
ago,1992,1067.097
ago,1993,1048.762
ago,1994,971.755
ago,1995,1048.762
ago,1996,1048.762
ago,1997,1067.097
ago,1998,1085.432
ago,1999,1048.762
ago,2000,1085.432
ago,2001,990.09
ago,2002,1158.772
ago,2003,1217.444
ago,2004,1441.131
ago,2005,1250.447
ago,2006,1305.452
ago,2007,1595.145
ago,2008,1272.449
ago,2009,1290.784
ago,2010,1371.458
ago,2011,1404.461
ago,2012,1422.796
ago,2013,766.403
