geo,time,en_atm_co2e_pc
afg,1990,0.23847
afg,1991,0.20603
afg,1992,0.09872
afg,1993,0.08599
afg,1994,0.07613
afg,1995,0.06902
afg,1996,0.06259
afg,1997,0.05683
afg,1998,0.0532
afg,1999,0.04065
afg,2000,0.03705
afg,2001,0.03749
afg,2002,0.04867
afg,2003,0.05701
afg,2004,0.0457
afg,2005,0.06393
afg,2006,0.07339
afg,2007,0.08708
afg,2008,0.15836
afg,2009,0.21131
afg,2010,0.29707
afg,2011,0.40707
afg,2012,0.33535
afg,2013,0.26372
afg,2014,0.23404
afg,2015,0.23218
afg,2016,0.20886
afg,2017,0.20333
afg,2018,0.20015
ago,1990,0.53425
ago,1991,0.53311
ago,1992,0.50326
ago,1993,0.52772
ago,1994,0.49542
ago,1995,0.77303
ago,1996,0.79232
ago,1997,0.78875
ago,1998,0.74025
ago,1999,0.79726
ago,2000,0.75448
ago,2001,0.76184
ago,2002,0.77742
ago,2003,0.99385
ago,2004,1.02835
ago,2005,0.93704
ago,2006,1.00943
ago,2007,1.12364
ago,2008,1.15599
ago,2009,1.2059
ago,2010,1.22151
ago,2011,1.21632
ago,2012,1.2048
ago,2013,1.26154
ago,2014,1.28536
ago,2015,1.26092
ago,2016,1.2277
ago,2017,1.03432
ago,2018,0.88738
alb,1990,1.84084
alb,1991,1.25812
alb,1992,0.68986
alb,1993,0.64141
alb,1994,0.66718
alb,1995,0.61171
alb,1996,0.62184
alb,1997,0.4701
alb,1998,0.57535
alb,1999,0.95536
alb,2000,1.02621
alb,2001,1.05223
alb,2002,1.2291
alb,2003,1.35214
alb,2004,1.41727
alb,2005,1.35149
alb,2006,1.35336
alb,2007,1.42087
alb,2008,1.41485
alb,2009,1.47565
alb,2010,1.57225
alb,2011,1.73482
alb,2012,1.57909
alb,2013,1.65452
alb,2014,1.80679
alb,2015,1.75999
alb,2016,1.71413
alb,2017,1.94887
alb,2018,1.93973
and,1990,7.52183
and,1991,7.23538
and,1992,6.96308
and,1993,6.72418
and,1994,6.54158
and,1995,6.73348
and,1996,6.99159
and,1997,7.30744
and,1998,7.63954
and,1999,7.92319
and,2000,7.95229
and,2001,7.72155
and,2002,7.56624
and,2003,7.24242
and,2004,7.34426
and,2005,7.35378
and,2006,6.79054
and,2007,6.53105
and,2008,6.4393
and,2009,6.15669
and,2010,6.1572
and,2011,5.85089
and,2012,5.94465
and,2013,5.9428
and,2014,5.80713
and,2015,6.02618
and,2016,6.0806
and,2017,6.10413
and,2018,5.97341
are,1990,30.2991
are,1991,31.74752
are,1992,29.0517
are,1993,28.59924
are,1994,29.76407
are,1995,30.07744
are,1996,29.85679
are,1997,30.49008
are,1998,29.80577
are,1999,28.995
are,2000,26.97454
are,2001,29.14566
are,2002,28.20538
are,2003,27.89114
are,2004,27.03156
are,2005,25.34315
are,2006,22.91624
are,2007,21.34759
are,2008,22.03263
are,2009,19.85256
are,2010,19.04328
are,2011,18.58993
are,2012,19.22312
are,2013,20.01542
are,2014,19.95185
are,2015,20.94809
are,2016,21.30761
are,2017,21.95061
are,2018,20.7975
arg,1990,3.06083
arg,1991,3.18389
arg,1992,3.20168
arg,1993,3.26846
arg,1994,3.30817
arg,1995,3.26776
arg,1996,3.59072
arg,1997,3.57064
arg,1998,3.69266
arg,1999,3.67974
arg,2000,3.57763
arg,2001,3.34991
arg,2002,3.11742
arg,2003,3.3701
arg,2004,3.68518
arg,2005,3.76212
arg,2006,3.95445
arg,2007,4.12329
arg,2008,4.19534
arg,2009,3.88906
arg,2010,4.12225
arg,2011,4.29602
arg,2012,4.27788
arg,2013,4.35989
arg,2014,4.21636
arg,2015,4.31443
arg,2016,4.22754
arg,2017,4.08947
arg,2018,3.98723
arm,1990,5.61025
arm,1991,5.90258
arm,1992,3.1631
arm,1993,1.49861
arm,1994,0.83443
arm,1995,1.09096
arm,1996,0.81118
arm,1997,1.06604
arm,1998,1.11623
arm,1999,1.00679
arm,2000,1.15976
arm,2001,1.18006
arm,2002,1.02835
arm,2003,1.15973
arm,2004,1.25303
arm,2005,1.49601
arm,2006,1.51776
arm,2007,1.77316
arm,2008,1.95693
arm,2009,1.56158
arm,2010,1.50835
arm,2011,1.71734
arm,2012,1.98319
arm,2013,1.89813
arm,2014,1.88161
arm,2015,1.82529
arm,2016,1.72675
arm,2017,1.80658
arm,2018,1.88025
atg,1990,3.35823
atg,1991,3.47206
atg,1992,4.49898
atg,1993,3.80072
atg,1994,3.72018
atg,1995,3.93173
atg,1996,3.98997
atg,1997,4.18369
atg,1998,4.50703
atg,1999,4.41921
atg,2000,4.34171
atg,2001,4.53297
atg,2002,4.98097
atg,2003,5.16952
atg,2004,4.97841
atg,2005,5.03302
atg,2006,5.31947
atg,2007,5.4743
atg,2008,5.621
atg,2009,16.02435
atg,2010,5.56628
atg,2011,5.71429
atg,2012,7.96399
atg,2013,5.13605
atg,2014,5.18571
atg,2015,5.23667
atg,2016,5.28989
atg,2017,5.23972
atg,2018,5.50466
aus,1990,15.44673
aus,1991,15.31532
aus,1992,15.33924
aus,1993,15.41631
aus,1994,15.60739
aus,1995,15.99214
aus,1996,16.3612
aus,1997,16.56694
aus,1998,17.51162
aus,1999,17.59696
aus,2000,17.68966
aus,2001,17.76954
aus,2002,17.9575
aus,2003,17.69203
aus,2004,18.1479
aus,2005,18.11785
aus,2006,18.12068
aus,2007,18.50285
aus,2008,18.28304
aus,2009,18.20742
aus,2010,17.58144
aus,2011,17.26811
aus,2012,16.96926
aus,2013,16.39865
aus,2014,15.75588
aus,2015,15.78645
aus,2016,15.87208
aus,2017,15.73865
aus,2018,15.47552
aut,1990,7.58936
aut,1991,8.04911
aut,1992,7.3552
aut,1993,7.31124
aut,1994,7.3449
aut,1995,7.69726
aut,1996,8.15427
aut,1997,8.0597
aut,1998,8.10727
aut,1999,7.88882
aut,2000,7.92979
aut,2001,8.44411
aut,2002,8.58332
aut,2003,9.16834
aut,2004,9.27561
aut,2005,9.26611
aut,2006,8.96157
aut,2007,8.5878
aut,2008,8.49967
aut,2009,7.72114
aut,2010,8.36502
aut,2011,8.13547
aut,2012,7.72361
aut,2013,7.7537
aut,2014,7.25338
aut,2015,7.30675
aut,2016,7.25563
aut,2017,7.48275
aut,2018,7.14664
aze,1990,8.0165
aze,1991,9.21843
aze,1992,6.04439
aze,1993,7.14095
aze,1994,6.26337
aze,1995,5.95587
aze,1996,5.2016
aze,1997,5.03556
aze,1998,4.97788
aze,1999,4.85798
aze,2000,4.97105
aze,2001,4.77365
aze,2002,4.66596
aze,2003,4.17046
aze,2004,4.10401
aze,2005,4.36733
aze,2006,4.02732
aze,2007,3.20581
aze,2008,3.3754
aze,2009,2.8098
aze,2010,2.66723
aze,2011,3.11346
aze,2012,3.30903
aze,2013,3.3334
aze,2014,3.4221
aze,2015,3.33391
aze,2016,3.34706
aze,2017,3.24436
aze,2018,3.2214
bdi,1990,0.03493
bdi,1991,0.04133
bdi,1992,0.03518
bdi,1993,0.03622
bdi,1994,0.0356
bdi,1995,0.03675
bdi,1996,0.0363
bdi,1997,0.03757
bdi,1998,0.03718
bdi,1999,0.0367
bdi,2000,0.04076
bdi,2001,0.03218
bdi,2002,0.03282
bdi,2003,0.02461
bdi,2004,0.02244
bdi,2005,0.02172
bdi,2006,0.02497
bdi,2007,0.02417
bdi,2008,0.02461
bdi,2009,0.02382
bdi,2010,0.03689
bdi,2011,0.0413
bdi,2012,0.04218
bdi,2013,0.04298
bdi,2014,0.03962
bdi,2015,0.04035
bdi,2016,0.04386
bdi,2017,0.05265
bdi,2018,0.05279
bel,1990,10.96677
bel,1991,11.39089
bel,1992,11.1825
bel,1993,10.91876
bel,1994,11.35869
bel,1995,11.30237
bel,1996,11.76078
bel,1997,11.45636
bel,1998,11.70341
bel,1999,11.29525
bel,2000,11.44056
bel,2001,11.50432
bel,2002,10.72799
bel,2003,11.13131
bel,2004,10.94122
bel,2005,10.55578
bel,2006,10.30057
bel,2007,9.84312
bel,2008,9.98415
bel,2009,9.2317
bel,2010,9.77185
bel,2011,8.65806
bel,2012,8.54962
bel,2013,8.65727
bel,2014,8.0435
bel,2015,8.44406
bel,2016,8.32376
bel,2017,8.15549
bel,2018,8.17971
ben,1990,0.07633
ben,1991,0.06408
ben,1992,0.06752
ben,1993,0.07606
ben,1994,0.07
ben,1995,0.07789
ben,1996,0.17229
ben,1997,0.1974
ben,1998,0.20092
ben,1999,0.21308
ben,2000,0.22284
ben,2001,0.26001
ben,2002,0.29059
ben,2003,0.31647
ben,2004,0.32645
ben,2005,0.34827
ben,2006,0.46611
ben,2007,0.51923
ben,2008,0.50018
ben,2009,0.52545
ben,2010,0.55222
ben,2011,0.52638
ben,2012,0.48719
ben,2013,0.50177
