geo,time,en_atm_meth_ag_zs
abw,1970,7.81421
abw,1971,7.66007
abw,1972,7.51351
abw,1973,7.37639
abw,1974,7.25186
abw,1975,7.13687
abw,1976,6.95856
abw,1977,6.86025
abw,1978,6.5451
abw,1979,6.41305
abw,1980,6.31702
abw,1981,6.18934
abw,1982,6.0743
abw,1983,5.99238
abw,1984,5.86655
abw,1985,5.73265
abw,1986,5.7825
abw,1987,5.59874
abw,1988,5.50323
abw,1989,5.37461
afg,1970,77.07323
afg,1971,76.64942
afg,1972,72.75751
afg,1973,74.01685
afg,1974,73.86948
afg,1975,74.79648
afg,1976,75.49685
afg,1977,74.42067
afg,1978,74.36701
afg,1979,74.11124
afg,1980,71.80097
afg,1981,71.74905
afg,1982,71.41616
afg,1983,69.56228
afg,1984,65.94172
afg,1985,63.81922
afg,1986,59.26648
afg,1987,63.60144
afg,1988,63.81289
afg,1989,66.47514
afg,1990,59.75474
afg,1991,61.85226
afg,1992,63.07008
afg,1993,64.34196
afg,1994,66.18304
afg,1995,68.38074
afg,1996,70.89627
afg,1997,72.73585
afg,1998,74.05405
afg,1999,75.73715
afg,2000,72.80453
afg,2001,68.58974
afg,2002,73.19035
afg,2003,73.43206
afg,2004,72.77487
afg,2005,72.83633
afg,2006,58.09268
afg,2007,48.61878
afg,2008,44.20388
ago,1970,71.9068
ago,1971,55.19772
ago,1972,57.09618
ago,1973,58.70903
ago,1974,53.72682
ago,1975,59.87467
ago,1976,57.20339
ago,1977,59.41951
ago,1978,60.58952
ago,1979,68.30273
ago,1980,62.74781
ago,1981,58.75897
ago,1982,62.46237
ago,1983,61.48398
ago,1984,52.21649
ago,1985,52.56284
ago,1986,50.83056
ago,1987,60.78612
ago,1988,47.3252
ago,1989,51.40561
ago,1990,72.97428
ago,1991,71.75464
ago,1992,70.56358
ago,1993,69.2237
ago,1994,68.07935
ago,1995,66.82992
ago,1996,64.04494
ago,1997,63.15789
ago,1998,64.76438
ago,1999,62.47201
ago,2000,62.56522
ago,2001,60.56106
ago,2002,59.87796
ago,2003,60.8265
ago,2004,58.92267
ago,2005,56.95918
ago,2006,52.69403
ago,2007,52.03808
ago,2008,48.79977
alb,1970,55.97464
alb,1971,55.21655
alb,1972,53.55665
alb,1973,53.55947
alb,1974,54.30299
alb,1975,53.70927
alb,1976,54.66718
alb,1977,54.99007
alb,1978,55.27375
alb,1979,55.78043
alb,1980,56.41108
alb,1981,57.25735
alb,1982,57.4976
alb,1983,57.03225
alb,1984,56.44378
alb,1985,55.14216
alb,1986,56.24878
alb,1987,58.3461
alb,1988,59.19757
alb,1989,60.15937
alb,1990,60.10929
alb,1991,61.94444
alb,1992,63.42857
alb,1993,66.29213
alb,1994,73.12349
alb,1995,75
alb,1996,73.67089
alb,1997,72.26667
alb,1998,70.99448
alb,1999,71.54472
alb,2000,71.46667
alb,2001,71.00271
alb,2002,70.05495
alb,2003,70.1087
alb,2004,69.35933
alb,2005,68.99441
alb,2006,68.55524
alb,2007,67.64706
alb,2008,66.25387
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
are,1970,1.21989
are,1971,1.0162
are,1972,0.92817
are,1973,0.8007
are,1974,0.72626
are,1975,0.6093
are,1976,0.3261
are,1977,0.42295
are,1978,0.45071
are,1979,0.65456
are,1980,0.74609
are,1981,0.98216
are,1982,1.1577
are,1983,1.3054
are,1984,1.13787
are,1985,1.25981
are,1986,1.55088
are,1987,1.73205
are,1988,1.9649
are,1989,1.8803
are,1990,2.65184
are,1991,2.74542
are,1992,2.83401
are,1993,2.99685
are,1994,3.14417
are,1995,2.90737
are,1996,2.83988
are,1997,2.73224
are,1998,2.64207
are,1999,2.61109
are,2000,2.54453
are,2001,2.48351
are,2002,2.39542
are,2003,2.35411
are,2004,2.1961
are,2005,2.34172
are,2006,2.40181
are,2007,2.48619
are,2008,2.56687
arg,1970,82.53948
arg,1971,84.25903
arg,1972,84.23633
arg,1973,85.35771
arg,1974,84.40681
arg,1975,84.32267
arg,1976,83.617
arg,1977,84.96823
arg,1978,83.1144
arg,1979,82.31711
arg,1980,81.55548
arg,1981,81.76058
arg,1982,80.72015
arg,1983,80.17653
arg,1984,80.28235
arg,1985,79.59211
arg,1986,78.46873
arg,1987,76.91359
arg,1988,76.96857
arg,1989,76.78204
arg,1990,80
arg,1991,79.16903
arg,1992,78.74756
arg,1993,77.85153
arg,1994,77.37711
arg,1995,76.47924
arg,1996,75.14451
arg,1997,74.22834
arg,1998,72.94563
arg,1999,72.87528
arg,2000,72.34914
arg,2001,72.03947
arg,2002,72.66276
arg,2003,73.95755
arg,2004,74.04086
arg,2005,73.89538
arg,2006,74.24242
arg,2007,74.28363
arg,2008,73.94464
arm,1970,73.61899
arm,1971,73.45842
arm,1972,72.75043
arm,1973,71.88064
arm,1974,71.35427
arm,1975,71.17247
arm,1976,71.0905
arm,1977,71.7035
arm,1978,73.42678
arm,1979,74.97868
arm,1980,76.42723
arm,1981,77.26777
arm,1982,77.84686
arm,1983,77.83264
arm,1984,77.76672
arm,1985,77.67456
arm,1986,77.22801
arm,1987,77.39003
arm,1988,50.0946
arm,1989,47.23161
arm,1990,22.56267
arm,1991,23.39181
arm,1992,22.39748
arm,1993,21.42857
arm,1994,22.38267
arm,1995,23.37165
arm,1996,24.79675
arm,1997,26.52174
arm,1998,26.66667
arm,1999,28.71795
arm,2000,31.14754
arm,2001,31.38298
arm,2002,31.60622
arm,2003,32.32323
arm,2004,32.84314
arm,2005,32.36715
arm,2006,32.09302
arm,2007,32.14286
arm,2008,31.60173
asm,1970,47.38844
asm,1971,46.39361
asm,1972,45.63697
asm,1973,45.07248
asm,1974,44.50631
asm,1975,43.98328
asm,1976,43.54928
asm,1977,43.73352
asm,1978,43.071
asm,1979,42.31432
asm,1980,41.90651
asm,1981,41.8619
asm,1982,42.31321
asm,1983,42.62347
asm,1984,42.77831
asm,1985,42.40482
asm,1986,41.75779
asm,1987,41.2656
asm,1988,40.5866
asm,1989,40.13422
atg,1970,51.90761
atg,1971,51.25905
atg,1972,51.40965
atg,1973,49.98851
atg,1974,50.33253
atg,1975,50.23436
atg,1976,51.17686
atg,1977,49.3468
atg,1978,55.80258
atg,1979,61.52256
atg,1980,64.127
atg,1981,64.35279
atg,1982,63.5808
atg,1983,65.80496
atg,1984,65.78342
atg,1985,70.30588
atg,1986,70.58088
atg,1987,70.1962
atg,1988,69.65342
atg,1989,67.12481
atg,1990,23.07692
atg,1991,23.07692
atg,1992,21.42857
atg,1993,21.42857
atg,1994,20
atg,1995,20
atg,1996,18.75
atg,1997,18.75
atg,1998,17.64706
atg,1999,17.64706
atg,2000,16.66667
atg,2001,16.66667
atg,2002,16.66667
atg,2003,15.78947
atg,2004,15.78947
atg,2005,15.78947
atg,2006,15
atg,2007,15
atg,2008,15
aus,1970,75.35098
aus,1971,75.96743
aus,1972,73.77147
aus,1973,72.79222
aus,1974,73.64035
aus,1975,76.08441
aus,1976,75.74539
aus,1977,73.61694
aus,1978,72.50029
aus,1979,71.37537
aus,1980,70.36638
aus,1981,67.93709
aus,1982,67.58284
aus,1983,65.11796
aus,1984,64.72607
aus,1985,67.1202
aus,1986,65.76871
aus,1987,63.75022
aus,1988,64.83996
aus,1989,64.60657
aus,1990,66.23302
aus,1991,65.77207
aus,1992,64.54212
aus,1993,64.75005
aus,1994,66.37462
aus,1995,65.35961
aus,1996,64.30934
aus,1997,63.15096
aus,1998,64.20995
aus,1999,69.01928
aus,2000,70.11871
aus,2001,71.77984
aus,2002,71.16708
aus,2003,63.32311
aus,2004,68.29268
aus,2005,62.89596
aus,2006,67.06567
aus,2007,65.11082
aus,2008,60.27387
aut,1970,52.23143
aut,1971,53.61234
aut,1972,53.39494
aut,1973,52.90146
aut,1974,53.50957
aut,1975,53.49092
aut,1976,52.8418
aut,1977,52.76808
aut,1978,53.06089
aut,1979,53.12509
aut,1980,52.24483
aut,1981,51.34825
aut,1982,51.45589
aut,1983,51.53232
aut,1984,51.63487
aut,1985,51.26514
aut,1986,51.0782
aut,1987,50.9343
aut,1988,48.91053
aut,1989,48.77821
aut,1990,56.78479
aut,1991,56.99392
aut,1992,56.80212
aut,1993,56.32393
aut,1994,57.39868
aut,1995,56.81818
aut,1996,58.03842
aut,1997,58.91554
aut,1998,59.18367
aut,1999,59.86914
aut,2000,60.29083
aut,2001,60.79545
aut,2002,60.75949
aut,2003,60.14068
aut,2004,59.71564
aut,2005,60.99635
aut,2006,61.41439
aut,2007,62.43655
aut,2008,63.67137
aze,1970,55.1172
aze,1971,55.59897
aze,1972,54.99308
aze,1973,53.80368
aze,1974,52.70321
aze,1975,51.68871
aze,1976,50.00396
aze,1977,48.51722
aze,1978,47.5224
aze,1979,46.35736
aze,1980,45.28903
aze,1981,44.03127
aze,1982,42.91236
aze,1983,41.83988
aze,1984,41.15974
aze,1985,40.02809
aze,1986,39.00313
aze,1987,38.25348
aze,1988,37.18695
aze,1989,37.22901
aze,1990,19.40207
aze,1991,19.69697
aze,1992,17.86918
aze,1993,17.71709
aze,1994,17.24638
aze,1995,17.77778
aze,1996,17.2486
aze,1997,17.15976
aze,1998,16.91542
aze,1999,16.70602
aze,2000,16.42295
aze,2001,16.04167
aze,2002,15.41829
aze,2003,15.07286
aze,2004,14.62264
aze,2005,14.18727
aze,2006,12.15047
aze,2007,10.5293
aze,2008,9.375
bdi,1970,41.14317
bdi,1971,41.47436
bdi,1972,42.44487
bdi,1973,43.61734
bdi,1974,43.67514
bdi,1975,44.03798
bdi,1976,43.71585
bdi,1977,43.73005
bdi,1978,43.09567
bdi,1979,43.0837
bdi,1980,37.12237
bdi,1981,31.68165
bdi,1982,31.00226
bdi,1983,30.57766
bdi,1984,30.79122
bdi,1985,28.51309
bdi,1986,31.75487
bdi,1987,30.31618
bdi,1988,30.03277
bdi,1989,29.46335
bdi,1990,38.46154
bdi,1991,38.125
bdi,1992,36.9697
bdi,1993,35.32934
bdi,1994,32.72727
bdi,1995,32.35294
bdi,1996,32.33533
bdi,1997,33.53293
bdi,1998,31.44654
bdi,1999,33.55705
bdi,2000,36.42857
bdi,2001,38.68613
bdi,2002,38.63636
bdi,2003,40.76923
bdi,2004,43.41085
bdi,2005,46.09375
bdi,2006,47.76119
bdi,2007,49.27536
bdi,2008,51.38889
bel,1970,37.51703
bel,1971,39.1916
bel,1972,39.02119
bel,1973,39.5318
bel,1974,40.82071
bel,1975,41.33362
bel,1976,40.84205
bel,1977,40.83939
bel,1978,41.87618
bel,1979,42.42111
bel,1980,42.65138
bel,1981,43.02441
bel,1982,42.96421
bel,1983,44.1774
bel,1984,44.33406
bel,1985,44.11507
bel,1986,45.38909
bel,1987,47.63092
bel,1988,50.61636
bel,1989,51.26702
bel,1990,58.80574
bel,1991,58.85886
bel,1992,58.6758
bel,1993,59.15058
bel,1994,58.78274
bel,1995,59.11518
bel,1996,59.39908
bel,1997,59.07668
bel,1998,59.53711
bel,1999,61.90476
bel,2000,61.88119
bel,2001,63.87931
bel,2002,64.31798
bel,2003,65.48077
bel,2004,65.14119
bel,2005,65.9
bel,2006,66.02434
bel,2007,66.80498
bel,2008,67.83069
ben,1970,33.80207
ben,1971,34.17494
ben,1972,35.07825
ben,1973,35.73468
ben,1974,36.46271
ben,1975,37.11601
ben,1976,37.08866
ben,1977,36.27657
ben,1978,37.48401
ben,1979,37.09429
ben,1980,36.68196
ben,1981,38.04545
ben,1982,37.31701
ben,1983,38.46041
ben,1984,38.77525
ben,1985,39.70502
ben,1986,37.21548
ben,1987,36.76681
ben,1988,37.22452
ben,1989,36.3444
ben,1990,64.81481
ben,1991,65.35714
ben,1992,65.03497
ben,1993,64.35986
ben,1994,65.47231
ben,1995,62.67123
ben,1996,66.97248
ben,1997,68.15476
ben,1998,69.71429
ben,1999,68.73156
ben,2000,71.46739
ben,2001,66.26506
ben,2002,67.21763
ben,2003,65.09695
ben,2004,63.18681
ben,2005,65.27094
ben,2006,62.18905
ben,2007,61.19048
ben,2008,58.57143
bfa,1970,69.18267
bfa,1971,68.51898
bfa,1972,66.70292
bfa,1973,65.45685
bfa,1974,63.47759
bfa,1975,64.12595
bfa,1976,64.95724
bfa,1977,65.89111
bfa,1978,65.07357
bfa,1979,66.35331
bfa,1980,67.89251
bfa,1981,66.91665
bfa,1982,68.23264
bfa,1983,67.55944
bfa,1984,67.43881
