geo,time,en_atm_meth_eg_kt_ce
afg,1990,2510
afg,1991,2290
afg,1992,2060
afg,1993,1840
afg,1994,1620
afg,1995,1400
afg,1996,1340
afg,1997,1290
afg,1998,1230
afg,1999,1180
afg,2000,1120
afg,2001,1100
afg,2002,1070
afg,2003,1050
afg,2004,1020
afg,2005,1000
afg,2006,4000
afg,2007,7000
afg,2008,9990
afg,2009,12990
afg,2010,15990
afg,2011,25360
afg,2012,34720
afg,2013,44090
afg,2014,53450
afg,2015,62820
afg,2016,64510
afg,2017,66210
afg,2018,67910
ago,1990,5140
ago,1991,5500
ago,1992,5870
ago,1993,6230
ago,1994,6590
ago,1995,6950
ago,1996,7160
ago,1997,7380
ago,1998,7590
ago,1999,7810
ago,2000,8020
ago,2001,8910
ago,2002,9810
ago,2003,10700
ago,2004,11590
ago,2005,12480
ago,2006,13820
ago,2007,15150
ago,2008,16490
ago,2009,17820
ago,2010,19160
ago,2011,18970
ago,2012,18790
ago,2013,18600
ago,2014,18420
ago,2015,18230
ago,2016,17980
ago,2017,17720
ago,2018,17460
alb,1990,600
alb,1991,510
alb,1992,420
alb,1993,330
alb,1994,240
alb,1995,160
alb,1996,160
alb,1997,160
alb,1998,150
alb,1999,150
alb,2000,150
alb,2001,160
alb,2002,170
alb,2003,170
alb,2004,180
alb,2005,190
alb,2006,180
alb,2007,180
alb,2008,170
alb,2009,170
alb,2010,160
alb,2011,170
alb,2012,180
alb,2013,200
alb,2014,210
alb,2015,220
alb,2016,220
alb,2017,220
alb,2018,220
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
are,1990,9270
are,1991,9430
are,1992,9590
are,1993,9740
are,1994,9900
are,1995,11570
are,1996,13240
are,1997,14910
are,1998,16590
are,1999,18260
are,2000,19930
are,2001,21000
are,2002,22070
are,2003,23140
are,2004,24210
are,2005,25280
are,2006,25190
are,2007,25100
are,2008,25010
are,2009,24920
are,2010,24830
are,2011,26020
are,2012,27220
are,2013,28410
are,2014,29600
are,2015,30800
are,2016,31050
are,2017,31300
are,2018,31550
arg,1990,10870
arg,1991,11490
arg,1992,12100
arg,1993,12710
arg,1994,13320
arg,1995,13870
arg,1996,14420
arg,1997,14960
arg,1998,14910
arg,1999,14860
arg,2000,14810
arg,2001,14780
arg,2002,14740
arg,2003,14700
arg,2004,14670
arg,2005,14630
arg,2006,14500
arg,2007,14360
arg,2008,14220
arg,2009,14080
arg,2010,13950
arg,2011,13710
arg,2012,13470
arg,2013,13230
arg,2014,13000
arg,2015,12760
arg,2016,12660
arg,2017,12570
arg,2018,12480
arm,1990,2050
arm,1991,1910
arm,1992,1760
arm,1993,1620
arm,1994,1470
arm,1995,1330
arm,1996,1180
arm,1997,1040
arm,1998,890
arm,1999,750
arm,2000,610
arm,2001,630
arm,2002,650
arm,2003,680
arm,2004,700
arm,2005,720
arm,2006,770
arm,2007,830
arm,2008,890
arm,2009,950
arm,2010,1010
arm,2011,1030
arm,2012,1040
arm,2013,1060
arm,2014,1070
arm,2015,1090
arm,2016,1080
arm,2017,1070
arm,2018,1060
atg,1990,0
atg,1991,0
atg,1992,0
atg,1993,0
atg,1994,0
atg,1995,0
atg,1996,0
atg,1997,0
atg,1998,0
atg,1999,0
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0
atg,2012,0
atg,2013,0
atg,2014,0
atg,2015,0
atg,2016,0
atg,2017,0
atg,2018,0
aus,1990,32960
aus,1991,33630
aus,1992,35580
aus,1993,34250
aus,1994,32080
aus,1995,33150
aus,1996,33780
aus,1997,36460
aus,1998,36450
aus,1999,32750
aus,2000,34760
aus,2001,34050
aus,2002,32560
aus,2003,32060
aus,2004,32770
aus,2005,33780
aus,2006,34900
aus,2007,36400
aus,2008,36490
aus,2009,36260
aus,2010,36200
aus,2011,35600
aus,2012,35740
aus,2013,35320
aus,2014,33710
aus,2015,37170
aus,2016,38600
aus,2017,38890
aus,2018,39180
aut,1990,1180
aut,1991,1070
aut,1992,1050
aut,1993,990
aut,1994,820
aut,1995,850
aut,1996,820
aut,1997,760
aut,1998,750
aut,1999,750
aut,2000,740
aut,2001,760
aut,2002,730
aut,2003,720
aut,2004,680
aut,2005,640
aut,2006,650
aut,2007,630
aut,2008,620
aut,2009,620
aut,2010,660
aut,2011,630
aut,2012,660
aut,2013,670
aut,2014,600
aut,2015,620
aut,2016,620
aut,2017,610
aut,2018,600
aze,1990,11180
aze,1991,10780
aze,1992,10380
aze,1993,9980
aze,1994,9610
aze,1995,9240
aze,1996,9950
aze,1997,10670
aze,1998,11380
aze,1999,12100
aze,2000,12810
aze,2001,14040
aze,2002,15260
aze,2003,16490
aze,2004,17720
aze,2005,18940
aze,2006,24060
aze,2007,29190
aze,2008,34310
aze,2009,39430
aze,2010,44550
aze,2011,43270
aze,2012,41980
aze,2013,40700
aze,2014,39420
aze,2015,38140
aze,2016,37480
aze,2017,36830
aze,2018,36170
bdi,1990,950
bdi,1991,990
bdi,1992,1030
bdi,1993,1070
bdi,1994,1110
bdi,1995,1140
bdi,1996,1120
bdi,1997,1110
bdi,1998,1090
bdi,1999,980
bdi,2000,880
bdi,2001,840
bdi,2002,800
bdi,2003,760
bdi,2004,720
bdi,2005,680
bdi,2006,680
bdi,2007,690
bdi,2008,690
bdi,2009,700
bdi,2010,700
bdi,2011,670
bdi,2012,630
bdi,2013,600
bdi,2014,560
bdi,2015,530
bdi,2016,530
bdi,2017,540
bdi,2018,540
bel,1990,1550
bel,1991,1430
bel,1992,1270
bel,1993,1310
bel,1994,1150
bel,1995,1160
bel,1996,1160
bel,1997,1090
bel,1998,1050
bel,1999,1040
bel,2000,1020
bel,2001,1020
bel,2002,970
bel,2003,970
bel,2004,970
bel,2005,980
bel,2006,990
bel,2007,990
bel,2008,1030
bel,2009,1060
bel,2010,1180
bel,2011,1050
bel,2012,1050
bel,2013,1090
bel,2014,990
bel,2015,1060
bel,2016,1070
bel,2017,1070
bel,2018,1070
ben,1990,760
ben,1991,780
ben,1992,800
ben,1993,820
ben,1994,840
ben,1995,870
ben,1996,890
ben,1997,910
ben,1998,920
ben,1999,940
ben,2000,960
ben,2001,1030
ben,2002,1100
ben,2003,1170
ben,2004,1240
ben,2005,1310
ben,2006,1410
ben,2007,1520
ben,2008,1630
ben,2009,1740
ben,2010,1850
ben,2011,1920
ben,2012,2000
ben,2013,2080
ben,2014,2160
ben,2015,2240
ben,2016,2270
ben,2017,2300
ben,2018,2330
bfa,1990,690
bfa,1991,710
bfa,1992,730
bfa,1993,750
bfa,1994,760
bfa,1995,780
bfa,1996,730
bfa,1997,680
bfa,1998,630
bfa,1999,580
bfa,2000,540
bfa,2001,590
bfa,2002,650
bfa,2003,700
bfa,2004,760
bfa,2005,810
bfa,2006,850
bfa,2007,880
bfa,2008,910
bfa,2009,950
bfa,2010,980
bfa,2011,1000
bfa,2012,1020
bfa,2013,1030
bfa,2014,1050
bfa,2015,1070
bfa,2016,1080
bfa,2017,1080
bfa,2018,1090
bgd,1990,1970
bgd,1991,1980
bgd,1992,1980
bgd,1993,1990
bgd,1994,1990
bgd,1995,2060
bgd,1996,2130
bgd,1997,2200
bgd,1998,2270
bgd,1999,2340
bgd,2000,2400
bgd,2001,2480
bgd,2002,2530
bgd,2003,2580
bgd,2004,2630
bgd,2005,2680
bgd,2006,2760
bgd,2007,2830
bgd,2008,2910
bgd,2009,2990
bgd,2010,3070
bgd,2011,3130
bgd,2012,3190
bgd,2013,3250
bgd,2014,3320
bgd,2015,3380
bgd,2016,3350
bgd,2017,3320
bgd,2018,3290
bgr,1990,2690
bgr,1991,2270
bgr,1992,2480
bgr,1993,2480
bgr,1994,2290
bgr,1995,2360
bgr,1996,2350
bgr,1997,2090
bgr,1998,1880
bgr,1999,1560
bgr,2000,1660
bgr,2001,1550
bgr,2002,1600
bgr,2003,1720
bgr,2004,1310
bgr,2005,1360
bgr,2006,1260
bgr,2007,1400
bgr,2008,1420
bgr,2009,1350
bgr,2010,1450
bgr,2011,1730
bgr,2012,1600
bgr,2013,1420
bgr,2014,1420
bgr,2015,1500
bgr,2016,1360
bgr,2017,1350
bgr,2018,1340
bhr,1990,630
bhr,1991,640
bhr,1992,650
bhr,1993,660
bhr,1994,660
bhr,1995,810
bhr,1996,960
bhr,1997,1110
bhr,1998,1250
bhr,1999,1400
bhr,2000,1550
bhr,2001,1590
bhr,2002,1630
bhr,2003,1670
bhr,2004,1720
bhr,2005,1760
bhr,2006,1810
bhr,2007,1860
bhr,2008,1910
bhr,2009,1960
bhr,2010,2010
bhr,2011,2120
bhr,2012,2230
bhr,2013,2340
bhr,2014,2450
bhr,2015,2560
bhr,2016,2550
bhr,2017,2530
bhr,2018,2520
bhs,1990,10
bhs,1991,10
bhs,1992,20
bhs,1993,20
bhs,1994,20
bhs,1995,20
bhs,1996,20
bhs,1997,10
bhs,1998,10
bhs,1999,10
bhs,2000,10
bhs,2001,10
bhs,2002,20
bhs,2003,20
bhs,2004,20
bhs,2005,20
bhs,2006,20
bhs,2007,20
bhs,2008,20
bhs,2009,20
bhs,2010,20
bhs,2011,20
bhs,2012,20
bhs,2013,20
bhs,2014,20
bhs,2015,20
bhs,2016,20
bhs,2017,20
bhs,2018,20
bih,1990,1940
bih,1991,1900
bih,1992,570
bih,1993,200
bih,1994,210
bih,1995,210
bih,1996,400
bih,1997,600
bih,1998,740
bih,1999,720
bih,2000,740
bih,2001,750
bih,2002,820
bih,2003,860
bih,2004,900
bih,2005,910
bih,2006,940
bih,2007,1010
bih,2008,1000
bih,2009,990
bih,2010,960
bih,2011,1020
bih,2012,870
bih,2013,960
bih,2014,800
