global,time,en_atm_meth_eg_kt_ce
world,1990,2453950
world,1991,2399150
world,1992,2326160
world,1993,2293890
world,1994,2222150
world,1995,2213090
world,1996,2239750
world,1997,2250230
world,1998,2248440
world,1999,2271920
world,2000,2317220
world,2001,2388720
world,2002,2435040
world,2003,2532650
world,2004,2597660
world,2005,2638530
world,2006,2734560
world,2007,2808920
world,2008,2903010
world,2009,2909880
world,2010,2993520
world,2011,3042050
world,2012,3079330
world,2013,3117610
world,2014,3144320
world,2015,3165590
world,2016,3173140
world,2017,3180470
world,2018,3187680
