geo,time,en_atm_meth_kt_ce
afg,1990,8970
afg,1991,9070
afg,1992,8990
afg,1993,8890
afg,1994,8960
afg,1995,9140
afg,1996,9930
afg,1997,10600
afg,1998,11100
afg,1999,11870
afg,2000,10590
afg,2001,9360
afg,2002,11190
afg,2003,11480
afg,2004,11460
afg,2005,11670
afg,2006,14890
afg,2007,18100
afg,2008,22170
afg,2009,25430
afg,2010,30010
afg,2011,39480
afg,2012,48780
afg,2013,58130
afg,2014,67770
afg,2015,76590
afg,2016,78150
afg,2017,79610
afg,2018,81510
ago,1990,20610
ago,1991,21030
ago,1992,21470
ago,1993,21770
ago,1994,22180
ago,1995,22460
ago,1996,21360
ago,1997,21470
ago,1998,23130
ago,1999,22330
ago,2000,23000
ago,2001,24240
ago,2002,26220
ago,2003,29280
ago,2004,30260
ago,2005,31110
ago,2006,31180
ago,2007,33610
ago,2008,34160
ago,2009,35590
ago,2010,37730
ago,2011,38100
ago,2012,37110
ago,2013,37420
ago,2014,36700
ago,2015,37180
ago,2016,37400
ago,2017,37450
ago,2018,35520
alb,1990,3660
alb,1991,3600
alb,1992,3500
alb,1993,3560
alb,1994,4130
alb,1995,4120
alb,1996,3950
alb,1997,3750
alb,1998,3620
alb,1999,3690
alb,2000,3750
alb,2001,3690
alb,2002,3640
alb,2003,3680
alb,2004,3590
alb,2005,3580
alb,2006,3530
alb,2007,3400
alb,2008,3230
alb,2009,3110
alb,2010,3120
alb,2011,3120
alb,2012,3170
alb,2013,3190
alb,2014,3230
alb,2015,3250
alb,2016,3250
alb,2017,3210
alb,2018,3160
and,1990,20
and,1991,20
and,1992,20
and,1993,30
and,1994,30
and,1995,30
and,1996,30
and,1997,30
and,1998,30
and,1999,30
and,2000,30
and,2001,30
and,2002,40
and,2003,40
and,2004,40
and,2005,40
and,2006,40
and,2007,50
and,2008,50
and,2009,50
and,2010,50
and,2011,50
and,2012,50
and,2013,50
and,2014,50
and,2015,50
and,2016,50
and,2017,50
and,2018,50
are,1990,11690
are,1991,12020
are,1992,12350
are,1993,12680
are,1994,13040
are,1995,14790
are,1996,16550
are,1997,18300
are,1998,20060
are,1999,21830
are,2000,23580
are,2001,25770
are,2002,27970
are,2003,30160
are,2004,32330
are,2005,34590
are,2006,35390
are,2007,36200
are,2008,37010
are,2009,37940
are,2010,38550
are,2011,40710
are,2012,42870
are,2013,45120
are,2014,47360
are,2015,49540
are,2016,50680
are,2017,51830
are,2018,52960
arg,1990,105850
arg,1991,105660
arg,1992,107470
arg,1993,106960
arg,1994,108430
arg,1995,108840
arg,1996,107260
arg,1997,107560
arg,1998,105750
arg,1999,108720
arg,2000,109870
arg,2001,109440
arg,2002,112740
arg,2003,119190
arg,2004,120420
arg,2005,120630
arg,2006,122760
arg,2007,123540
arg,2008,122470
arg,2009,117630
arg,2010,109830
arg,2011,109130
arg,2012,111740
arg,2013,113350
arg,2014,114180
arg,2015,114090
arg,2016,115580
arg,2017,117570
arg,2018,117850
arm,1990,3590
arm,1991,3420
arm,1992,3170
arm,1993,2940
arm,1994,2770
arm,1995,2610
arm,1996,2460
arm,1997,2300
arm,1998,2100
arm,1999,1950
arm,2000,1830
arm,2001,1880
arm,2002,1930
arm,2003,1980
arm,2004,2040
arm,2005,2070
arm,2006,2150
arm,2007,2240
arm,2008,2310
arm,2009,2310
arm,2010,2370
arm,2011,2370
arm,2012,2420
arm,2013,2500
arm,2014,2540
arm,2015,2560
arm,2016,2570
arm,2017,2510
arm,2018,2430
atg,1990,130
atg,1991,130
atg,1992,140
atg,1993,140
atg,1994,150
atg,1995,150
atg,1996,160
atg,1997,160
atg,1998,170
atg,1999,170
atg,2000,180
atg,2001,180
atg,2002,180
atg,2003,190
atg,2004,190
atg,2005,190
atg,2006,200
atg,2007,200
atg,2008,200
atg,2009,200
atg,2010,190
atg,2011,190
atg,2012,190
atg,2013,190
atg,2014,200
atg,2015,200
atg,2016,200
atg,2017,200
atg,2018,200
aus,1990,156040
aus,1991,155750
aus,1992,155170
aus,1993,151830
aus,1994,150660
aus,1995,149190
aus,1996,142110
aus,1997,144210
aus,1998,146130
aus,1999,157130
aus,2000,167630
aus,2001,175690
aus,2002,167170
aus,2003,127110
aus,2004,148010
aus,2005,128800
aus,2006,147870
aus,2007,144830
aus,2008,128530
aus,2009,131460
aus,2010,119320
aus,2011,168820
aus,2012,166730
aus,2013,127150
aus,2014,135190
aus,2015,133430
aus,2016,118280
aus,2017,139810
aus,2018,139070
aut,1990,11570
aut,1991,11510
aut,1992,11320
aut,1993,10990
aut,1994,10610
aut,1995,10120
aut,1996,9890
aut,1997,9590
aut,1998,9310
aut,1999,9170
aut,2000,8940
aut,2001,8800
aut,2002,8690
aut,2003,8530
aut,2004,8440
aut,2005,8230
aut,2006,8060
aut,2007,7880
aut,2008,7790
aut,2009,7600
aut,2010,7580
aut,2011,7410
aut,2012,7250
aut,2013,7110
aut,2014,6950
aut,2015,6880
aut,2016,6800
aut,2017,6740
aut,2018,6660
aze,1990,16390
aze,1991,15840
aze,1992,14830
aze,1993,14280
aze,1994,13800
aze,1995,13500
aze,1996,14320
aze,1997,15210
aze,1998,16080
aze,1999,16940
aze,2000,17780
aze,2001,19200
aze,2002,20560
aze,2003,21960
aze,2004,23320
aze,2005,24670
aze,2006,30040
aze,2007,35330
aze,2008,40640
aze,2009,45930
aze,2010,51220
aze,2011,50030
aze,2012,48880
aze,2013,47740
aze,2014,46580
aze,2015,45430
aze,2016,44820
aze,2017,44230
aze,2018,43600
bdi,1990,1560
bdi,1991,1600
bdi,1992,1650
bdi,1993,1670
bdi,1994,1650
bdi,1995,1700
bdi,1996,1670
bdi,1997,1670
bdi,1998,1590
bdi,1999,1490
bdi,2000,1400
bdi,2001,1370
bdi,2002,1320
bdi,2003,1300
bdi,2004,1290
bdi,2005,1280
bdi,2006,1340
bdi,2007,1380
bdi,2008,1440
bdi,2009,1520
bdi,2010,1630
bdi,2011,1670
bdi,2012,1640
bdi,2013,1800
bdi,2014,1730
bdi,2015,1690
bdi,2016,1860
bdi,2017,2130
bdi,2018,2140
bel,1990,13230
bel,1991,13320
bel,1992,13140
bel,1993,12950
bel,1994,12980
bel,1995,13110
bel,1996,12980
bel,1997,12780
bel,1998,12530
bel,1999,12600
bel,2000,12120
bel,2001,11600
bel,2002,11070
bel,2003,10400
bel,2004,10270
bel,2005,10000
bel,2006,9860
bel,2007,9640
bel,2008,9450
bel,2009,9370
bel,2010,9260
bel,2011,9010
bel,2012,8840
bel,2013,8630
bel,2014,8540
bel,2015,8540
bel,2016,8450
bel,2017,8180
bel,2018,8200
ben,1990,2700
ben,1991,2800
ben,1992,2860
ben,1993,2890
ben,1994,3070
ben,1995,2920
ben,1996,3270
ben,1997,3360
ben,1998,3500
ben,1999,3390
ben,2000,3680
ben,2001,3320
ben,2002,3630
ben,2003,3610
ben,2004,3640
ben,2005,4060
ben,2006,4020
ben,2007,4200
ben,2008,4200
ben,2009,4380
ben,2010,4520
ben,2011,4710
ben,2012,4840
