geo,time,en_atm_noxe_ag_kt_ce
afg,1990,2710
afg,1991,2790
afg,1992,2740
afg,1993,2770
afg,1994,2600
afg,1995,2710
afg,1996,2940
afg,1997,3240
afg,1998,3530
afg,1999,3800
afg,2000,3270
afg,2001,2860
afg,2002,3330
afg,2003,3460
afg,2004,3430
afg,2005,3580
afg,2006,3400
afg,2007,3320
afg,2008,3600
afg,2009,3860
afg,2010,4270
afg,2011,4370
afg,2012,4400
afg,2013,4440
afg,2014,4740
afg,2015,4260
afg,2016,4680
afg,2017,4900
afg,2018,4300
ago,1990,15100
ago,1991,15130
ago,1992,15180
ago,1993,15120
ago,1994,15070
ago,1995,15050
ago,1996,13510
ago,1997,13270
ago,1998,14680
ago,1999,13550
ago,2000,13960
ago,2001,14290
ago,2002,15470
ago,2003,17760
ago,2004,17860
ago,2005,17560
ago,2006,16170
ago,2007,17310
ago,2008,16360
ago,2009,16420
ago,2010,17280
ago,2011,17850
ago,2012,16900
ago,2013,17440
ago,2014,16880
ago,2015,17460
ago,2016,17570
ago,2017,17970
ago,2018,15910
alb,1990,1350
alb,1991,1010
alb,1992,960
alb,1993,1030
alb,1994,1260
alb,1995,1260
alb,1996,1110
alb,1997,1040
alb,1998,1080
alb,1999,1030
alb,2000,1080
alb,2001,1040
alb,2002,1190
alb,2003,1200
alb,2004,1160
alb,2005,1160
alb,2006,1100
alb,2007,1100
alb,2008,1030
alb,2009,1020
alb,2010,1020
alb,2011,1050
alb,2012,1050
alb,2013,1020
alb,2014,1040
alb,2015,1080
alb,2016,1110
alb,2017,1080
alb,2018,960
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
are,1990,230
are,1991,270
are,1992,310
are,1993,330
are,1994,370
are,1995,400
are,1996,420
are,1997,430
are,1998,450
are,1999,470
are,2000,480
are,2001,490
are,2002,560
are,2003,590
are,2004,590
are,2005,620
are,2006,620
are,2007,640
are,2008,680
are,2009,700
are,2010,690
are,2011,690
are,2012,650
are,2013,690
are,2014,710
are,2015,760
are,2016,760
are,2017,770
are,2018,780
arg,1990,34040
arg,1991,33850
arg,1992,34510
arg,1993,33970
arg,1994,34930
arg,1995,34920
arg,1996,35140
arg,1997,35430
arg,1998,35030
arg,1999,35280
arg,2000,37370
arg,2001,37180
arg,2002,37700
arg,2003,41540
arg,2004,41670
arg,2005,41180
arg,2006,42510
arg,2007,44860
arg,2008,43430
arg,2009,37910
arg,2010,39000
arg,2011,39990
arg,2012,39460
arg,2013,40810
arg,2014,41180
arg,2015,40760
arg,2016,43700
arg,2017,45630
arg,2018,45210
arm,1990,770
arm,1991,720
arm,1992,650
arm,1993,550
arm,1994,490
arm,1995,480
arm,1996,490
arm,1997,480
arm,1998,470
arm,1999,450
arm,2000,460
arm,2001,470
arm,2002,550
arm,2003,540
arm,2004,590
arm,2005,560
arm,2006,870
arm,2007,710
arm,2008,680
arm,2009,740
arm,2010,680
arm,2011,710
arm,2012,870
arm,2013,930
arm,2014,880
arm,2015,990
arm,2016,1520
arm,2017,1120
arm,2018,1070
atg,1990,10
atg,1991,10
atg,1992,10
atg,1993,10
atg,1994,10
atg,1995,10
atg,1996,10
atg,1997,10
atg,1998,10
atg,1999,10
atg,2000,10
atg,2001,10
atg,2002,10
atg,2003,10
atg,2004,10
atg,2005,10
atg,2006,10
atg,2007,10
atg,2008,10
atg,2009,10
atg,2010,10
atg,2011,10
atg,2012,10
atg,2013,10
atg,2014,10
atg,2015,10
atg,2016,10
atg,2017,10
atg,2018,10
aus,1990,74660
aus,1991,73860
aus,1992,72700
aus,1993,72070
aus,1994,71860
aus,1995,71600
aus,1996,65590
aus,1997,64440
aus,1998,68670
aus,1999,85620
aus,2000,93510
aus,2001,103500
aus,2002,96150
aus,2003,55580
aus,2004,79260
aus,2005,56230
aus,2006,75740
aus,2007,70690
aus,2008,54770
aus,2009,58630
aus,2010,47490
aus,2011,101120
aus,2012,100540
aus,2013,57930
aus,2014,70380
aus,2015,66540
aus,2016,52100
aus,2017,74160
aus,2018,71490
aut,1990,3240
aut,1991,3200
aut,1992,3090
aut,1993,2980
aut,1994,2980
aut,1995,2910
aut,1996,2960
aut,1997,2920
aut,1998,2880
aut,1999,2840
aut,2000,2760
aut,2001,2760
aut,2002,2640
aut,2003,2550
aut,2004,2560
aut,2005,2560
aut,2006,2510
aut,2007,2410
aut,2008,2480
aut,2009,2410
aut,2010,2460
aut,2011,2510
aut,2012,2550
aut,2013,2550
aut,2014,2650
aut,2015,2640
aut,2016,2660
aut,2017,2600
aut,2018,2590
aze,1990,2580
aze,1991,2420
aze,1992,2070
aze,1993,1840
aze,1994,1720
aze,1995,1700
aze,1996,1630
aze,1997,1730
aze,1998,1760
aze,1999,1830
aze,2000,1840
aze,2001,2030
aze,2002,2140
aze,2003,2210
aze,2004,2330
aze,2005,2370
aze,2006,2490
aze,2007,2500
aze,2008,2680
aze,2009,2720
aze,2010,2680
aze,2011,2760
aze,2012,2840
aze,2013,2870
aze,2014,2950
aze,2015,3340
aze,2016,3300
aze,2017,3190
aze,2018,3480
bdi,1990,910
bdi,1991,920
bdi,1992,930
bdi,1993,910
bdi,1994,860
bdi,1995,900
bdi,1996,890
bdi,1997,900
bdi,1998,880
bdi,1999,900
bdi,2000,900
bdi,2001,910
bdi,2002,900
bdi,2003,900
bdi,2004,930
bdi,2005,940
bdi,2006,980
bdi,2007,990
bdi,2008,1040
bdi,2009,1090
bdi,2010,1160
bdi,2011,1230
bdi,2012,1260
bdi,2013,1400
bdi,2014,1400
bdi,2015,1370
bdi,2016,1510
bdi,2017,1710
bdi,2018,1760
bel,1990,3770
bel,1991,3780
bel,1992,3700
bel,1993,3690
bel,1994,3690
bel,1995,3730
bel,1996,3790
bel,1997,3720
bel,1998,3720
bel,1999,3800
bel,2000,2710
bel,2001,2660
bel,2002,3520
bel,2003,3420
bel,2004,3380
bel,2005,3330
bel,2006,3260
bel,2007,3320
bel,2008,3230
bel,2009,3360
