geo,time,en_atm_noxe_eg_kt_ce
afg,1990,400
afg,1991,360
afg,1992,310
afg,1993,270
afg,1994,220
afg,1995,180
afg,1996,170
afg,1997,170
afg,1998,160
afg,1999,150
afg,2000,150
afg,2001,150
afg,2002,150
afg,2003,150
afg,2004,150
afg,2005,150
afg,2006,400
afg,2007,650
afg,2008,910
afg,2009,1160
afg,2010,1410
afg,2011,1930
afg,2012,2440
afg,2013,2950
afg,2014,3460
afg,2015,3970
afg,2016,4070
afg,2017,4180
afg,2018,4280
ago,1990,40
ago,1991,40
ago,1992,40
ago,1993,40
ago,1994,40
ago,1995,40
ago,1996,50
ago,1997,50
ago,1998,50
ago,1999,50
ago,2000,50
ago,2001,60
ago,2002,60
ago,2003,70
ago,2004,70
ago,2005,80
ago,2006,90
ago,2007,100
ago,2008,110
ago,2009,120
ago,2010,130
ago,2011,140
ago,2012,150
ago,2013,160
ago,2014,160
ago,2015,170
ago,2016,170
ago,2017,170
ago,2018,180
alb,1990,70
alb,1991,60
alb,1992,60
alb,1993,50
alb,1994,40
alb,1995,30
alb,1996,30
alb,1997,40
alb,1998,40
alb,1999,50
alb,2000,50
alb,2001,60
alb,2002,60
alb,2003,60
alb,2004,70
alb,2005,70
alb,2006,70
alb,2007,70
alb,2008,70
alb,2009,70
alb,2010,70
alb,2011,70
alb,2012,80
alb,2013,80
alb,2014,90
alb,2015,90
alb,2016,90
alb,2017,90
alb,2018,90
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
are,1990,1280
are,1991,1350
are,1992,1420
are,1993,1480
are,1994,1550
are,1995,1840
are,1996,2130
are,1997,2410
are,1998,2700
are,1999,2990
are,2000,3280
are,2001,3340
are,2002,3400
are,2003,3460
are,2004,3520
are,2005,3580
are,2006,3760
are,2007,3950
are,2008,4140
are,2009,4320
are,2010,4510
are,2011,4760
are,2012,5010
are,2013,5260
are,2014,5510
are,2015,5770
are,2016,5880
are,2017,5990
are,2018,6110
arg,1990,610
arg,1991,640
arg,1992,680
arg,1993,710
arg,1994,740
arg,1995,800
arg,1996,850
arg,1997,910
arg,1998,940
arg,1999,980
arg,2000,1010
arg,2001,1000
arg,2002,990
arg,2003,980
arg,2004,970
arg,2005,960
arg,2006,1010
arg,2007,1070
arg,2008,1120
arg,2009,1170
arg,2010,1220
arg,2011,1220
arg,2012,1220
arg,2013,1220
arg,2014,1220
arg,2015,1220
arg,2016,1220
arg,2017,1220
arg,2018,1220
arm,1990,60
arm,1991,60
arm,1992,50
arm,1993,50
arm,1994,40
arm,1995,40
arm,1996,30
arm,1997,30
arm,1998,20
arm,1999,20
arm,2000,20
arm,2001,20
arm,2002,20
arm,2003,20
arm,2004,20
arm,2005,20
arm,2006,20
arm,2007,30
arm,2008,40
arm,2009,40
arm,2010,50
arm,2011,50
arm,2012,50
arm,2013,50
arm,2014,50
arm,2015,40
arm,2016,40
arm,2017,40
arm,2018,40
atg,1990,10
atg,1991,10
atg,1992,10
atg,1993,10
atg,1994,10
atg,1995,10
atg,1996,10
atg,1997,10
atg,1998,10
atg,1999,10
atg,2000,10
atg,2001,10
atg,2002,10
atg,2003,10
atg,2004,10
atg,2005,10
atg,2006,10
atg,2007,10
atg,2008,10
atg,2009,10
atg,2010,10
atg,2011,10
atg,2012,10
atg,2013,10
atg,2014,10
atg,2015,10
atg,2016,10
atg,2017,10
atg,2018,10
aus,1990,1970
aus,1991,2020
aus,1992,2080
aus,1993,2220
aus,1994,2300
aus,1995,2440
aus,1996,2530
aus,1997,2650
aus,1998,2820
aus,1999,2940
aus,2000,3060
aus,2001,3190
aus,2002,3410
aus,2003,3680
aus,2004,3790
aus,2005,3820
aus,2006,3790
aus,2007,3820
aus,2008,3830
aus,2009,3730
aus,2010,3660
aus,2011,3740
aus,2012,3720
aus,2013,3710
aus,2014,3580
aus,2015,3370
aus,2016,3350
aus,2017,3330
aus,2018,3310
aut,1990,430
aut,1991,470
aut,1992,460
aut,1993,460
aut,1994,460
aut,1995,480
aut,1996,500
aut,1997,500
aut,1998,500
aut,1999,510
aut,2000,510
aut,2001,530
aut,2002,530
aut,2003,540
