geo,time,en_clc_ghgr_mt_ce
alb,1994,1.5255
are,2000,-9.665
arg,2000,-43.2979
atg,1990,-0.0968
aus,1990,43.14817
aus,1991,166.44281
aus,1992,124.56867
aus,1993,-22.89228
aus,1994,-19.6827
aus,1995,104.74597
aus,1996,-1.69569
aus,1997,-9.34152
aus,1998,127.2859
aus,1999,10.47353
aus,2000,-13.50499
aus,2001,-42.5268
aus,2002,332.98207
aus,2003,167.0538
aus,2004,-195.3318
aus,2005,44.83645
aus,2006,48.21319
aus,2007,342.46753
aus,2008,69.4878
aus,2009,53.97091
aut,1990,-13.73524
aut,1991,-19.61151
aut,1992,-14.52519
aut,1993,-18.36374
aut,1994,-17.13956
aut,1995,-16.44598
aut,1996,-11.60746
aut,1997,-20.40702
aut,1998,-18.41242
aut,1999,-22.77227
aut,2000,-17.4711
aut,2001,-20.11129
aut,2002,-16.35677
aut,2003,-17.7873
aut,2004,-17.74308
aut,2005,-17.67889
aut,2006,-17.66787
aut,2007,-17.6134
aut,2008,-17.58651
aut,2009,-17.52447
aze,1994,-1.075
bdi,2005,-15.346
bel,1990,-1.55662
bel,1991,-0.9404
bel,1992,-1.25406
bel,1993,-1.20223
bel,1994,-1.2449
bel,1995,-1.09918
bel,1996,-1.16628
bel,1997,-1.20499
bel,1998,-1.12215
bel,1999,-1.17271
bel,2000,-1.15943
bel,2001,-1.80352
bel,2002,-1.62792
bel,2003,-1.70336
bel,2004,-1.61156
bel,2005,-1.64973
bel,2006,-1.63713
bel,2007,-1.61181
bel,2008,-1.55599
bel,2009,-1.60025
ben,1995,-47.5234
bfa,1994,-1.3887
bgd,1994,7.838
bgr,1990,-13.80575
bgr,1991,-13.67204
bgr,1992,-13.33887
bgr,1993,-12.62144
bgr,1994,-12.40018
bgr,1995,-12.88564
bgr,1996,-11.87106
bgr,1997,-11.93674
bgr,1998,-11.93126
bgr,1999,-11.94384
bgr,2000,-10.27631
bgr,2001,-10.60519
bgr,2002,-11.10927
bgr,2003,-11.12095
bgr,2004,-11.44101
bgr,2005,-11.33615
bgr,2006,-11.4056
bgr,2007,-10.25471
bgr,2008,-11.56581
bgr,2009,-11.78188
bih,1990,-7.4235
blr,1990,-28.57444
blr,1991,-30.58725
blr,1992,-28.78289
blr,1993,-22.48772
blr,1994,-31.73408
blr,1995,-31.2218
blr,1996,-29.28835
blr,1997,-26.42787
blr,1998,-24.46433
blr,1999,-31.36845
blr,2000,-30.90278
blr,2001,-28.95122
blr,2002,-25.63212
blr,2003,-22.27661
blr,2004,-22.88859
blr,2005,-26.20998
blr,2006,-28.42058
blr,2007,-27.55948
blr,2008,-27.13846
blr,2009,-30.04354
blz,1994,-4.0247
bol,2004,48.0473
bra,2005,1329.05
brb,1997,-0.011
btn,1994,-3.5495
bwa,1994,-38.7336
caf,1994,-139.315
can,1990,-67.48498
can,1991,-41.23063
can,1992,-89.64106
can,1993,-20.3262
can,1994,-23.6874
can,1995,185.97168
can,1996,-29.71411
can,1997,-71.71403
can,1998,116.24136
can,1999,7.76338
can,2000,-62.10677
can,2001,-57.71241
can,2002,87.37716
can,2003,42.98973
can,2004,96.81802
can,2005,53.53278
can,2006,64.62093
can,2007,51.42915
can,2008,-16.94843
can,2009,-12.10016
che,1990,-2.725
che,1991,-2.58939
che,1992,-2.00858
che,1993,-3.7032
che,1994,-4.53868
che,1995,-3.46073
che,1996,-3.29564
che,1997,-1.98989
che,1998,-1.88762
che,1999,-0.7044
che,2000,1.44188
che,2001,1.89436
che,2002,1.63384
che,2003,-1.1676
che,2004,-0.45421
che,2005,-0.37329
che,2006,0.95219
che,2007,0.56885
che,2008,0.57413
che,2009,0.08856
chl,1994,-9.1953
chn,1994,-407.479
civ,2000,-18.3767
cmr,1994,22.1864
cod,2003,-178.7794
cog,2000,-82.0665
col,2004,26.0145
com,1994,-0.8951
cpv,1995,-0.0703
cri,2005,-3.5073
cub,1996,-21.6543
cze,1990,-3.62976
cze,1991,-9.0426
cze,1992,-10.79404
cze,1993,-9.43898
cze,1994,-7.14319
cze,1995,-7.21117
cze,1996,-7.62076
cze,1997,-6.66086
cze,1998,-6.99841
