geo,time,en_co2_manf_zs
ago,1971,16.04938
ago,1972,13.33333
ago,1973,16.36364
ago,1974,14.66667
ago,1975,15.81633
ago,1976,15.97938
ago,1977,20.5298
ago,1978,17.44186
ago,1979,16.14173
ago,1980,16.16541
ago,1981,17.85714
ago,1982,19.54545
ago,1983,18.96552
ago,1984,31.39013
ago,1985,30.14184
ago,1986,27.43682
ago,1987,29.12281
ago,1988,24.61059
ago,1989,25.75758
ago,1990,44.89796
ago,1991,40.64838
ago,1992,43.95887
ago,1993,51.89573
ago,1994,38.99522
ago,1995,46.03581
ago,1996,44.86874
ago,1997,40.18476
ago,1998,34.85255
ago,1999,31.22363
ago,2000,33.90929
ago,2001,32.20676
ago,2002,32.36364
ago,2003,25.92068
ago,2004,28.37838
ago,2005,27.96748
ago,2006,23.75758
ago,2007,23.54772
ago,2008,17.78154
ago,2009,15.78947
ago,2010,15.53206
ago,2011,15.17413
ago,2012,13.96368
ago,2013,9.0708
ago,2014,7.77202
alb,1971,35.23316
alb,1972,39.10112
alb,1973,25.5102
alb,1974,26.03406
alb,1975,21.8894
alb,1976,20.94017
alb,1977,21.16935
alb,1978,23.66548
alb,1979,26.1194
alb,1980,39.35389
alb,1981,37.26496
alb,1982,35.51555
alb,1983,38.28829
alb,1984,36.28809
alb,1985,36.31124
alb,1986,35.77586
alb,1987,37.70718
alb,1988,34.30962
alb,1989,45.46784
alb,1990,37.7425
alb,1991,37.00787
alb,1992,35.51402
alb,1993,27.27273
alb,1994,22.6601
alb,1995,26.48649
alb,1996,24.73118
alb,1997,16.78322
alb,1998,22.72727
alb,1999,16.78082
alb,2000,15.25974
alb,2001,16.77019
alb,2002,11.46667
alb,2003,13.08901
alb,2004,13.71571
alb,2005,11.7801
alb,2006,17.94195
alb,2007,16.93122
alb,2008,13.47709
alb,2009,20.68966
alb,2010,26.4631
alb,2011,26.81159
alb,2012,18.3908
alb,2013,15.93407
alb,2014,22.08738
are,1971,77.64228
are,1972,65.89147
are,1973,59.75232
are,1974,49.25816
are,1975,45.93496
are,1976,43.3281
are,1977,56.60377
are,1978,53.38776
are,1979,49.13734
are,1980,36.47242
are,1981,39.21989
are,1982,35.71987
are,1983,28.79708
are,1984,40.71518
are,1985,45.67659
are,1986,50.17491
are,1987,51.80914
are,1988,49.94499
are,1989,54.49298
are,1990,51.33989
are,1991,56.36517
are,1992,52.29001
are,1993,49.62242
are,1994,51.76148
are,1995,51.76623
are,1996,51.84981
are,1997,52.04175
are,1998,50.18493
are,1999,47.9345
are,2000,42.1646
are,2001,44.94163
are,2002,39.98308
are,2003,36.35719
are,2004,32.25069
are,2005,31.41931
are,2006,29.61224
are,2007,34.16834
are,2008,35.37684
are,2009,41.43537
are,2010,41.7397
are,2011,43.47744
are,2012,41.56563
are,2013,41.45385
are,2014,36.92071
arg,1971,19.29931
arg,1972,17.10558
arg,1973,17.43014
arg,1974,18.90747
arg,1975,18.06338
arg,1976,18.87384
arg,1977,15.90323
arg,1978,17.29665
arg,1979,16.4392
arg,1980,15.78228
arg,1981,14.78131
arg,1982,15.35467
arg,1983,14.27365
arg,1984,16.42159
arg,1985,16.91168
arg,1986,13.43701
arg,1987,15.63334
arg,1988,13.27766
arg,1989,14.09877
arg,1990,14.72127
arg,1991,13.81252
arg,1992,13.61546
arg,1993,13.5669
arg,1994,18.46823
arg,1995,17.12848
arg,1996,17.89777
arg,1997,21.38379
arg,1998,21.15839
arg,1999,19.72721
arg,2000,19.43727
arg,2001,21.40972
arg,2002,21.56073
arg,2003,21.81026
arg,2004,22.05692
arg,2005,20.79904
arg,2006,21.2904
arg,2007,20.51096
arg,2008,18.86782
arg,2009,18.19151
arg,2010,18.13263
arg,2011,17.32531
arg,2012,16.10001
arg,2013,16.52746
arg,2014,16.87023
arm,1990,19.20363
arm,1991,19.294
arm,1992,12.95775
arm,1993,40.65041
arm,1994,23.8806
arm,1995,15.13353
arm,1996,18.75
arm,1997,26.89873
arm,1998,29.57317
arm,1999,35.15358
arm,2000,21.05263
arm,2001,23.12139
arm,2002,27.49141
arm,2003,30.27523
arm,2004,31.79191
arm,2005,32.92978
arm,2006,34.6988
arm,2007,24.375
arm,2008,25.42694
arm,2009,22.48244
arm,2010,12.83951
arm,2011,12.84797
arm,2012,12.31618
arm,2013,12.59542
arm,2014,11.11111
aus,1960,35.37592
aus,1961,35.91641
aus,1962,33.89117
aus,1963,33.80366
aus,1964,31.68522
aus,1965,30.93962
aus,1966,29.43749
aus,1967,30.03815
aus,1968,29.5898
aus,1969,28.49813
aus,1970,31.0598
aus,1971,31.31278
aus,1972,29.4185
aus,1973,28.98808
aus,1974,26.4128
aus,1975,25.44441
aus,1976,24.53266
aus,1977,23.42913
aus,1978,22.71181
aus,1979,23.02665
aus,1980,21.83419
aus,1981,20.2199
aus,1982,18.91525
aus,1983,17.49926
aus,1984,17.51898
aus,1985,17.50625
aus,1986,17.40249
aus,1987,17.17133
aus,1988,17.04107
aus,1989,16.62145
aus,1990,16.4902
aus,1991,16.50132
aus,1992,16.14546
aus,1993,16.24535
aus,1994,16.50906
aus,1995,16.18714
aus,1996,15.5388
aus,1997,15.65283
aus,1998,14.69117
aus,1999,14.42559
aus,2000,14.32925
aus,2001,13.85215
aus,2002,10.85929
aus,2003,12.54038
aus,2004,12.3442
aus,2005,11.77135
aus,2006,11.29985
aus,2007,11.16789
aus,2008,11.48352
aus,2009,10.5424
aus,2010,9.76536
aus,2011,10.22716
aus,2012,10.62285
aus,2013,11.39591
aus,2014,11.48804
aut,1960,41.03913
aut,1961,38.62969
aut,1962,36.95717
aut,1963,36.09981
aut,1964,38.69427
aut,1965,39.20022
aut,1966,39.44384
aut,1967,35.89201
aut,1968,34.98888
aut,1969,33.41094
aut,1970,28.7344
aut,1971,27.88066
aut,1972,27.57937
aut,1973,27.47212
aut,1974,31.24022
aut,1975,28.79951
aut,1976,27.17835
aut,1977,28.02027
aut,1978,27.28798
aut,1979,25.72451
aut,1980,23.81303
aut,1981,20.15519
aut,1982,19.95178
aut,1983,20.59121
aut,1984,21.40895
aut,1985,21.48556
aut,1986,20.62754
aut,1987,20.17946
